<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-01-24-14:42:51</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>2963</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1651</WeldTime>
<DistDiff>2.32999</DistDiff>
<DistAbs>78.06</DistAbs>
<Energy>3272.04</Energy>
<MaxPower>2196.65</MaxPower>
<CycleTime>5960</CycleTime>
<TrigForce>506.607</TrigForce>
<TrigDist>75.73</TrigDist>
<RunSpeed>68.6582</RunSpeed>
<MaxForce>613.3</MaxForce>
<LossPower>324.183</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;506.607;0
3;0;508.56;0
4;0;508.56;0.00999451
5;0;508.56;0.00999451
6;0;510.514;0.00999451
7;0;508.56;0.00999451
8;0;484.878;0.00999451
9;0;431.654;0.0199966
10;0;413.831;0.0399933
11;0;382.092;0.0699997
12;18.8452;360.363;0.109993
13;78.0511;340.831;0.149994
14;149.77;326.914;0.189995
15;228.813;309.091;0.229996
16;292.901;301.279;0.279999
17;349.666;285.409;0.32
18;414.06;297.372;0.369995
19;475.707;303.232;0.419998
20;530.03;291.269;0.459999
21;589.236;312.998;0.489998
22;668.279;326.914;0.529999
23;742.439;324.961;0.549995
24;811.411;326.914;0.579994
25;880.688;350.597;0.599998
26;937.452;356.456;0.619995
27;984.451;382.092;0.639999
28;1048.54;372.326;0.649994
29;1122.7;382.092;0.659996
30;1177.02;399.915;0.659996
31;1223.72;415.784;0.669998
32;1255.76;384.045;0.669998
33;1265.83;411.878;0.68
34;1278.04;417.737;0.68
35;1312.83;421.644;0.689995
36;1354.64;413.831;0.689995
37;1386.68;409.925;0.699997
38;1411.4;415.784;0.699997
39;1421.48;435.56;0.709999
40;1416.29;415.784;0.719994
41;1433.68;415.784;0.719994
42;1485.56;455.336;0.729996
43;1520.05;429.456;0.739998
44;1552.1;425.55;0.739998
45;1574.37;423.597;0.75
46;1579.26;435.56;0.75
47;1579.26;447.279;0.759995
48;1616.49;439.467;0.769997
49;1670.81;427.503;0.769997
50;1710.18;453.383;0.779999
51;1742.23;443.373;0.789993
52;1749.85;415.784;0.799995
53;1742.23;441.42;0.799995
