<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-09-27-11:23:12</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>1639</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1607</WeldTime>
<DistDiff>2.34</DistDiff>
<DistAbs>78.55</DistAbs>
<Energy>3271.6</Energy>
<MaxPower>2227.22</MaxPower>
<CycleTime>5750</CycleTime>
<TrigForce>500.748</TrigForce>
<TrigDist>76.21</TrigDist>
<RunSpeed>69.4713</RunSpeed>
<MaxForce>593.524</MaxForce>
<LossPower>214.564</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;496.597;0
3;0;500.748;0
4;0;500.748;0
5;0;502.701;0
6;0;500.748;0
7;0;500.748;0
8;0;472.915;0
9;0;425.55;0.0100021
10;66.8165;411.878;0.0299988
11;108.627;380.139;0.0699997
12;148.301;364.513;0.0999985
13;200.182;346.69;0.150002
14;271.596;334.727;0.190002
15;338.431;321.055;0.239998
16;402.52;314.951;0.290001
17;456.843;301.279;0.330002
18;513.607;297.372;0.379997
19;572.813;307.138;0.419998
20;629.578;311.045;0.459999
21;681.459;323.008;0.5
22;748.295;321.055;0.529999
23;819.708;319.102;0.559998
24;888.985;334.727;0.590004
25;950.632;346.69;0.610001
26;1004.96;342.784;0.629997
27;1051.95;358.409;0.639999
28;1086.44;378.185;0.660004
29;1140.76;388.195;0.669998
30;1192.64;386.242;0.669998
31;1232.32;388.195;0.68
32;1266.8;397.961;0.68
33;1283.89;421.644;0.690002
34;1289.08;407.971;0.690002
35;1308.61;409.925;0.690002
36;1360.5;419.691;0.700005
37;1397.73;417.737;0.700005
38;1427.33;407.971;0.709999
39;1461.82;421.644;0.709999
40;1479.21;427.503;0.720001
41;1488.98;437.513;0.730003
42;1531.09;431.654;0.730003
43;1587.86;417.737;0.739998
44;1622.34;439.467;0.739998
45;1656.83;429.456;0.75
46;1674.23;425.55;0.75
47;1674.23;433.607;0.760002
48;1676.67;447.279;0.770004
49;1708.71;435.56;0.770004
50;1743.2;431.654;0.779999
51;1770.36;417.737;0.790001
52;1787.76;441.42;0.790001
53;1787.76;449.232;0.800003
54;1770.36;431.654;0.809998
55;1780.43;451.186;0.809998
56;1832.31;453.383;0.82
57;1864.36;449.232;0.830002
58;1889.08;449.232;0.830002
59;1903.73;445.326;0.840004
60;1898.84;463.149;0.849998
61;1889.08;463.149;0.849998
62;1918.68;479.019;0.860001
63;1975.44;435.56;0.860001
64;2005.05;467.055;0.870003
65;2024.88;477.065;0.870003
66;2022.44;449.232;0.879997
67;2005.05;469.008;0.879997
68;1982.77;477.065;0.889999
69;2009.93;480.972;0.889999
70;2034.65;463.149;0.900002
71;2049.6;467.055;0.900002
72;2052.05;463.149;0.910004
73;2032.21;504.654;0.910004
74;1997.72;477.065;0.919998
75;1992.53;475.112;0.919998
76;2034.65;502.701;0.919998
77;2061.81;484.878;0.93
78;2076.77;475.112;0.93
79;2079.21;484.878;0.940002
80;2061.81;496.597;0.940002
81;2037.09;500.748;0.950005
82;2064.25;502.701;0.950005
83;2111.25;470.962;0.959999
84;2135.97;502.701;0.959999
85;2150.62;498.795;0.959999
86;2138.41;482.925;0.970001
87;2111.25;496.597;0.970001
88;2086.53;508.56;0.980003
89;2108.81;502.701;0.980003
90;2128.34;492.691;0.989998
91;2138.41;484.878;0.989998
92;2135.97;496.597;0.989998
93;2108.81;520.524;1
94;2069.14;494.644;1
95;2061.81;502.701;1
96;2101.18;516.373;1.01
97;2123.46;504.654;1.01
98;2133.53;492.691;1.01
99;2133.53;508.56;1.02
100;2111.25;512.467;1.02
101;2086.53;524.43;1.02
102;2106.37;518.326;1.03
103;2148.18;494.644;1.03
104;2172.9;520.524;1.03
105;2182.66;506.607;1.03
106;2170.46;502.701;1.04
107;2135.97;508.56;1.04
108;2108.81;522.477;1.04
109;2125.9;510.514;1.05
110;2145.74;504.654;1.05
111;2153.06;490.738;1.05
112;2148.18;510.514;1.06
113;2116.13;524.43;1.06
114;2071.58;498.795;1.06
115;2064.25;514.42;1.07
116;2101.18;522.477;1.07
117;2123.46;516.373;1.07
118;2133.53;498.795;1.07
119;2128.34;520.524;1.08
120;2103.93;520.524;1.08
121;2076.77;540.056;1.08
