<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-12-05-15:12:13</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>2431</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1822</WeldTime>
<DistDiff>3.7</DistDiff>
<DistAbs>78.29</DistAbs>
<Energy>3271.62</Energy>
<MaxPower>2059.77</MaxPower>
<CycleTime>6150</CycleTime>
<TrigForce>502.701</TrigForce>
<TrigDist>74.59</TrigDist>
<RunSpeed>67.2588</RunSpeed>
<MaxForce>603.29</MaxForce>
<LossPower>248.65</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;502.701;0
3;0;504.654;0.0100021
4;0;502.701;0.0100021
5;0;502.701;0.0100021
6;0;502.701;0.0100021
7;0;502.701;0.0100021
8;0;494.644;0.0100021
9;0;472.915;0.0200043
10;0.686676;455.336;0.0300064
11;22.66;437.513;0.0400009
12;37.6141;439.467;0.0600052
13;55.0096;427.503;0.0800018
14;79.7296;417.737;0.090004
15;111.774;417.737;0.110001
16;146.26;409.925;0.120003
17;180.746;403.821;0.140007
18;207.907;399.915;0.160004
19;235.069;399.915;0.18
20;257.347;399.915;0.190002
21;286.95;403.821;0.210007
22;321.436;392.102;0.230003
23;351.344;401.868;0.25
24;378.506;396.008;0.270004
25;400.479;392.102;0.280006
26;417.875;396.008;0.300003
27;430.082;396.008;0.310005
28;452.361;401.868;0.330002
29;469.756;399.915;0.340004
30;486.847;397.961;0.360001
31;501.801;399.915;0.370003
32;511.567;411.878;0.390007
33;509.125;399.915;0.400002
34;516.755;407.971;0.410004
35;533.845;409.925;0.43
36;548.799;407.971;0.440002
37;558.565;407.971;0.460007
38;561.007;396.008;0.470001
39;571.078;411.878;0.490005
40;571.078;407.971;0.5
41;575.961;421.644;0.520004
42;595.492;396.008;0.530006
43;605.564;411.878;0.540001
44;610.446;421.644;0.560005
45;612.888;401.868;0.570007
46;605.564;413.831;0.580002
47;600.681;413.831;0.590004
48;600.681;423.597;0.610001
49;603.122;413.831;0.620003
50;603.122;415.784;0.630005
51;603.122;405.774;0.640007
52;600.681;431.654;0.660004
53;590.609;419.691;0.670006
54;588.168;413.831;0.68
