<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-11-29-14:13:47</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>2313</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1839</WeldTime>
<DistDiff>2.49</DistDiff>
<DistAbs>78.77</DistAbs>
<Energy>3270.21</Energy>
<MaxPower>1982.75</MaxPower>
<CycleTime>5990</CycleTime>
<TrigForce>500.748</TrigForce>
<TrigDist>76.28</TrigDist>
<RunSpeed>70.3041</RunSpeed>
<MaxForce>601.337</MaxForce>
<LossPower>241.745</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;500.748;0
3;0;500.748;0
4;0;502.701;0
5;0;500.748;0
6;0;504.654;0
7;0;506.607;0
8;0;477.065;0
9;0;423.597;0.0200043
10;34.7529;407.971;0.0400009
11;76.5633;380.139;0.0699997
12;113.796;358.409;0.0999985
13;177.885;336.68;0.139999
14;252.045;336.68;0.169998
15;325.9;324.961;0.200005
16;385.411;328.867;0.239998
17;451.941;297.372;0.270004
18;516.03;305.185;0.309998
19;577.982;323.008;0.340004
20;639.63;309.091;0.370003
21;691.511;321.055;0.400002
22;738.205;324.961;0.419998
23;785.203;346.69;0.440002
24;852.039;334.727;0.459999
25;908.803;352.55;0.480003
26;965.568;346.69;0.489998
27;1017.45;394.055;0.510002
28;1044.61;388.195;0.520004
29;1069.33;374.279;0.520004
30;1116.02;399.915;0.529999
31;1170.35;405.774;0.540001
32;1212.46;409.925;0.540001
33;1249.39;399.915;0.550003
34;1278.99;429.456;0.550003
35;1291.51;419.691;0.559998
36;1308.6;437.513;0.57
37;1362.92;411.878;0.57
38;1409.92;413.831;0.580002
39;1441.96;435.56;0.590004
40;1474.01;409.925;0.599998
41;1484.08;417.737;0.599998
42;1481.64;419.691;0.610001
43;1491.4;439.467;0.620003
44;1525.89;409.925;0.620003
45;1553.05;423.597;0.630005
46;1572.89;403.821;0.639999
47;1585.4;447.279;0.639999
48;1572.89;437.513;0.650002
49;1558.24;415.784;0.660004
50;1587.84;447.279;0.660004
51;1632.09;433.607;0.669998
52;1659.25;439.467;0.68
53;1679.09;423.597;0.690002
54;1691.3;459.243;0.690002
55;1686.41;441.42;0.700005
56;1691.3;469.008;0.709999
57;1743.18;425.55;0.720001
58;1785.29;445.326;0.720001
59;1810.01;469.008;0.730003
60;1824.66;451.186;0.739998
61;1819.78;445.326;0.739998
62;1797.5;453.383;0.75
63;1795.06;469.008;0.760002
64;1827.11;461.196;0.760002
65;1846.94;455.336;0.770004
66;1856.71;439.467;0.779999
67;1851.83;459.243;0.779999
68;1822.22;475.112;0.790001
69;1795.06;447.279;0.790001
70;1819.78;467.055;0.800003
71;1856.71;472.915;0.809998
72;1876.55;469.008;0.809998
73;1886.62;453.383;0.82
74;1881.43;480.972;0.82
75;1861.9;475.112;0.830002
76;1851.83;498.795;0.840004
77;1896.38;475.112;0.840004
78;1930.87;465.102;0.849998
79;1948.26;494.644;0.849998
80;1958.03;472.915;0.860001
81;1935.75;475.112;0.860001
82;1908.59;479.019;0.870003
83;1898.82;496.597;0.870003
84;1928.43;469.008;0.880005
85;1935.75;480.972;0.880005
86;1940.94;457.289;0.889999
87;1928.43;494.644;0.889999
