<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-10-10-14:15:40</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>1782</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1206</WeldTime>
<DistDiff>2</DistDiff>
<DistAbs>78.08</DistAbs>
<Energy>3271.73</Energy>
<MaxPower>2988.07</MaxPower>
<CycleTime>5350</CycleTime>
<TrigForce>502.701</TrigForce>
<TrigDist>76.08</TrigDist>
<RunSpeed>70.6407</RunSpeed>
<MaxForce>617.206</MaxForce>
<LossPower>211.798</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;502.701;0
3;0;504.654;0.00999451
4;0;502.701;0.00999451
5;0;504.654;0.00999451
6;0;504.654;0.00999451
7;0;504.654;0.00999451
8;0;482.925;0.00999451
9;0;427.503;0.0199966
10;52.1867;427.503;0.0499954
11;94.3022;378.185;0.0800018
12;128.788;376.232;0.119995
13;190.436;356.456;0.169998
14;269.478;346.69;0.209999
15;341.197;334.727;0.259995
16;405.286;330.821;0.299995
17;464.492;324.961;0.349998
18;528.886;319.102;0.389999
19;590.533;319.102;0.43
20;649.739;326.914;0.470001
21;708.945;346.69;0.5
22;758.385;334.727;0.529999
23;812.708;346.69;0.559998
24;891.751;364.513;0.589996
25;961.028;364.513;0.610001
26;1025.12;364.513;0.629997
27;1084.32;386.242;0.639999
28;1131.32;396.008;0.650002
29;1168.25;415.784;0.659996
30;1215.25;417.737;0.669998
31;1279.34;401.868;0.68
32;1323.89;419.691;0.68
33;1358.38;437.513;0.68
34;1387.98;407.971;0.689995
35;1392.86;431.654;0.689995
36;1395.31;431.654;0.689995
37;1425.21;443.373;0.699997
38;1462.14;423.597;0.709999
39;1489.3;435.56;0.709999
40;1514.02;419.691;0.720001
41;1521.35;459.243;0.720001
42;1514.02;437.513;0.729996
43;1521.35;431.654;0.739998
44;1563.46;459.243;0.739998
45;1600.39;441.42;0.75
46;1622.67;433.607;0.75
47;1647.39;435.56;0.759995
48;1654.71;457.289;0.769997
49;1652.27;455.336;0.769997
50;1681.88;463.149;0.779999
51;1738.64;429.456;0.790001
52;1773.13;457.289;0.790001
