<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-10-13-10:11:44</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>1809</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1088</WeldTime>
<DistDiff>1.94</DistDiff>
<DistAbs>77.94</DistAbs>
<Energy>3270.02</Energy>
<MaxPower>3494.04</MaxPower>
<CycleTime>5140</CycleTime>
<TrigForce>500.748</TrigForce>
<TrigDist>76</TrigDist>
<RunSpeed>71.2277</RunSpeed>
<MaxForce>619.16</MaxForce>
<LossPower>211.818</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;500.748;0
3;0;500.748;0.0100021
4;0;502.701;0.0100021
5;0;502.701;0.0100021
6;0;498.795;0.0100021
7;0;498.795;0.0100021
8;0;484.878;0.0100021
9;0;427.503;0.0199966
10;49.7261;415.784;0.0400009
11;91.8417;386.242;0.0800018
12;128.769;372.326;0.120003
13;173.326;348.643;0.160004
14;242.298;334.727;0.209999
15;316.458;332.774;0.25
16;378.105;323.008;0.300003
17;429.987;328.867;0.349998
18;496.517;297.372;0.400002
19;560.911;314.951;0.440002
20;625;328.867;0.489998
21;686.647;309.091;0.529999
22;740.97;328.867;0.559998
23;790.41;332.774;0.589996
24;852.363;348.643;0.620003
25;926.218;344.737;0.639999
26;990.612;358.409;0.669998
27;1052.26;356.456;0.690002
28;1101.7;399.915;0.699997
29;1133.74;394.055;0.709999
30;1160.91;392.102;0.720001
31;1215.23;429.456;0.730003
32;1271.99;415.784;0.730003
33;1308.92;417.737;0.730003
34;1340.96;415.784;0.739998
35;1365.68;435.56;0.739998
36;1378.2;433.607;0.739998
37;1395.29;447.279;0.75
38;1454.8;411.878;0.75
39;1494.17;435.56;0.760002
40;1533.84;443.373;0.760002
41;1565.89;419.691;0.769997
42;1575.65;439.467;0.769997
43;1575.65;445.326;0.779999
44;1590.61;451.186;0.779999
45;1639.74;433.607;0.790001
46;1669.65;435.56;0.790001
47;1696.81;431.654;0.800003
48;1706.58;469.008;0.800003
49;1699.25;451.186;0.809998
50;1694.06;435.56;0.82
51;1728.85;470.962;0.82
52;1775.55;453.383;0.830002
53;1810.34;451.186;0.839996
54;1837.5;441.42;0.839996
55;1847.27;467.055;0.849998
56;1844.82;461.196;0.860001
57;1859.47;482.925;0.860001
58;1923.87;437.513;0.870003
59;1978.19;463.149;0.879997
60;2012.68;477.065;0.879997
61;2032.51;449.232;0.889999
62;2032.51;472.915;0.900002
63;2017.56;477.065;0.900002
64;2027.63;488.784;0.910004
65;2071.88;461.196;0.910004
66;2103.93;475.112;0.919998
67;2123.76;461.196;0.919998
68;2126.21;508.56;0.93
69;2099.04;480.972;0.93
70;2074.32;475.112;0.940002
71;2109.11;506.607;0.940002
72;2161;484.878;0.949997
73;2193.04;482.925;0.949997
74;2210.13;480.972;0.959999
75;2212.57;502.701;0.959999
76;2193.04;500.748;0.970001
77;2195.48;514.42;0.970001
78;2259.57;467.055;0.980003
79;2313.89;498.795;0.980003
80;2348.38;508.56;0.989998
81;2363.33;479.019;0.989998
82;2351.13;500.748;1
83;2323.97;506.607;1
84;2326.41;514.42;1.01
85;2375.54;488.784;1.01
86;2407.89;492.691;1.01
87;2429.86;490.738;1.02
