<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-10-13-11:05:15</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>1834</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1088</WeldTime>
<DistDiff>1.98</DistDiff>
<DistAbs>78.03</DistAbs>
<Energy>3271.84</Energy>
<MaxPower>3471.31</MaxPower>
<CycleTime>5220</CycleTime>
<TrigForce>500.748</TrigForce>
<TrigDist>76.05</TrigDist>
<RunSpeed>69.3887</RunSpeed>
<MaxForce>621.113</MaxForce>
<LossPower>210.139</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;502.701;0
3;0;502.701;0
4;0;502.701;0
5;0;500.748;0
6;0;504.654;0
7;0;500.748;0
8;0;490.738;0
9;0;437.513;0.0199966
10;63.9172;421.644;0.0399933
11;103.286;396.008;0.0699997
12;140.213;384.045;0.110001
13;196.978;350.597;0.149994
14;278.462;354.503;0.189995
15;352.622;334.727;0.229996
16;411.828;326.914;0.279999
17;468.593;311.045;0.32
18;520.474;321.055;0.369995
19;577.239;321.055;0.409996
20;639.191;334.727;0.449997
21;713.046;317.148;0.479996
22;777.44;336.68;0.509995
23;836.646;344.737;0.539993
24;895.852;340.831;0.57
25;947.733;360.363;0.589996
26;992.29;372.326;0.599998
27;1051.5;382.092;0.619995
28;1105.82;382.092;0.629997
29;1155.26;388.195;0.639999
30;1197.07;396.008;0.649994
31;1221.79;421.644;0.659996
32;1229.11;407.971;0.659996
33;1253.83;417.737;0.669998
34;1303.27;431.654;0.669998
35;1340.2;425.55;0.669998
36;1369.8;413.831;0.68
37;1399.71;421.644;0.68
38;1409.48;431.654;0.689995
39;1421.69;441.42;0.699997
40;1466.24;437.513;0.699997
41;1520.57;419.691;0.709999
42;1555.05;443.373;0.719994
43;1587.1;433.607;0.719994
44;1602.05;427.503;0.729996
45;1602.05;437.513;0.739998
46;1604.49;447.279;0.739998
47;1638.98;443.373;0.75
48;1678.65;435.56;0.759995
49;1705.81;423.597;0.759995
50;1722.9;441.42;0.769997
51;1718.02;453.383;0.779999
52;1705.81;433.607;0.789993
53;1722.9;449.232;0.789993
54;1779.97;455.336;0.799995
