Kategorie,Experiment_ID,P_mean,F_mean,D_mean,T_mean,Z_mean,P_med,F_med,D_med,T_med,Z_med,P_std,F_std,D_std,T_std,Z_std,P_max,F_max,D_max,T_max,Z_max,T_sum,P_q25,F_q25,D_q25,T_q25,P_q75,F_q75,D_q75,T_q75
Gutschweißung,1569,2304.6878028208744,540.6025521861777,1.6017870410437236,709.5,2600.0,2350.54,548.112,1.66,709.5,2600.0,274.6633943880675,38.47487477230148,0.38639344335892045,409.4856529843262,0.0,2500.99,585.467,2.14001,1418,2600.0,1006071,2313.3,536.149,1.41,355.25,2382.58,559.832,1.89001,1063.75
Gutschweißung,1570,2122.7189437012985,544.7176766233766,1.715860004090909,770.5,2750.0,2163.5,552.019,1.75,770.5,2750.0,253.24043631228523,37.259083555281336,0.42762638250326124,444.7040214194905,0.0,2296.86,595.477,2.36,1540,2750.0,1186570,2125.65,538.102,1.47,385.75,2195.54,561.785,2.05,1155.25
Gutschweißung,1571,2132.649144487932,545.4034103065884,1.563487061709067,767.0,2770.0,2171.35,552.019,1.59,767.0,2770.0,262.61280154244,36.30199844734185,0.4277365622553192,442.6832953704036,0.0,2319.37,589.618,2.24,1533,2770.0,1175811,2131.98,538.102,1.3,384.0,2215.91,563.738,1.89999,1150.0
Gutschweißung,1572,2064.196952777778,544.1239059343434,1.779498449816919,792.5,2660.0,2093.53,552.019,1.82,792.5,2660.0,252.26109604838177,38.86885461703296,0.44199664453970444,457.4057279921186,0.0,2290.99,589.618,2.45,1584,2660.0,1255320,2046.53,536.149,1.52,396.75,2150.3,561.785,2.12,1188.25
Gutschweißung,1573,2119.1524111471163,543.1923065456903,1.8157355994167208,772.0,2810.0,2158.57,550.066,1.87,772.0,2810.0,257.97509057961145,38.88787438163984,0.43270771833401095,445.57004686880225,0.0,2291.94,591.571,2.44,1543,2810.0,1191196,2124.09,538.102,1.57,386.5,2190.92,561.785,2.15,1157.5
Gutschweißung,1574,2149.2593563445103,544.0962708744247,1.6332022860618016,761.0,2850.0,2188.79,550.066,1.67,761.0,2850.0,260.9956963886231,36.83821676403741,0.42686805282362367,439.21919356968,0.0,2339.24,589.618,2.29,1521,2850.0,1157481,2146.67,538.102,1.39,381.0,2228.16,561.785,1.96,1141.0
Gutschweißung,1575,2094.1215704035876,540.6531844971173,1.6613164728379244,781.0,2900.0,2132.18,546.159,1.68999,781.0,2900.0,251.31954284154608,36.55951239656935,0.441831944952508,450.7661995609993,0.0,2275.61,589.618,2.35999,1561,2900.0,1219141,2092.81,532.243,1.39,391.0,2169.41,557.878,2.0,1171.0
Gutschweißung,1576,2128.7067848307292,539.9050332031251,1.6295317048828126,768.5,2750.0,2168.8,546.159,1.67,768.5,2750.0,260.93091914230047,36.45081892925346,0.4184017978415809,443.5493208201316,0.0,2329.33,589.618,2.27,1536,2750.0,1180416,2126.68,534.196,1.39,384.75,2210.61,557.878,1.95,1152.25
Gutschweißung,1577,2118.554694685677,543.5256863253402,1.7943275633182114,772.0,2750.0,2153.84,550.066,1.84,772.0,2750.0,258.21575567461457,38.95822688175841,0.4487638965261672,445.57004686880225,0.0,2334.21,589.618,2.45,1543,2750.0,1191196,2116.92,536.149,1.54,386.5,2198.4,561.785,2.14,1157.5
Gutschweißung,1578,2168.165891578249,542.7491187002653,1.613718087009284,754.5,2770.0,2208.93,550.066,1.66,754.5,2770.0,266.0215700494778,37.84827358339315,0.4334248803450747,435.46641661556407,0.0,2354.81,589.618,2.28,1508,2770.0,1137786,2169.56,534.196,1.36,377.75,2248.6,561.785,1.95,1131.25
Gutschweißung,1579,2110.0973390961913,539.8191174951581,1.6047235430664943,775.0,2590.0,2140.72,546.159,1.64,775.0,2590.0,251.47391869429882,36.771953167142165,0.40597098013290495,447.30209776689696,0.0,2338.18,589.618,2.21999,1549,2590.0,1200475,2111.12,532.243,1.37,388.0,2177.65,557.878,1.92,1162.0
Gutschweißung,1580,2147.721637647832,542.0850900131406,1.8531406017082785,761.5,2760.0,2177.04,550.066,1.9,761.5,2760.0,273.36463200907946,41.04181320078086,0.42859847182967753,439.507868719852,0.0,2453.54,591.571,2.46,1522,2760.0,1159003,2144.99,534.68425,1.63,381.25,2213.97,561.785,2.18,1141.75
