<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-10-13-12:11:54</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>1861</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1102</WeldTime>
<DistDiff>2.02</DistDiff>
<DistAbs>78</DistAbs>
<Energy>3270.63</Energy>
<MaxPower>3312.02</MaxPower>
<CycleTime>5190</CycleTime>
<TrigForce>500.748</TrigForce>
<TrigDist>75.98</TrigDist>
<RunSpeed>70.0276</RunSpeed>
<MaxForce>623.066</MaxForce>
<LossPower>211.341</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;500.748;0
3;0;498.795;0
4;0;498.795;0
5;0;498.795;0
6;0;502.701;0
7;0;502.701;0
8;0;486.831;0.00999451
9;0;431.654;0.0199966
10;55.0859;423.597;0.0399933
11;94.76;378.185;0.0699997
12;129.246;386.242;0.109993
13;178.686;354.503;0.149994
14;242.775;336.68;0.189995
15;319.376;340.831;0.239998
16;381.024;323.008;0.289993
17;432.905;314.951;0.339996
18;484.787;303.232;0.379997
19;539.109;319.102;0.419998
20;590.991;319.102;0.459999
21;652.638;342.784;0.5
22;729.24;311.045;0.529999
23;798.517;338.633;0.559998
24;862.606;352.55;0.579994
25;926.694;340.831;0.609993
26;976.135;366.466;0.619995
27;1020.69;374.279;0.639999
28;1070.13;394.055;0.649994
29;1121.71;388.195;0.659996
30;1168.71;401.868;0.669998
31;1210.82;396.008;0.669998
32;1232.8;435.56;0.68
33;1242.87;419.691;0.68
34;1252.63;415.784;0.689995
35;1302.07;445.326;0.689995
36;1339;425.55;0.699997
37;1373.79;423.597;0.699997
38;1405.84;421.644;0.709999
39;1428.11;439.467;0.709999
40;1435.44;435.56;0.719994
41;1467.48;449.232;0.719994
42;1524.25;413.831;0.729996
43;1566.36;437.513;0.739998
44;1598.41;443.373;0.739998
45;1623.13;421.644;0.75
46;1625.57;439.467;0.759995
47;1625.57;447.279;0.759995
48;1647.85;449.232;0.769997
49;1689.66;431.654;0.779999
50;1721.7;435.56;0.789993
51;1743.98;433.607;0.789993
52;1748.86;467.055;0.799995
53;1736.66;443.373;0.809998
54;1736.66;443.373;0.82
55;1783.65;469.008;0.82
56;1832.79;449.232;0.829994
57;1862.7;445.326;0.839996
58;1887.11;451.186;0.849998
59;1892.3;472.915;0.849998
60;1884.67;467.055;0.859993
61;1909.39;484.878;0.869995
62;1976.23;439.467;0.869995
63;2020.48;469.008;0.879997
64;2052.83;480.972;0.889999
65;2065.03;453.383;0.889999
66;2055.27;475.112;0.899994
67;2037.87;480.972;0.899994
68;2060.15;488.784;0.909996
69;2101.96;467.055;0.909996
70;2129.12;470.962;0.919998
71;2144.08;467.055;0.919998
72;2131.57;510.514;0.93
73;2104.4;482.925;0.93
74;2087.31;480.972;0.939995
75;2141.64;508.56;0.939995
76;2185.89;488.784;0.949997
77;2213.05;480.972;0.949997
78;2230.45;486.831;0.959999
79;2225.56;504.654;0.959999
80;2203.28;510.514;0.969994
81;2225.56;512.467;0.969994
82;2292.09;472.915;0.979996
83;2339.09;508.56;0.979996
84;2368.69;504.654;0.989998
85;2376.02;484.878;0.989998
86;2354.05;502.701;1
87;2329.33;518.326;1
88;2351.6;512.467;1
