<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-11-29-13:18:58</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>2284</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1974</WeldTime>
<DistDiff>3.08</DistDiff>
<DistAbs>79.17</DistAbs>
<Energy>3270.42</Energy>
<MaxPower>1934.34</MaxPower>
<CycleTime>6160</CycleTime>
<TrigForce>500.748</TrigForce>
<TrigDist>76.09</TrigDist>
<RunSpeed>68.6733</RunSpeed>
<MaxForce>595.477</MaxForce>
<LossPower>243.156</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;498.795;0
3;0;500.748;0
4;0;500.748;0
5;0;502.701;0
6;0;500.748;0
7;0;500.748;0
8;0;472.915;0
9;0;429.456;0.0200043
10;23.2704;403.821;0.0400009
11;62.9444;378.185;0.0700073
12;94.9889;370.373;0.110001
13;149.312;342.784;0.150002
14;221.03;334.727;0.18
15;285.119;307.138;0.220001
16;334.559;326.914;0.260002
17;378.811;301.279;0.300003
18;416.044;287.362;0.340004
19;472.808;305.185;0.370003
20;532.014;295.419;0.410004
21;583.895;297.372;0.440002
22;635.777;289.315;0.480003
23;685.217;314.951;0.510002
24;729.469;314.951;0.530006
25;781.35;338.633;0.560005
26;857.952;303.232;0.580002
27;917.157;332.774;0.600006
28;971.48;360.363;0.620003
29;1018.48;332.774;0.630005
30;1050.52;358.409;0.650002
31;1072.8;364.513;0.660004
32;1099.96;390.149;0.670006
33;1144.22;370.373;0.68
34;1179.01;386.242;0.690002
35;1208.61;366.466;0.700005
36;1228.14;417.737;0.700005
37;1230.89;399.915;0.710007
38;1233.33;384.045;0.720001
39;1270.26;419.691;0.730003
40;1314.81;399.915;0.740005
41;1341.98;403.821;0.75
42;1366.7;392.102;0.75
43;1383.79;421.644;0.760002
44;1388.67;411.878;0.770004
45;1401.18;431.654;0.780006
46;1450.62;409.925;0.780006
47;1485.11;405.774;0.790001
48;1514.71;429.456;0.800003
49;1534.55;407.971;0.810005
50;1536.99;415.784;0.820007
51;1522.03;417.737;0.830002
52;1526.92;435.56;0.830002
53;1561.71;407.971;0.840004
54;1581.24;419.691;0.850006
55;1596.19;403.821;0.860001
56;1598.64;435.56;0.870003
57;1581.24;435.56;0.870003
58;1561.71;419.691;0.880005
59;1591.31;447.279;0.890007
60;1628.24;441.42;0.900002
61;1645.63;441.42;0.910004
62;1662.72;425.55;0.910004
63;1662.72;465.102;0.920006
64;1648.08;447.279;0.93
65;1648.08;472.915;0.93
66;1692.63;441.42;0.940002
67;1724.68;445.326;0.950005
68;1741.77;472.915;0.960007
69;1751.84;441.42;0.960007
70;1736.88;453.383;0.970001
71;1714.61;453.383;0.970001
72;1709.72;477.065;0.980003
73;1734.44;443.373;0.990005
74;1746.96;459.243;0.990005
75;1754.28;437.513;1
76;1744.21;484.878;1
77;1714.61;472.915;1.01
78;1685;449.232;1.02
79;1709.72;486.831;1.02
80;1739.33;472.915;1.03001
81;1751.84;479.019;1.04
82;1759.16;457.289;1.04
83;1756.72;492.691;1.05
84;1736.88;479.019;1.05
85;1729.56;504.654;1.06001
86;1771.37;459.243;1.06001
87;1798.53;477.065;1.07001
88;1815.93;498.795;1.07001
89;1818.37;465.102;1.08
90;1800.97;484.878;1.08
91;1768.93;480.972;1.09
92;1761.6;502.701;1.09
93;1781.44;469.008;1.10001
94;1788.77;486.831;1.10001
95;1791.21;463.149;1.11
96;1779;522.477;1.11
97;1746.96;494.644;1.12
98;1714.61;477.065;1.12
99;1736.88;514.42;1.12
100;1764.05;494.644;1.13
101;1779;498.795;1.13
102;1781.44;477.065;1.14001
103;1774.12;512.467;1.14001
104;1749.4;496.597;1.14001
105;1741.77;524.43;1.15
106;1781.44;470.962;1.15
107;1806.16;494.644;1.16
108;1818.37;516.373;1.16
109;1820.81;492.691;1.16
110;1796.09;494.644;1.17001
111;1764.05;496.597;1.17001
112;1751.84;514.42;1.17001
113;1774.12;488.784;1.18
114;1779;496.597;1.18
115;1779;482.925;1.18
116;1764.05;506.607;1.19
117;1732;512.467;1.19
118;1697.52;486.831;1.19
119;1719.79;514.42;1.2
120;1749.4;510.514;1.2
121;1756.72;508.56;1.2
122;1761.6;492.691;1.21001
123;1751.84;528.336;1.21001
124;1732;510.514;1.21001
125;1722.24;530.29;1.21001
126;1761.6;504.654;1.22
127;1786.32;502.701;1.22
128;1796.09;526.383;1.22
129;1798.53;498.795;1.23
130;1779;508.56;1.23
131;1746.96;508.56;1.23
132;1739.33;530.29;1.23
133;1756.72;492.691;1.24001
134;1764.05;508.56;1.24001
135;1764.05;486.831;1.24001
136;1749.4;528.336;1.25
137;1719.79;518.326;1.25
138;1689.89;496.597;1.25
139;1709.72;526.383;1.25
140;1734.44;516.373;1.26
141;1744.21;516.373;1.26
142;1749.4;496.597;1.26
143;1736.88;536.149;1.26
144;1717.05;518.326;1.27
145;1707.28;542.009;1.27
146;1744.21;500.748;1.27
147;1768.93;512.467;1.27
148;1783.88;532.243;1.28001
149;1781.44;502.701;1.28001
150;1759.16;518.326;1.28001
151;1732;514.42;1.28001
152;1719.79;536.149;1.29
153;1736.88;498.795;1.29
154;1744.21;516.373;1.29
155;1746.96;492.691;1.29
156;1736.88;546.159;1.29
157;1704.84;522.477;1.3
158;1672.8;504.654;1.3
159;1677.68;540.056;1.3
160;1707.28;522.477;1.3
161;1719.79;526.383;1.3
162;1722.24;506.607;1.31001
163;1717.05;538.102;1.31001
164;1699.96;522.477;1.31001
