<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2025-02-03-13:16:50</TimeStamp>
<UserName>Operator </UserName>
<PressTyp>MPX-50</PressTyp>
<Generator>MAG-Cabinet Serie v01</Generator>
<GenFreq>20</GenFreq>
<MaxForce>5200</MaxForce>
<MaxPower>7200</MaxPower>
<RunupPressure>1.00</RunupPressure>
<RunupDist>2.00</RunupDist>
<RunPress>1.00</RunPress>
<RunBackPress1>1.00</RunBackPress1>
<RunBackPress2>1.50</RunBackPress2>
<RunBackDist>2.00</RunBackDist>
<TrigValue>600.00</TrigValue>
<TrigModeUnit>N</TrigModeUnit>
<HoldPress>0.10</HoldPress>
<HoldTime>500</HoldTime>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>MPX-TC SN019096</PressNr>
<MaxLoss>1080</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.20</PressRiseTime>
<RunPressure>1.30</RunPressure>
<Amplitude>70</Amplitude>
<WeldMode>1800.00</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>5591</WeldNr>
<RecipeName>Q_SCON25 - 35AL Recommended Set</RecipeName>
<WeldTime>1.18</WeldTime>
<DistDiff>2.03</DistDiff>
<DistAbs>44.54</DistAbs>
<Energy>1802.3</Energy>
<MaxPower>1762</MaxPower>
<CycleTime>4.34</CycleTime>
<TrigForce>641</TrigForce>
<TrigDist>42.51</TrigDist>
<RunSpeed>90</RunSpeed>
<MaxForce>1143</MaxForce>
<LossPower>22</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
0;0;631;0.00
2;0;636;0.00
4;0;640;0.01
6;0;645;0.01
8;0;649;0.02
10;0;653;0.02
12;0;658;0.03
14;0;662;0.03
16;0;666;0.04
18;0;670;0.04
20;0;674;0.04
22;0;677;0.05
24;7;678;0.08
26;37;680;0.14
28;97;682;0.23
30;195;683;0.36
32;367;684;0.51
34;555;685;0.66
36;705;687;0.76
38;817;691;0.82
40;892;695;0.84
42;930;699;0.84
44;952;704;0.84
46;967;708;0.85
48;975;712;0.86
50;997;716;0.87
52;997;721;0.88
54;997;725;0.88
56;997;729;0.89
58;1005;733;0.90
60;1027;737;0.91
62;1020;742;0.91
64;1027;747;0.92
66;1050;752;0.93
68;1057;757;0.94
70;1065;763;0.94
72;1072;769;0.95
74;1087;774;0.96
76;1095;780;0.97
78;1102;785;0.97
80;1110;790;0.98
82;1102;795;0.99
84;1117;800;0.99
86;1132;804;1.00
88;1155;808;1.01
90;1155;813;1.01
92;1170;817;1.02
94;1177;821;1.03
96;1170;826;1.03
98;1177;830;1.04
100;1177;834;1.04
102;1192;838;1.05
104;1207;842;1.05
106;1207;846;1.06
108;1192;850;1.06
110;1192;854;1.07
112;1200;857;1.07
114;1200;861;1.08
116;1200;864;1.08
118;1207;868;1.09
120;1207;871;1.09
122;1207;875;1.10
124;1222;879;1.10
126;1222;883;1.11
128;1215;886;1.11
130;1215;890;1.11
132;1230;894;1.12
134;1230;897;1.12
136;1222;901;1.13
138;1222;905;1.13
140;1230;908;1.13
142;1237;912;1.14
144;1222;916;1.14
146;1230;919;1.15
148;1230;922;1.15
150;1230;926;1.15
152;1230;929;1.16
154;1237;933;1.16
156;1245;936;1.17
158;1245;939;1.17
