"nr";"Zugfestigkeit"
3199;2222
3200;2426
3201;2299
3299;2383
3364;2221
3365;2249
3366;2198
3447;2621
3448;2635
3449;2616
3466;2629
3467;2605
3468;2576
3469;2488
3470;2632
3495;2628
3496;2600
3497;2606
3506;2605
3507;2543
3508;2579
3767;2152
3688;2546
4067;2590
4068;2570
4069;2568
4064;2472
4101;1502
4102;2044
4103;1562
4104;2395
4105;2018
4106;1979
4256;1919
4421;2030
4504;1735
4642;2063
4600;1431
4571;1870
4607;1457
4647;2141
4648;2073
4649;2008
4666;1946
4668;1640
4723;2090
4721;1910
4727;2184
4773;1858
4774;2142
4775;2136
4776;2264
4777;2197
4778;2217
4779;2278
4780;2034
4781;2173
4782;2536
4831;2579
4832;2281
4833;2440
4848;2171
4850;2290
4852;2372
4863;1796
4864;2247
4865;1910
4908;1919
4966;2541
4967;2537
4968;2541
5009;2701
5010;2589
5011;2636
5210;2554
5211;2620
5212;2578
5590;2608
5591;2500
5592;2550
5371;2478
5419;2564
5442;2519
5633;2620
5634;2634
5635;2588
5697;2775
5717;2615
5718;2585
5719;2638
5727;2523
5777;2731
5778;2642
5779;2633
5946;2636
5947;2574
5948;2655
5967;2477
5968;2539
5969;2626
5970;2498
