<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-01-25-11:46:10</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>3003</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1667</WeldTime>
<DistDiff>2.31</DistDiff>
<DistAbs>78.09</DistAbs>
<Energy>3270.93</Energy>
<MaxPower>2200</MaxPower>
<CycleTime>6080</CycleTime>
<TrigForce>504.654</TrigForce>
<TrigDist>75.78</TrigDist>
<RunSpeed>68.8283</RunSpeed>
<MaxForce>617.206</MaxForce>
<LossPower>320.826</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;502.701;0
3;0;502.701;0.0100021
4;0;502.701;0.0100021
5;0;502.701;0.0100021
6;0;504.654;0.0100021
7;0;500.748;0.0100021
8;0;470.962;0.0100021
9;0;423.597;0.0200043
10;0;401.868;0.0500031
11;0;362.56;0.0800018
12;34.7148;362.56;0.110001
13;101.245;338.633;0.150002
14;182.73;311.045;0.190002
15;261.772;332.774;0.230003
16;325.861;301.279;0.279999
17;387.509;295.419;0.32
18;449.461;283.456;0.370003
19;508.667;297.372;0.410004
20;565.432;295.419;0.450005
21;629.521;312.998;0.489998
22;711.005;295.419;0.520004
23;794.931;309.091;0.550003
24;869.091;344.737;0.580002
25;940.809;317.148;0.599998
26;987.808;330.821;0.620003
27;1027.18;344.737;0.630005
28;1076.62;368.419;0.650002
29;1140.71;366.466;0.650002
30;1187.7;386.242;0.660004
31;1229.51;376.232;0.669998
32;1254.23;421.644;0.669998
33;1261.86;409.925;0.669998
34;1271.63;384.045;0.68
35;1321.07;433.607;0.68
36;1365.32;421.644;0.690002
37;1400.11;425.55;0.690002
38;1434.6;413.831;0.700005
39;1454.44;431.654;0.700005
40;1461.76;425.55;0.709999
41;1486.48;447.279;0.709999
42;1545.69;409.925;0.720001
43;1587.8;427.503;0.720001
44;1622.29;459.243;0.730003
45;1642.12;403.821;0.730003
46;1639.38;427.503;0.739998
47;1627.17;427.503;0.739998
48;1647.01;441.42;0.75
49;1691.26;425.55;0.760002
50;1715.98;435.56;0.760002
51;1735.82;421.644;0.770004
52;1735.82;463.149;0.779999
