<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-01-25-14:32:08</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>3028</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1674</WeldTime>
<DistDiff>2.42001</DistDiff>
<DistAbs>78.16</DistAbs>
<Energy>3271.85</Energy>
<MaxPower>2177.38</MaxPower>
<CycleTime>6040</CycleTime>
<TrigForce>504.654</TrigForce>
<TrigDist>75.74</TrigDist>
<RunSpeed>68.1728</RunSpeed>
<MaxForce>623.066</MaxForce>
<LossPower>323.611</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;506.607;0
3;0;506.607;0
4;0;506.607;0
5;0;508.56;0
6;0;508.56;0
7;0;506.607;0
8;0;482.925;0.0100021
9;0;431.654;0.0200043
10;0;411.878;0.0400009
11;0;372.326;0.0699997
12;31.93;358.409;0.110001
13;96.0189;348.643;0.150002
14;177.503;324.961;0.18
15;249.222;312.998;0.230003
16;300.798;307.138;0.270004
17;352.68;303.232;0.32
18;417.074;287.362;0.360001
19;478.721;301.279;0.400002
20;535.485;289.315;0.440002
21;597.133;321.055;0.480003
22;649.014;319.102;0.510002
23;700.896;301.279;0.540001
24;772.614;340.831;0.560005
25;854.099;344.737;0.580002
26;910.863;350.597;0.599998
27;967.628;348.643;0.620003
28;1019.51;376.232;0.630005
29;1051.55;380.139;0.639999
30;1083.6;409.925;0.650002
31;1140.36;392.102;0.660004
32;1189.8;397.961;0.660004
33;1226.73;429.456;0.670006
34;1259.08;403.821;0.670006
35;1271.29;399.915;0.68
36;1271.29;407.971;0.68
37;1286.24;419.691;0.690002
38;1328.05;407.971;0.700005
39;1360.1;415.784;0.709999
40;1389.7;396.008;0.709999
41;1402.21;427.503;0.720001
42;1399.77;429.456;0.720001
43;1394.89;397.961;0.730003
44;1431.81;437.513;0.730003
45;1481.25;437.513;0.740005
46;1513.3;435.56;0.75
47;1540.46;421.644;0.75
48;1555.11;445.326;0.760002
49;1557.86;435.56;0.760002
50;1565.18;461.196;0.770004
51;1614.62;429.456;0.779999
52;1661.31;435.56;0.779999
53;1690.92;472.915;0.790001
54;1710.75;423.597;0.800003
