<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-06-25-07:59:58</TimeStamp>
<UserName>operator</UserName>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>10000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>2</RunupPressure>
<RunupDist>5</RunupDist>
<RunPress>0.7</RunPress>
<RunBackPress1>4</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>5</RunBackDist>
<TrigValue>1000</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>19.2326</PressNr>
<MaxLoss>300</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.2</RunPressure>
<Amplitude>85</Amplitude>
<WeldMode>6000</WeldMode>
</WeldSet>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.6</RunPressure>
<Amplitude>90</Amplitude>
<WeldMode>12000</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>261364</WeldNr>
<RecipeName>CCS2_CVS.CSV</RecipeName>
<WeldTime>3842</WeldTime>
<DistDiff>2.13</DistDiff>
<DistAbs>75.29</DistAbs>
<Energy>18001.9</Energy>
<MaxPower>6564</MaxPower>
<CycleTime>8720</CycleTime>
<TrigForce>1023.29</TrigForce>
<TrigDist>73.16</TrigDist>
<RunSpeed>58.1558</RunSpeed>
<MaxForce>3636</MaxForce>
<LossPower>12.9704</LossPower>
<ErrorNr>0</ErrorNr>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;125.58;1070;0.02
3;128.03;1075;0.03
4;125.58;1078;0.03
5;125.58;1078;0.03
6;123.14;1082;0.03
7;95.98;1078;0.03
8;82.86;1018;0.04
9;270.24;962;0.05
10;339.21;934;0.08
11;371.26;912;0.11
12;413.07;898;0.14
13;499.44;890;0.18
14;605.64;890;0.21
15;696.89;890;0.25
16;773.19;885;0.29
17;852.23;880;0.33
18;941.04;910;0.37
19;1029.85;927;0.41
20;1118.66;944;0.44
21;1217.23;969;0.47
22;1315.81;1003;0.49
23;1429.33;1018;0.51
24;1525.47;1033;0.52
25;1611.84;1026;0.53
26;1690.57;1078;0.54
27;1744.9;1097;0.55
28;1774.5;1100;0.55
29;1816.31;1115;0.55
30;1870.63;1127;0.56
31;1907.56;1129;0.56
32;1939.6;1122;0.56
33;1957;1129;0.56
34;1959.44;1139;0.57
35;1952.12;1169;0.57
36;1976.84;1132;0.58
37;2016.21;1134;0.58
38;2053.13;1154;0.59
39;2072.97;1151;0.59
40;2082.74;1154;0.59
41;2075.41;1159;0.6
42;2080.29;1181;0.6
43;2127.29;1179;0.6
44;2181.31;1174;0.61
45;2213.35;1144;0.61
46;2238.07;1196;0.61
47;2245.7;1201;0.62
48;2235.63;1191;0.62
49;2250.59;1206;0.63
50;2292.4;1211;0.63
51;2331.77;1218;0.63
52;2354.05;1206;0.64
53;2356.49;1218;0.64
54;2331.77;1231;0.65
55;2307.35;1270;0.65
56;2319.56;1231;0.65
57;2356.49;1226;0.66
58;2373.88;1228;0.66
59;2388.53;1248;0.66
60;2390.97;1245;0.66
61;2366.25;1253;0.67
62;2351.6;1278;0.67
63;2386.09;1265;0.67
64;2440.41;1267;0.68
65;2472.46;1240;0.68
66;2492.29;1275;0.68
67;2492.29;1287;0.69
68;2474.9;1295;0.69
69;2474.9;1285;0.69
70;2509.38;1299;0.7
71;2548.75;1299;0.7
72;2573.47;1287;0.7
73;2578.36;1302;0.71
74;2556.38;1307;0.71
75;2516.71;1351;0.71
76;2526.78;1317;0.71
77;2558.82;1314;0.72
78;2590.87;1319;0.72
79;2605.52;1332;0.72
80;2603.08;1329;0.72
81;2573.47;1337;0.73
82;2558.82;1356;0.73
83;2605.52;1351;0.73
84;2662.28;1351;0.73
85;2696.77;1317;0.74
86;2716.61;1361;0.74
87;2706.84;1374;0.74
88;2679.68;1376;0.74
89;2679.68;1374;0.75
90;2721.49;1381;0.75
91;2755.97;1381;0.75
92;2775.81;1369;0.75
93;2770.93;1383;0.76
94;2734;1391;0.76
95;2689.44;1435;0.76
96;2696.77;1391;0.76
