<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-06-25-09:31:33</TimeStamp>
<UserName>operator</UserName>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>10000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>2</RunupPressure>
<RunupDist>5</RunupDist>
<RunPress>0.7</RunPress>
<RunBackPress1>4</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>5</RunBackDist>
<TrigValue>1000</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>19.2326</PressNr>
<MaxLoss>300</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.2</RunPressure>
<Amplitude>85</Amplitude>
<WeldMode>6000</WeldMode>
</WeldSet>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.6</RunPressure>
<Amplitude>90</Amplitude>
<WeldMode>12000</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>261438</WeldNr>
<RecipeName>CCS2_CVS.CSV</RecipeName>
<WeldTime>3972</WeldTime>
<DistDiff>2</DistDiff>
<DistAbs>75.14</DistAbs>
<Energy>18003.1</Energy>
<MaxPower>5732</MaxPower>
<CycleTime>8820</CycleTime>
<TrigForce>1003.45</TrigForce>
<TrigDist>73.14</TrigDist>
<RunSpeed>58.0937</RunSpeed>
<MaxForce>3628</MaxForce>
<LossPower>15.717</LossPower>
<ErrorNr>0</ErrorNr>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;122.84;1046;0.02
3;125.28;1048;0.03
4;125.28;1050;0.03
5;122.84;1060;0.03
6;125.28;1063;0.03
7;63.63;1058;0.03
8;126.8;999;0.04
9;294.66;949;0.05
10;336.47;920;0.07
11;370.95;905;0.1
12;415.51;902;0.13
13;504.32;888;0.16
14;619.98;890;0.19
15;718.86;888;0.23
16;800.04;885;0.26
17;883.97;893;0.29
18;967.89;915;0.33
19;1049.07;944;0.36
20;1135.44;952;0.39
21;1241.65;967;0.41
22;1342.66;981;0.43
23;1431.47;1006;0.45
24;1517.84;1014;0.46
25;1584.37;1036;0.47
26;1633.81;1060;0.48
27;1705.22;1070;0.49
28;1781.52;1080;0.49
29;1835.84;1068;0.5
30;1887.72;1100;0.5
31;1922.21;1107;0.51
32;1934.42;1110;0.51
33;1944.49;1107;0.52
34;1988.74;1117;0.52
35;2035.74;1117;0.53
36;2072.66;1110;0.53
37;2102.27;1122;0.54
38;2112.03;1129;0.54
39;2097.38;1144;0.55
40;2104.71;1149;0.55
41;2139.19;1144;0.55
42;2176.12;1134;0.56
43;2198.4;1157;0.56
44;2210.61;1154;0.56
45;2200.84;1159;0.57
46;2191.08;1179;0.57
47;2225.56;1179;0.58
48;2284.77;1184;0.58
49;2326.58;1171;0.58
50;2351.3;1186;0.59
51;2358.62;1201;0.59
52;2346.42;1218;0.6
53;2343.97;1208;0.6
54;2378.46;1221;0.6
55;2420.27;1221;0.61
56;2440.11;1213;0.61
57;2449.87;1221;0.61
58;2430.34;1226;0.61
59;2395.86;1250;0.62
60;2393.11;1245;0.62
61;2412.95;1240;0.62
62;2444.99;1233;0.63
63;2464.83;1253;0.63
64;2469.71;1248;0.63
65;2449.87;1255;0.63
