<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-06-25-21:04:45</TimeStamp>
<UserName>operator</UserName>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>10000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>2</RunupPressure>
<RunupDist>5</RunupDist>
<RunPress>0.7</RunPress>
<RunBackPress1>4</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>5</RunBackDist>
<TrigValue>1000</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>19.2326</PressNr>
<MaxLoss>300</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.2</RunPressure>
<Amplitude>85</Amplitude>
<WeldMode>6000</WeldMode>
</WeldSet>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.6</RunPressure>
<Amplitude>90</Amplitude>
<WeldMode>12000</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>261901</WeldNr>
<RecipeName>CCS2_CVS.CSV</RecipeName>
<WeldTime>3904</WeldTime>
<DistDiff>2.35</DistDiff>
<DistAbs>75.35</DistAbs>
<Energy>18002.4</Energy>
<MaxPower>7051</MaxPower>
<CycleTime>8810</CycleTime>
<TrigForce>1030.61</TrigForce>
<TrigDist>73</TrigDist>
<RunSpeed>57.7989</RunSpeed>
<MaxForce>3636</MaxForce>
<LossPower>13.8859</LossPower>
<ErrorNr>0</ErrorNr>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;127.11;1068;0.03
3;127.11;1075;0.03
4;129.55;1080;0.03
5;127.11;1085;0.03
6;124.67;1087;0.04
7;87.74;1087;0.04
8;86.83;1028;0.05
9;281.53;974;0.06
10;358.13;937;0.09
11;390.18;915;0.12
12;427.11;910;0.16
13;493.64;902;0.2
14;575.12;888;0.24
15;641.65;885;0.28
16;671.25;885;0.32
17;688.65;895;0.36
18;710.62;907;0.41
19;745.11;920;0.45
20;784.78;937;0.49
21;821.71;969;0.52
22;861.08;984;0.55
23;890.68;1014;0.57
24;912.96;1041;0.59
25;949.89;1060;0.6
26;981.93;1073;0.61
27;996.89;1087;0.62
28;1001.77;1102;0.62
29;1001.77;1119;0.62
30;996.89;1134;0.63
31;984.37;1129;0.63
32;981.93;1144;0.63
33;984.37;1144;0.64
34;981.93;1142;0.64
35;977.05;1151;0.64
36;964.84;1162;0.64
37;947.45;1169;0.65
38;932.8;1174;0.65
39;925.17;1174;0.65
40;922.73;1169;0.66
41;917.84;1186;0.66
42;912.96;1181;0.66
43;905.64;1191;0.67
44;895.57;1198;0.67
45;908.08;1203;0.67
46;920.29;1206;0.67
47;930.05;1208;0.68
48;937.68;1213;0.68
49;935.24;1218;0.68
50;935.24;1231;0.69
51;932.8;1223;0.69
52;937.68;1238;0.69
53;947.45;1240;0.7
54;954.77;1240;0.7
55;957.21;1248;0.7
56;954.77;1260;0.7
57;947.45;1265;0.71
58;942.56;1267;0.71
59;952.33;1270;0.71
60;959.65;1270;0.71
61;967.28;1285;0.71
62;969.73;1278;0.72
63;967.28;1287;0.72
64;969.73;1295;0.72
65;989.26;1302;0.72
66;1013.98;1297;0.73
67;1036.26;1299;0.73
68;1053.35;1305;0.73
69;1070.74;1314;0.73
70;1080.51;1324;0.74
71;1095.46;1317;0.74
72;1120.18;1332;0.74
73;1147.34;1332;0.74
74;1169.32;1324;0.75
75;1184.27;1334;0.75
76;1186.71;1344;0.75
77;1189.15;1359;0.75
78;1194.04;1349;0.75
79;1213.87;1349;0.76
80;1241.04;1346;0.76
81;1268.2;1359;0.76
82;1292.61;1356;0.76
83;1310.01;1364;0.77
84;1324.66;1376;0.77
85;1351.82;1376;0.77
86;1398.82;1371;0.77
87;1433.3;1366;0.78
88;1460.46;1381;0.78
89;1485.18;1391;0.78
90;1502.27;1396;0.79
91;1512.34;1393;0.79
92;1541.64;1403;0.79
93;1573.99;1401;0.79
94;1595.97;1393;0.8
95;1618.24;1406;0.8
96;1620.69;1415;0.8
97;1613.36;1433;0.81
98;1618.24;1421;0.81
99;1642.96;1415;0.81
100;1665.24;1418;0.81
101;1684.77;1430;0.82
102;1699.73;1423;0.82
103;1704.61;1430;0.82
104;1707.05;1445;0.82
105;1736.66;1443;0.83
106;1778.47;1440;0.83
107;1808.07;1423;0.83
108;1835.23;1450;0.84
109;1852.63;1455;0.84
110;1855.07;1455;0.84
111;1862.39;1458;0.84
112;1892;1465;0.85
113;1921.6;1465;0.85
114;1948.76;1453;0.85
115;1960.97;1465;0.86
116;1956.08;1475;0.86
117;1938.69;1507;0.86
118;1951.2;1475;0.86
119;1980.8;1475;0.87
120;2005.52;1482;0.87
121;2025.06;1490;0.87
122;2035.13;1482;0.88
123;2027.5;1492;0.88
124;2025.06;1504;0.88
125;2057.1;1504;0.88
126;2104.1;1502;0.89
127;2138.58;1475;0.89
128;2163.3;1514;0.89
129;2175.51;1522;0.9
130;2165.75;1524;0.9
131;2163.3;1522;0.9
132;2192.91;1529;0.9
133;2224.95;1529;0.91
134;2249.67;1522;0.91
135;2257;1531;0.91
136;2244.79;1541;0.92
137;2212.44;1574;0.92
138;2215.19;1536;0.92
139;2244.79;1539;0.92
140;2274.09;1544;0.93
141;2289.04;1549;0.93
142;2291.48;1544;0.93
143;2276.83;1544;0.94
144;2266.76;1566;0.94
145;2308.88;1569;0.94
146;2358.01;1566;0.95
147;2390.06;1563;0.95
148;2400.13;1556;0.95
149;2409.89;1583;0.96
150;2394.94;1601;0.96
151;2380.29;1576;0.96
152;2402.57;1588;0.97
153;2437.06;1593;0.97
154;2456.59;1576;0.97
155;2466.66;1586;0.98
156;2449.26;1596;0.98
157;2412.34;1598;0.98
158;2394.94;1613;0.98
159;2419.66;1596;0.99
160;2454.15;1586;0.99
161;2471.54;1613;0.99
162;2476.42;1608;0.99
163;2459.33;1613;1
164;2434.61;1630;1
165;2469.1;1635;1
166;2528.31;1633;1
167;2570.12;1630;1.01
168;2592.39;1628;1.01
169;2599.72;1652;1.01
170;2580.19;1670;1.01
171;2570.12;1647;1.02
172;2597.28;1655;1.02
173;2644.28;1662;1.02
174;2668.69;1645;1.02
175;2673.88;1657;1.02
176;2649.16;1662;1.03
177;2602.16;1670;1.03
178;2597.28;1679;1.03
179;2626.88;1662;1.03
180;2661.37;1647;1.03
181;2681.2;1679;1.04
182;2678.76;1675;1.04
183;2654.04;1675;1.04
184;2634.21;1699;1.04
185;2678.76;1697;1.05
186;2742.85;1697;1.05
187;2789.54;1697;1.05
188;2814.26;1694;1.05
189;2816.71;1711;1.05
190;2791.99;1736;1.06
191;2787.1;1711;1.06
192;2824.34;1719;1.06
193;2868.59;1724;1.06
194;2890.87;1707;1.07
195;2895.75;1719;1.07
196;2880.79;1724;1.07
197;2829.22;1736;1.07
198;2799.62;1741;1.07
199;2829.22;1726;1.08
200;2871.03;1709;1.08
201;2888.42;1744;1.08
202;2898.19;1739;1.08
203;2878.35;1739;1.08
204;2843.87;1761;1.09
205;2873.47;1761;1.09
206;2940;1761;1.09
207;2989.44;1751;1.09
208;3021.49;1756;1.1
209;3031.25;1778;1.1
210;3006.53;1800;1.1
211;2989.44;1771;1.1
212;3023.93;1783;1.1
213;3073.37;1788;1.11
214;3100.53;1771;1.11
215;3120.06;1781;1.11
216;3097.78;1788;1.11
217;3043.76;1808;1.12
218;3033.69;1803;1.12
219;3073.37;1788;1.12
220;3112.74;1778;1.12
221;3139.9;1808;1.12
222;3147.22;1800;1.13
223;3120.06;1803;1.13
224;3090.46;1825;1.13
225;3137.46;1825;1.13
226;3203.99;1823;1.13
227;3248.24;1810;1.14
228;3283.03;1823;1.14
229;3292.79;1840;1.14
230;3260.75;1862;1.14
231;3250.68;1838;1.14
232;3295.24;1847;1.15
233;3339.49;1852;1.15
234;3369.09;1832;1.15
235;3386.49;1845;1.15
236;3352;1852;1.16
237;3290.35;1879;1.16
238;3297.68;1867;1.16
239;3334.6;1850;1.16
240;3369.09;1840;1.16
241;3391.37;1872;1.17
242;3396.25;1865;1.17
243;3364.21;1865;1.17
244;3329.72;1889;1.17
245;3376.72;1887;1.18
246;3443.25;1884;1.18
247;3485.06;1862;1.18
248;3529.62;1887;1.18
249;3532.06;1904;1.18
250;3494.83;1919;1.19
251;3480.18;1897;1.19
252;3524.43;1909;1.19
253;3571.43;1914;1.19
254;3601.03;1897;1.2
255;3620.87;1909;1.2
256;3583.64;1909;1.2
257;3514.66;1943;1.2
258;3521.99;1919;1.2
259;3561.66;1906;1.21
260;3593.71;1904;1.21
261;3620.87;1926;1.21
262;3628.19;1921;1.21
263;3578.75;1921;1.22
264;3556.78;1948;1.22
265;3610.8;1939;1.22
266;3672.45;1941;1.22
267;3699.61;1909;1.22
268;3741.72;1948;1.23
269;3758.81;1958;1.23
270;3724.33;1973;1.23
271;3687.4;1956;1.23
272;3726.77;1966;1.24
273;3776.21;1963;1.24
274;3803.37;1948;1.24
275;3830.23;1963;1.24
276;3805.81;1966;1.25
277;3731.65;2015;1.25
278;3712.12;1971;1.25
279;3756.37;1963;1.25
280;3795.74;1956;1.26
281;3825.34;1980;1.26
282;3840.3;1978;1.26
283;3800.93;1975;1.26
284;3749.05;2005;1.27
285;3793.3;1998;1.27
286;3862.58;1998;1.27
287;3909.27;1953;1.27
288;3956.27;2003;1.27
289;3961.15;2018;1.28
290;3914.15;2025;1.28
291;3889.43;2013;1.28
292;3941.31;2022;1.28
293;3993.19;2020;1.29
294;4032.56;2000;1.29
295;4059.72;2015;1.29
296;4015.47;2022;1.29
297;3933.99;2074;1.29
298;3931.55;2025;1.3
299;3985.87;2018;1.3
300;4032.56;2018;1.3
301;4067.05;2035;1.3
302;4071.93;2027;1.3
303;4015.47;2027;1.31
304;3973.36;2059;1.31
305;4035;2050;1.31
306;4118.93;2050;1.31
307;4175.7;1995;1.32
308;4222.39;2059;1.32
309;4217.51;2069;1.32
310;4150.98;2077;1.32
311;4133.58;2064;1.32
312;4200.42;2074;1.33
313;4259.62;2072;1.33
314;4303.87;2055;1.33
315;4313.64;2072;1.33
316;4274.27;2074;1.33
317;4183.02;2136;1.34
318;4138.77;2074;1.34
319;4195.23;2069;1.34
320;4259.62;2072;1.34
321;4298.99;2091;1.34
322;4308.76;2082;1.35
323;4251.99;2082;1.35
324;4178.14;2111;1.35
325;4224.83;2104;1.35
326;4326.15;2104;1.35
327;4402.45;2040;1.36
328;4459.21;2114;1.36
329;4461.65;2123;1.36
330;4397.56;2143;1.36
331;4345.68;2109;1.36
332;4404.89;2126;1.37
333;4493.7;2131;1.37
334;4550.46;2104;1.37
335;4560.23;2119;1.37
336;4498.58;2128;1.37
337;4385.36;2163;1.37
338;4360.64;2138;1.38
339;4434.49;2119;1.38
340;4515.98;2104;1.38
341;4560.23;2138;1.38
342;4550.46;2134;1.38
343;4471.42;2128;1.39
344;4400.01;2166;1.39
345;4468.98;2156;1.39
346;4597.46;2153;1.39
347;4691.15;2119;1.39
348;4742.73;2151;1.4
349;4715.57;2178;1.4
350;4631.95;2195;1.4
351;4587.39;2168;1.4
352;4671.32;2175;1.4
353;4772.33;2180;1.41
354;4831.54;2156;1.41
355;4826.65;2170;1.41
356;4735.4;2178;1.41
357;4599.9;2225;1.41
358;4597.46;2185;1.41
359;4691.15;2170;1.42
360;4787.29;2156;1.42
361;4829.1;2188;1.42
362;4799.49;2183;1.42
363;4718.31;2180;1.42
364;4629.51;2215;1.43
365;4703.36;2205;1.43
366;4848.93;2200;1.43
367;4962.46;2156;1.43
368;5009.16;2207;1.43
369;4981.99;2227;1.44
370;4883.42;2242;1.44
371;4824.21;2217;1.44
372;4908.14;2227;1.44
373;5024.11;2230;1.44
374;5083.32;2200;1.45
375;5080.57;2220;1.45
376;4986.88;2227;1.45
377;4841.61;2284;1.45
378;4821.77;2232;1.45
379;4917.91;2217;1.45
380;5021.67;2210;1.46
381;5063.48;2235;1.46
382;5038.76;2232;1.46
383;4940.18;2230;1.46
384;4863.58;2264;1.46
385;4957.27;2254;1.47
386;5107.73;2252;1.47
387;5177.01;2193;1.47
388;5236.21;2259;1.47
389;5231.03;2274;1.47
390;5147.4;2286;1.47
391;5061.04;2262;1.48
392;5120.24;2274;1.48
393;5226.14;2279;1.48
394;5305.19;2247;1.48
395;5322.28;2267;1.48
396;5258.19;2269;1.49
397;5120.24;2341;1.49
398;5053.71;2274;1.49
399;5137.33;2262;1.49
400;5236.21;2259;1.49
401;5292.67;2279;1.49
402;5295.11;2282;1.5
403;5216.38;2271;1.5
404;5112.61;2311;1.5
405;5169.38;2296;1.5
406;5307.63;2299;1.5
407;5418.71;2230;1.5
408;5472.73;2306;1.51
409;5465.41;2323;1.51
410;5374.16;2328;1.51
411;5310.07;2311;1.51
412;5381.48;2318;1.51
413;5480.36;2326;1.52
414;5534.38;2294;1.52
415;5551.78;2316;1.52
416;5487.69;2318;1.52
417;5349.44;2398;1.52
418;5319.83;2318;1.52
419;5401.32;2309;1.53
420;5487.69;2304;1.53
421;5531.94;2326;1.53
422;5534.38;2321;1.53
423;5455.64;2316;1.53
424;5376.6;2358;1.53
425;5450.76;2348;1.54
426;5578.94;2341;1.54
427;5662.86;2336;1.54
428;5712;2299;1.54
429;5702.23;2378;1.54
430;5615.86;2370;1.54
431;5578.94;2348;1.55
432;5652.79;2365;1.55
433;5734.28;2368;1.55
434;5780.97;2343;1.55
435;5800.81;2351;1.55
436;5768.76;2360;1.55
437;5660.12;2378;1.56
438;5598.47;2410;1.56
439;5660.12;2341;1.56
440;5734.28;2341;1.56
441;5778.53;2373;1.56
442;5805.69;2360;1.56
443;5756.55;2360;1.57
444;5662.86;2387;1.57
445;5702.23;2387;1.57
446;5805.69;2383;1.57
447;5889.61;2373;1.57
448;5943.94;2346;1.57
