<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-06-26-09:49:09</TimeStamp>
<UserName>operator</UserName>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>10000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>2</RunupPressure>
<RunupDist>5</RunupDist>
<RunPress>0.7</RunPress>
<RunBackPress1>4</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>5</RunBackDist>
<TrigValue>1000</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>19.2326</PressNr>
<MaxLoss>300</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.2</RunPressure>
<Amplitude>85</Amplitude>
<WeldMode>6000</WeldMode>
</WeldSet>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.6</RunPressure>
<Amplitude>90</Amplitude>
<WeldMode>12000</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>262076</WeldNr>
<RecipeName>CCS2_CVS.CSV</RecipeName>
<WeldTime>3816</WeldTime>
<DistDiff>2.2</DistDiff>
<DistAbs>75.28</DistAbs>
<Energy>18002</Energy>
<MaxPower>6972</MaxPower>
<CycleTime>8710</CycleTime>
<TrigForce>1003.45</TrigForce>
<TrigDist>73.08</TrigDist>
<RunSpeed>58.888</RunSpeed>
<MaxForce>3633</MaxForce>
<LossPower>19.0741</LossPower>
<ErrorNr>0</ErrorNr>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;121.92;1043;0.02
3;121.92;1041;0.02
4;121.92;1050;0.03
5;121.92;1053;0.03
6;121.92;1058;0.03
7;99.64;1058;0.03
8;32.2;1016;0.04
9;234.53;957;0.05
10;318.46;922;0.07
11;350.51;898;0.1
12;382.55;893;0.13
13;451.52;890;0.16
14;554.98;878;0.2
15;656.3;883;0.23
16;742.36;883;0.26
17;818.96;885;0.29
18;898.01;900;0.33
19;974.3;915;0.36
20;1043.28;954;0.39
21;1122.32;947;0.41
22;1208.69;959;0.43
23;1292.31;977;0.45
24;1376.23;999;0.47
25;1447.95;1006;0.48
26;1507.16;1028;0.5
27;1556.29;1055;0.51
28;1620.38;1065;0.51
29;1684.47;1073;0.52
30;1731.47;1050;0.53
31;1770.84;1092;0.53
32;1793.12;1105;0.53
33;1795.56;1100;0.54
34;1817.84;1102;0.55
35;1864.53;1110;0.55
36;1906.64;1115;0.56
37;1936.25;1112;0.56
38;1960.66;1125;0.57
39;1960.66;1137;0.57
40;1950.9;1181;0.57
41;1973.17;1139;0.58
42;2007.66;1142;0.58
43;2032.38;1144;0.59
44;2054.35;1154;0.59
45;2064.42;1151;0.6
46;2057.1;1159;0.6
47;2066.87;1174;0.61
48;2108.68;1179;0.61
49;2158.12;1176;0.61
50;2185.28;1142;0.62
51;2207.25;1194;0.62
52;2207.25;1203;0.63
53;2192.6;1198;0.63
54;2202.37;1206;0.63
55;2236.85;1218;0.64
56;2271.65;1218;0.64
57;2293.62;1211;0.65
58;2298.5;1223;0.65
59;2281.41;1231;0.65
60;2256.69;1280;0.66
61;2266.46;1233;0.66
62;2303.69;1235;0.66
63;2325.66;1245;0.66
64;2338.18;1248;0.67
65;2338.18;1248;0.67
66;2318.34;1258;0.68
67;2313.46;1275;0.68
68;2350.38;1273;0.68
69;2394.94;1270;0.68
70;2419.35;1233;0.69
71;2434.31;1290;0.69
72;2424.54;1295;0.69
73;2402.26;1295;0.7
74;2407.15;1295;0.7
75;2446.52;1307;0.7
76;2481;1310;0.7
77;2498.4;1302;0.71
78;2498.4;1314;0.71
79;2471.24;1319;0.71
80;2448.96;1369;0.72
