<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-09-27-09:41:19</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>1632</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1607</WeldTime>
<DistDiff>2.58</DistDiff>
<DistAbs>78.69</DistAbs>
<Energy>3271.71</Energy>
<MaxPower>2268.92</MaxPower>
<CycleTime>5800</CycleTime>
<TrigForce>506.607</TrigForce>
<TrigDist>76.11</TrigDist>
<RunSpeed>69.4434</RunSpeed>
<MaxForce>593.524</MaxForce>
<LossPower>217.425</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;506.607;0
3;0;510.514;0
4;0;508.56;0
5;0;506.607;0
6;0;508.56;0
7;0;506.607;0
8;0;482.925;0
9;0;431.654;0.0100021
10;49.0013;419.691;0.0400009
11;95.9998;382.092;0.0699997
12;132.927;380.139;0.0999985
13;182.367;358.409;0.139999
14;256.527;342.784;0.18
15;328.246;338.633;0.229996
16;397.217;326.914;0.269997
17;451.54;319.102;0.32
18;510.746;311.045;0.370003
19;569.952;328.867;0.419998
20;629.463;323.008;0.459999
21;683.786;340.831;0.5
22;750.317;328.867;0.529999
23;854.08;328.867;0.57
24;920.61;352.55;0.599998
25;987.445;338.633;0.620003
26;1046.65;352.55;0.650002
27;1091.21;362.56;0.669998
28;1135.46;382.092;0.68
29;1199.55;364.513;0.699997
30;1256.62;386.242;0.709999
31;1300.87;374.279;0.720001
32;1338.1;413.831;0.729996
33;1352.75;413.831;0.729996
34;1357.64;399.915;0.739998
35;1392.43;421.644;0.739998
36;1446.75;415.784;0.75
37;1481.23;419.691;0.760002
38;1515.72;403.821;0.760002
39;1540.44;437.513;0.769997
40;1550.21;423.597;0.779999
41;1562.72;449.232;0.779999
42;1617.04;419.691;0.790001
43;1668.92;411.878;0.800003
44;1703.41;435.56;0.800003
45;1733.01;431.654;0.809998
46;1742.78;419.691;0.82
47;1735.45;431.654;0.82
48;1740.34;441.42;0.830002
49;1784.89;439.467;0.839996
50;1821.82;429.456;0.849998
51;1841.66;423.597;0.849998
52;1859.05;431.654;0.860001
53;1848.98;459.243;0.870003
54;1834.33;433.607;0.879997
