<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-12-05-14:53:21</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>2424</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1779</WeldTime>
<DistDiff>3.67001</DistDiff>
<DistAbs>78.3</DistAbs>
<Energy>3271.55</Energy>
<MaxPower>2109.63</MaxPower>
<CycleTime>6110</CycleTime>
<TrigForce>500.748</TrigForce>
<TrigDist>74.63</TrigDist>
<RunSpeed>67.2949</RunSpeed>
<MaxForce>601.337</MaxForce>
<LossPower>248.23</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;500.748;0
3;0;500.748;0
4;0;500.748;0
5;0;504.654;0.0100021
6;0;502.701;0.0100021
7;0;500.748;0.0100021
8;0;494.644;0.0100021
9;0;472.915;0.0100021
10;5.98924;455.336;0.0200043
11;28.2677;445.326;0.0400009
12;45.3581;433.607;0.0500031
13;67.6366;427.503;0.0699997
14;92.3566;417.737;0.090004
15;131.726;417.737;0.100006
16;171.4;411.878;0.120003
17;208.327;419.691;0.130005
18;245.56;396.008;0.150002
19;272.721;403.821;0.170006
20;302.324;403.821;0.190002
21;329.485;396.008;0.200005
22;356.647;401.868;0.220001
23;376.179;399.915;0.240005
24;396.016;409.925;0.25
25;415.853;401.868;0.270004
26;438.131;399.915;0.280006
27;455.222;397.961;0.300003
28;470.176;419.691;0.310005
29;477.5;409.925;0.32
30;487.266;403.821;0.330002
31;509.545;425.55;0.350006
32;531.823;413.831;0.360001
33;541.589;413.831;0.370003
34;549.219;405.774;0.380005
35;554.102;415.784;0.400002
36;558.985;411.878;0.410004
37;566.309;427.503;0.420006
38;583.705;401.868;0.440002
39;593.471;417.737;0.450005
40;595.912;423.597;0.470001
41;588.588;409.925;0.480003
42;578.822;421.644;0.490005
43;566.309;421.644;0.5
44;558.985;429.456;0.510002
45;556.543;421.644;0.520004
46;554.102;423.597;0.540001
47;551.66;415.784;0.550003
48;546.777;439.467;0.560005
49;536.706;425.55;0.57
50;531.823;425.55;0.580002
51;541.589;437.513;0.590004
52;549.219;429.456;0.600006
53;554.102;431.654;0.610001
54;558.985;423.597;0.620003
55;563.868;433.607;0.630005
56;561.426;435.56;0.639999
57;576.38;447.279;0.650002
58;591.029;425.55;0.670006
59;603.542;433.607;0.68
60;608.425;447.279;0.690002
61;608.425;425.55;0.700005
62;603.542;439.467;0.709999
63;593.471;439.467;0.720001
64;593.471;447.279;0.730003
65;593.471;435.56;0.740005
66;588.588;445.326;0.75
67;583.705;427.503;0.760002
68;578.822;461.196;0.770004
69;568.751;451.186;0.780006
70;563.868;437.513;0.790001
71;576.38;465.102;0.800003
72;588.588;445.326;0.800003
73;591.029;451.186;0.810005
74;595.912;443.373;0.82
75;598.659;455.336;0.830002
76;598.659;453.383;0.840004
77;605.983;469.008;0.850006
78;628.262;437.513;0.860001
79;638.028;453.383;0.870003
80;645.352;463.149;0.880005
81;645.352;441.42;0.889999
82;642.911;459.243;0.889999
83;633.145;455.336;0.900002
84;635.586;467.055;0.910004
85;638.028;455.336;0.920006
86;638.028;459.243;0.93
87;640.469;447.279;0.940002
88;635.586;477.065;0.950005
89;623.074;461.196;0.959999
90;623.074;453.383;0.970001
