<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-12-06-11:03:28</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>2485</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>2096</WeldTime>
<DistDiff>3.77</DistDiff>
<DistAbs>78.34</DistAbs>
<Energy>3271</Energy>
<MaxPower>1914.88</MaxPower>
<CycleTime>6410</CycleTime>
<TrigForce>500.748</TrigForce>
<TrigDist>74.57</TrigDist>
<RunSpeed>68.6017</RunSpeed>
<MaxForce>599.384</MaxForce>
<LossPower>255.287</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;500.748;0
3;0;500.748;0
4;0;502.701;0
5;0;504.654;0
6;0;502.701;0
7;0;502.701;0
8;0;496.597;0
9;0;475.112;0.0100021
10;0;463.149;0.0199966
11;8.69778;453.383;0.0299988
12;11.1393;445.326;0.0400009
13;26.0933;447.279;0.0599976
14;48.3719;425.55;0.0699997
15;80.4163;429.456;0.090004
16;105.136;433.607;0.0999985
17;129.856;413.831;0.110001
18;151.83;415.784;0.129997
19;174.108;417.737;0.139999
20;191.504;423.597;0.150002
21;208.899;415.784;0.160004
22;230.873;419.691;0.18
23;248.268;401.868;0.190002
24;265.664;431.654;0.199997
25;277.871;417.737;0.220001
26;287.637;411.878;0.230003
27;305.033;433.607;0.239998
28;314.798;421.644;0.25
29;329.752;427.503;0.260002
30;337.077;419.691;0.269997
31;341.96;433.607;0.279999
32;347.148;433.607;0.290001
33;352.031;445.326;0.300003
34;366.68;421.644;0.309998
35;381.634;435.56;0.32
36;388.958;437.513;0.330002
37;388.958;421.644;0.340004
38;386.517;431.654;0.349998
39;386.517;431.654;0.360001
40;381.634;441.42;0.370003
41;381.634;429.456;0.379997
42;381.634;435.56;0.389999
43;384.075;425.55;0.400002
44;381.634;453.383;0.410004
45;371.868;441.42;0.410004
46;364.238;431.654;0.419998
47;359.355;457.289;0.43
48;359.355;443.373;0.440002
49;356.914;445.326;0.449997
50;356.914;441.42;0.459999
51;354.473;451.186;0.459999
52;359.355;449.232;0.470001
53;359.355;463.149;0.480003
54;369.121;437.513;0.489998
55;381.634;449.232;0.5
56;384.075;459.243;0.510002
57;388.958;443.373;0.519997
58;384.075;451.186;0.529999
59;381.634;453.383;0.529999
60;379.192;463.149;0.540001
61;379.192;453.383;0.550003
62;384.075;455.336;0.559998
63;384.075;447.279;0.57
64;381.634;470.962;0.580002
65;376.751;461.196;0.580002
66;369.121;455.336;0.590004
67;366.68;472.915;0.599998
68;369.121;461.196;0.610001
69;369.121;463.149;0.620003
70;366.68;457.289;0.620003
71;366.68;465.102;0.629997
72;366.68;467.055;0.639999
73;369.121;479.019;0.650002
74;379.192;457.289;0.660004
75;391.4;465.102;0.660004
76;393.841;475.112;0.669998
77;393.841;461.196;0.68
78;393.841;469.008;0.690002
79;388.958;469.008;0.690002
80;386.517;477.065;0.699997
81;388.958;467.055;0.709999
82;386.517;470.962;0.720001
83;388.958;459.243;0.720001
84;386.517;488.784;0.730003
85;384.075;477.065;0.739998
86;374.31;469.008;0.75
87;374.31;486.831;0.75
88;376.751;477.065;0.760002
89;379.192;477.065;0.769997
90;381.634;470.962;0.779999
91;381.634;484.878;0.779999
92;379.192;480.972;0.790001
