"Schweißkurve";"Zugfestigkeit"
"2510";2584,81518554688
"2511";2777,15551757813
"2512";2506,76000976563
"2513";2612,61376953125
"2514";2645,82983398438
"2515";2733,13159179688
"2516";2666,10498046875
"2517";2730,40356445313
"2518";2556,234375
"2519";2695,21508789063
"2520";2648,31518554688
"2521";2749,08422851563
"2522";2704,7783203125
"2523";2751,58422851563
"2524";2693,31396484375
"2525";2860,15307617188
"2526";2667,47265625
"2527";2723,82543945313
"2528";2679,97387695313
"2529";2727,72192382813
"2530";2641,28198242188
"2531";2767,24975585938
"2532";2742,67822265625
"2533";2627,212890625
"2534";2522,12841796875
"2535";2738,701171875
"2536";2696,55615234375
"2537";2680,64086914063
"2538";2685,69067382813
"2539";2729,60620117188
"2540";2775,30249023438
"2541";2525,22314453125
"2542";2641,59716796875
"2543";2645,99975585938
"2544";2670,67895507813
"2545";2659,64916992188
"2546";2715,08618164063
"2547";2780,89306640625
"2548";2762,0458984375
"2549";2856,765625
"2550";2371,1201171875
"2551";2367,42553710938
"2552";2656,40283203125
"2553";2745,66821289063
"2554";2780,71630859375
"2555";2783,59008789063
"2556";2762,29711914063
"2557";2609,81420898438
"2558";2678,337890625
"2559";2741,84838867188
"2560";2301,904296875
"2561";2628,96557617188
"2562";2555,208984375
"2563";2708,12133789063
"2564";2534,98120117188
"2565";2636,68798828125
"2566";2680,71948242188
"2567";2622,42895507813
"2568";2631,42504882813
"2569";2659,15185546875
"2570";2383,41943359375
"2571";2540,56494140625
"2572";2532,068359375
"2573";2621,98779296875
"2574";2598,69189453125
"2575";2761,48779296875
"2576";2627,63330078125
"2577";2470,248046875
"2578";2631,74462890625
"2579";2525,79663085938
"2580";2638,62646484375
"2581";2584,41943359375
"2582";2532,56640625
"2583";2578,33959960938
"2584";2499,162109375
"2585";2523,56396484375
"2586";2637,84985351563
"2587";2713,89990234375
"2588";2461,232421875
"2589";2714,8154296875
"2590";2357,28149414063
"2591";2735,65161132813
"2592";2411,29931640625
"2593";2568,87841796875
"2594";2560,32177734375
"2595";2524,69580078125
"2596";2610,4716796875
"2597";2498,5556640625
"2598";2569,935546875
"2599";2683,22290039063
"2600";2599,03393554688
"2601";2561,35327148438
"2602";2203,89404296875
"2603";2528,72509765625
"2604";2652,19262695313
"2605";2535,88647460938
"2606";2480,42700195313
"2607";2570,65747070313
"2608";2580,2265625
"2609";2686,91259765625
