<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-10-13-09:39:46</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>1796</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1075</WeldTime>
<DistDiff>1.73</DistDiff>
<DistAbs>77.9</DistAbs>
<Energy>3272.29</Energy>
<MaxPower>3469.04</MaxPower>
<CycleTime>5130</CycleTime>
<TrigForce>502.701</TrigForce>
<TrigDist>76.17</TrigDist>
<RunSpeed>70.5278</RunSpeed>
<MaxForce>615.253</MaxForce>
<LossPower>0</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;111.393;506.607;0
3;108.646;506.607;0
4;111.393;506.607;0
5;111.393;506.607;0
6;108.646;508.56;0
7;101.321;506.607;0
8;9.76592;484.878;0.0100021
9;152.898;433.607;0.0200043
10;202.338;421.644;0.0400009
11;202.338;388.195;0.0800018
12;229.499;382.092;0.120003
13;313.425;356.456;0.160004
14;412.305;354.503;0.200005
15;493.789;336.68;0.240005
16;540.483;340.831;0.279999
17;582.598;326.914;0.330002
18;629.597;319.102;0.370003
19;688.803;330.821;0.400002
20;750.45;330.821;0.440002
21;812.098;330.821;0.480003
22;868.862;336.68;0.510002
23;915.86;352.55;0.529999
24;967.742;350.597;0.560005
25;1024.51;362.56;0.580002
26;1078.83;360.363;0.599998
27;1138.04;382.092;0.610001
28;1187.48;401.868;0.630005
29;1224.4;392.102;0.639999
30;1264.08;409.925;0.639999
31;1325.72;417.737;0.650002
32;1377.61;421.644;0.650002
33;1416.97;413.831;0.660004
34;1461.53;435.56;0.660004
35;1491.13;433.607;0.660004
36;1506.09;451.186;0.669998
37;1550.34;433.607;0.669998
38;1609.85;425.55;0.68
39;1651.66;447.279;0.690002
40;1691.34;431.654;0.690002
41;1715.75;433.607;0.700005
42;1720.94;433.607;0.700005
43;1725.82;451.186;0.709999
44;1757.87;433.607;0.720001
45;1794.79;437.513;0.720001
46;1821.95;421.644;0.730003
47;1844.23;447.279;0.740005
48;1849.12;455.336;0.740005
49;1834.47;435.56;0.75
50;1841.79;455.336;0.760002
51;1893.67;453.383;0.770004
52;1933.04;459.243;0.770004
