<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-10-13-11:05:53</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>1835</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1119</WeldTime>
<DistDiff>1.83</DistDiff>
<DistAbs>78.03</DistAbs>
<Energy>3271.74</Energy>
<MaxPower>3393.96</MaxPower>
<CycleTime>5190</CycleTime>
<TrigForce>502.701</TrigForce>
<TrigDist>76.2</TrigDist>
<RunSpeed>70.4251</RunSpeed>
<MaxForce>625.019</MaxForce>
<LossPower>210.883</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;504.654;0
3;0;504.654;0
4;0;502.701;0
5;0;504.654;0
6;0;506.607;0
7;0;502.701;0
8;0;492.691;0
9;0;437.513;0.0100021
10;53.1022;427.503;0.0400009
11;92.7763;394.055;0.0699997
12;132.145;378.185;0.110001
13;188.91;354.503;0.150002
14;267.953;336.68;0.190002
15;337.23;344.737;0.240005
16;393.994;326.914;0.280006
17;440.687;309.091;0.32
18;505.081;334.727;0.360001
19;566.729;323.008;0.400002
20;628.376;330.821;0.43
21;685.141;326.914;0.460007
22;739.464;348.643;0.490005
23;788.903;354.503;0.520004
24;855.739;376.232;0.540001
25;937.223;354.503;0.550003
26;1001.31;380.139;0.57
27;1055.64;397.961;0.580002
28;1105.08;380.139;0.590004
29;1142;405.774;0.600006
30;1164.28;413.831;0.600006
31;1203.65;429.456;0.610001
32;1245.77;415.784;0.610001
33;1280.25;423.597;0.610001
34;1307.41;413.831;0.620003
35;1322.37;449.232;0.620003
36;1322.37;427.503;0.630005
37;1334.57;425.55;0.630005
38;1384.01;447.279;0.639999
39;1423.38;433.607;0.639999
40;1453.29;427.503;0.650002
41;1482.89;427.503;0.660004
42;1499.98;443.373;0.670006
43;1504.87;449.232;0.670006
44;1537.22;451.186;0.68
45;1591.54;423.597;0.68
46;1628.47;447.279;0.690002
47;1660.51;449.232;0.700005
48;1682.79;433.607;0.700005
49;1682.79;447.279;0.710007
50;1682.79;457.289;0.720001
51;1707.51;457.289;0.730003
52;1746.88;447.279;0.730003
53;1776.48;441.42;0.740005
54;1796.32;447.279;0.75
55;1798.76;475.112;0.75
56;1784.11;455.336;0.760002
57;1784.11;461.196;0.770004
58;1838.43;480.972;0.780006
59;1877.8;469.008;0.780006
60;1907.41;459.243;0.790001
61;1929.69;469.008;0.790001
62;1927.24;482.925;0.800003
63;1919.92;494.644;0.800003
64;1941.89;486.831;0.810005
65;2008.73;467.055;0.810005
66;2048.1;494.644;0.82
67;2075.26;486.831;0.82
68;2085.33;479.019;0.830002
69;2070.38;488.784;0.830002
70;2053.29;504.654;0.840004
71;2075.26;494.644;0.840004
72;2119.82;482.925;0.840004
73;2146.98;480.972;0.850006
74;2161.93;484.878;0.850006
75;2149.42;518.326;0.860001
76;2119.82;488.784;0.860001
77;2110.05;494.644;0.860001
78;2166.81;516.373;0.870003
79;2208.62;498.795;0.870003
