<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-11-29-14:50:25</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>2343</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1890</WeldTime>
<DistDiff>2.78</DistDiff>
<DistAbs>78.95</DistAbs>
<Energy>3270.55</Energy>
<MaxPower>1965.01</MaxPower>
<CycleTime>6050</CycleTime>
<TrigForce>500.748</TrigForce>
<TrigDist>76.17</TrigDist>
<RunSpeed>70.79</RunSpeed>
<MaxForce>595.477</MaxForce>
<LossPower>242.088</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;498.795;0
3;0;502.701;0
4;0;500.748;0
5;0;504.654;0
6;0;502.701;0
7;0;502.701;0
8;0;490.738;0.0100021
9;0;431.654;0.0200043
10;29.2215;419.691;0.0400009
11;66.454;380.139;0.0699997
12;100.94;372.326;0.0999985
13;155.263;344.737;0.139999
14;231.864;336.68;0.169998
15;300.836;319.102;0.209999
16;355.159;324.961;0.240005
17;399.716;307.138;0.279999
18;444.273;303.232;0.310005
19;503.479;312.998;0.340004
20;560.244;303.232;0.370003
21;612.125;305.185;0.400002
22;656.377;307.138;0.43
23;703.375;319.102;0.459999
24;745.491;324.961;0.480003
25;807.138;332.774;0.5
26;873.669;323.008;0.520004
27;927.992;342.784;0.540001
28;979.873;348.643;0.560005
29;1019.55;350.597;0.57
30;1046.71;364.513;0.580002
31;1073.87;380.139;0.590004
32;1118.12;384.045;0.599998
33;1157.8;382.092;0.610001
34;1189.84;376.232;0.620003
35;1219.44;392.102;0.630005
36;1229.21;403.821;0.639999
37;1231.96;388.195;0.639999
38;1253.93;399.915;0.650002
39;1303.37;407.971;0.660004
40;1335.41;399.915;0.669998
41;1365.02;392.102;0.68
42;1387.3;407.971;0.68
43;1397.37;413.831;0.690002
44;1402.25;431.654;0.700005
45;1439.18;413.831;0.709999
46;1486.18;405.774;0.709999
47;1515.78;429.456;0.720001
48;1538.06;415.784;0.730003
49;1547.82;415.784;0.730003
50;1540.5;421.644;0.740005
51;1535.61;437.513;0.75
52;1570.1;419.691;0.760002
53;1594.82;421.644;0.760002
54;1614.66;405.774;0.770004
55;1624.42;433.607;0.779999
56;1614.66;435.56;0.790001
57;1594.82;415.784;0.790001
58;1607.03;439.467;0.800003
59;1649.14;443.373;0.810005
60;1673.86;443.373;0.82
61;1693.7;425.55;0.82
62;1703.47;437.513;0.830002
63;1696.14;447.279;0.840004
64;1683.63;463.149;0.840004
65;1720.86;451.186;0.849998
66;1760.23;437.513;0.860001
67;1784.95;463.149;0.860001
68;1799.6;451.186;0.870003
69;1794.72;445.326;0.880005
70;1772.44;457.289;0.880005
71;1760.23;472.915;0.889999
72;1780.07;463.149;0.900002
73;1797.16;457.289;0.900002
74;1807.23;441.42;0.910004
75;1807.23;463.149;0.910004
76;1782.51;475.112;0.919998
77;1750.47;449.232;0.93
78;1750.47;469.008;0.93
79;1789.83;475.112;0.940002
80;1809.67;470.962;0.940002
81;1817;453.383;0.950005
82;1817;477.065;0.959999
83;1802.04;477.065;0.959999
84;1780.07;496.597;0.970001
85;1809.67;475.112;0.970001
86;1844.16;467.055;0.980003
87;1863.99;494.644;0.980003
88;1871.32;472.915;0.990005
89;1861.55;477.065;0.990005
90;1831.95;479.019;1
91;1814.55;500.748;1
92;1829.2;475.112;1.01
93;1849.04;475.112;1.01
94;1853.92;477.065;1.02
95;1849.04;477.065;1.02
96;1821.88;508.56;1.03
97;1784.95;484.878;1.03
98;1787.39;484.878;1.04
99;1821.88;510.514;1.04
100;1839.27;490.738;1.04
101;1844.16;480.972;1.05
102;1839.27;484.878;1.05
103;1817;500.748;1.06001
104;1797.16;506.607;1.06001
105;1824.32;504.654;1.06001
106;1859.11;475.112;1.07
107;1876.2;502.701;1.07
108;1878.64;500.748;1.08
109;1863.99;484.878;1.08
110;1836.83;498.795;1.08
111;1812.11;510.514;1.09
112;1831.95;506.607;1.09
113;1844.16;492.691;1.09
114;1844.16;486.831;1.1
115;1839.27;496.597;1.1
116;1809.67;516.373;1.1
117;1775.19;490.738;1.11
118;1775.19;502.701;1.11
119;1814.55;518.326;1.11
120;1829.2;502.701;1.11
121;1836.83;488.784;1.12
122;1831.95;502.701;1.12
123;1814.55;512.467;1.12
124;1787.39;522.477;1.13
125;1817;510.514;1.13
126;1849.04;494.644;1.13
127;1861.55;518.326;1.14
128;1866.44;508.56;1.14
129;1851.48;498.795;1.14
130;1817;510.514;1.14
131;1799.6;524.43;1.15
132;1812.11;514.42;1.15
133;1824.32;504.654;1.15
134;1826.76;490.738;1.15
135;1824.32;510.514;1.16
136;1792.28;524.43;1.16
137;1757.79;496.597;1.16
138;1760.23;514.42;1.17
139;1794.72;524.43;1.17
140;1809.67;510.514;1.17
141;1817;496.597;1.17
142;1809.67;516.373;1.18
143;1789.83;518.326;1.18
144;1770;536.149;1.18
145;1794.72;514.42;1.18
146;1829.2;504.654;1.18
147;1841.72;530.29;1.19
148;1849.04;514.42;1.19
149;1831.95;510.514;1.19
150;1802.04;516.373;1.19
151;1787.39;530.29;1.2
152;1789.83;512.467;1.2
153;1812.11;512.467;1.2
154;1814.55;494.644;1.2
155;1817;508.56;1.2
156;1794.72;540.056;1.21
157;1762.67;512.467;1.21
158;1742.84;510.514;1.21
159;1772.44;540.056;1.21
160;1789.83;520.524;1.21
161;1799.6;510.514;1.22
162;1802.04;512.467;1.22
163;1784.95;528.336;1.22
164;1760.23;530.29;1.22
165;1770;534.196;1.22
