<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-11-18-03:43:47</TimeStamp>
<UserName>Operator </UserName>
<PressTyp>MPX-50</PressTyp>
<Generator>MAG-Cabinet Serie v01</Generator>
<GenFreq>20</GenFreq>
<MaxForce>5200</MaxForce>
<MaxPower>7200</MaxPower>
<RunupPressure>1.00</RunupPressure>
<RunupDist>2.00</RunupDist>
<RunPress>1.00</RunPress>
<RunBackPress1>1.00</RunBackPress1>
<RunBackPress2>1.50</RunBackPress2>
<RunBackDist>2.00</RunBackDist>
<TrigValue>600.00</TrigValue>
<TrigModeUnit>N</TrigModeUnit>
<HoldPress>0.10</HoldPress>
<HoldTime>500</HoldTime>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>MPX-TC SN019096</PressNr>
<MaxLoss>1080</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.20</PressRiseTime>
<RunPressure>1.30</RunPressure>
<Amplitude>70</Amplitude>
<WeldMode>1800.00</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>3366</WeldNr>
<RecipeName>Q_SCON25 - 35AL Recommended Set</RecipeName>
<WeldTime>1.21</WeldTime>
<DistDiff>1.90</DistDiff>
<DistAbs>44.44</DistAbs>
<Energy>1800.7</Energy>
<MaxPower>1845</MaxPower>
<CycleTime>4.35</CycleTime>
<TrigForce>646</TrigForce>
<TrigDist>42.54</TrigDist>
<RunSpeed>91</RunSpeed>
<MaxForce>1163</MaxForce>
<LossPower>44</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
0;0;635;0.00
2;0;640;0.00
4;0;646;0.01
6;0;651;0.02
8;0;656;0.03
10;0;660;0.04
12;0;666;0.05
14;0;671;0.06
16;0;676;0.06
18;0;681;0.07
20;0;686;0.08
22;0;690;0.09
24;22;693;0.12
26;60;695;0.17
28;142;698;0.25
30;247;701;0.35
32;412;703;0.46
34;607;705;0.57
36;780;709;0.66
38;825;713;0.70
40;862;719;0.72
42;900;725;0.72
44;915;730;0.72
46;907;735;0.73
48;922;739;0.74
50;937;744;0.74
52;960;749;0.75
54;960;753;0.75
56;967;757;0.76
58;967;761;0.76
60;982;765;0.77
62;982;768;0.77
64;1005;772;0.78
66;997;776;0.79
68;1020;780;0.79
70;1035;785;0.80
72;1050;790;0.81
74;1050;795;0.81
76;1057;800;0.82
78;1057;806;0.83
80;1065;811;0.83
82;1072;815;0.84
84;1072;820;0.85
86;1095;824;0.86
88;1080;829;0.87
90;1095;833;0.88
92;1102;838;0.88
94;1110;843;0.89
96;1117;848;0.90
98;1147;853;0.90
100;1132;858;0.91
102;1132;863;0.92
104;1132;868;0.92
106;1140;873;0.93
108;1132;877;0.93
110;1140;882;0.94
112;1147;886;0.94
114;1147;891;0.95
116;1155;895;0.95
118;1170;899;0.96
120;1155;903;0.96
122;1162;907;0.97
124;1162;912;0.97
126;1155;916;0.98
128;1162;920;0.98
130;1147;924;0.99
132;1147;928;0.99
134;1155;932;1.00
136;1155;936;1.00
138;1162;940;1.01
140;1170;944;1.01
142;1162;948;1.01
144;1162;952;1.02
146;1162;956;1.02
148;1162;959;1.02
150;1140;963;1.03
152;1147;966;1.03
154;1147;970;1.03
156;1155;973;1.04
158;1162;977;1.04
160;1177;980;1.05
