<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-01-24-15:02:57</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>2975</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1582</WeldTime>
<DistDiff>2.14</DistDiff>
<DistAbs>78.11</DistAbs>
<Energy>3271.11</Energy>
<MaxPower>2315.15</MaxPower>
<CycleTime>5940</CycleTime>
<TrigForce>500.748</TrigForce>
<TrigDist>75.97</TrigDist>
<RunSpeed>68.3183</RunSpeed>
<MaxForce>615.253</MaxForce>
<LossPower>326.529</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;502.701;0.0100021
3;0;500.748;0.0100021
4;0;504.654;0.0100021
5;0;502.701;0.0100021
6;0;502.701;0.0100021
7;0;504.654;0.0100021
8;0;469.008;0.0100021
9;0;419.691;0.0199966
10;0;411.878;0.0499954
11;6.73312;378.185;0.0800018
12;53.4265;358.409;0.110001
13;130.028;358.409;0.150002
14;216.395;336.68;0.190002
15;285.672;328.867;0.229996
16;347.32;314.951;0.260002
17;406.526;317.148;0.299995
18;470.92;314.951;0.330002
19;537.45;336.68;0.369995
20;621.376;317.148;0.389999
21;697.977;332.774;0.419998
22;764.813;368.419;0.440002
23;838.668;340.831;0.459999
24;890.549;356.456;0.470001
25;935.106;364.513;0.479996
26;989.429;384.045;0.489998
27;1048.64;378.185;0.5
28;1098.07;394.055;0.510002
29;1142.33;388.195;0.510002
30;1169.49;431.654;0.519997
31;1179.56;423.597;0.519997
32;1199.09;397.961;0.519997
33;1248.53;447.279;0.529999
34;1285.76;431.654;0.529999
35;1322.69;433.607;0.529999
36;1354.74;421.644;0.540001
37;1374.57;439.467;0.540001
38;1386.78;433.607;0.549995
39;1424.01;453.383;0.559998
40;1480.78;413.831;0.559998
41;1520.15;433.607;0.57
42;1554.94;463.149;0.57
43;1576.91;417.737;0.57
44;1574.47;439.467;0.580002
45;1572.03;435.56;0.580002
46;1599.19;449.232;0.589996
47;1638.86;433.607;0.589996
48;1666.02;445.326;0.599998
49;1688;427.503;0.599998
50;1693.19;470.962;0.610001
51;1675.79;451.186;0.619995
52;1678.23;423.597;0.619995
53;1730.11;479.019;0.629997
54;1769.48;455.336;0.629997
55;1801.83;457.289;0.639999
56;1818.92;447.279;0.650002
57;1821.36;465.102;0.650002
58;1814.04;461.196;0.659996
59;1836.32;482.925;0.659996
60;1897.97;441.42;0.659996
61;1932.45;467.055;0.669998
62;1954.73;494.644;0.669998
63;1964.8;437.513;0.68
64;1947.41;469.008;0.68
65;1927.57;470.962;0.690002
66;1949.85;484.878;0.690002
67;1986.77;467.055;0.690002
68;2011.49;477.065;0.699997
69;2021.56;465.102;0.699997
70;2011.49;506.607;0.699997
71;1979.45;484.878;0.709999
72;1969.68;461.196;0.709999
73;2019.12;522.477;0.720001
74;2058.49;488.784;0.720001
75;2080.77;484.878;0.720001
76;2092.98;479.019;0.729996
77;2078.33;498.795;0.729996
78;2056.05;496.597;0.729996
79;2073.45;508.56;0.739998
80;2135.09;469.008;0.739998
81;2167.14;496.597;0.75
82;2189.42;516.373;0.75
83;2186.98;459.243;0.75
84;2159.81;496.597;0.760002
85;2130.21;502.701;0.760002
86;2147.3;508.56;0.760002
87;2186.98;490.738;0.769997
88;2204.07;492.691;0.769997
89;2214.14;490.738;0.779999
90;2191.86;526.383;0.779999
91;2152.18;510.514;0.779999
92;2135.09;472.915;0.790001
93;2186.98;524.43;0.790001
94;2221.46;514.42;0.790001
95;2241.3;516.373;0.799995
96;2243.74;498.795;0.799995
97;2223.9;522.477;0.799995
98;2191.86;512.467;0.809998
99;2206.51;534.196;0.809998
100;2263.58;498.795;0.809998
101;2293.18;506.607;0.82
102;2305.39;546.159;0.82
103;2298.06;490.738;0.82
104;2260.83;504.654;0.830002
105;2226.34;504.654;0.830002
106;2238.86;522.477;0.830002
107;2270.9;498.795;0.839996
108;2283.11;514.42;0.839996
109;2285.55;488.784;0.839996
110;2255.95;538.102;0.839996
111;2214.14;518.326;0.849998
112;2189.42;480.972;0.849998
113;2231.23;542.009;0.849998
114;2266.02;522.477;0.860001
115;2278.23;522.477;0.860001
116;2278.23;508.56;0.860001
117;2255.95;532.243;0.860001
118;2221.46;518.326;0.869995
119;2228.79;544.206;0.869995
120;2278.23;500.748;0.869995
121;2302.95;520.524;0.869995
122;2315.15;553.972;0.879997
123;2302.95;494.644;0.879997
124;2260.83;522.477;0.879997
125;2221.46;520.524;0.879997
126;2231.23;530.29;0.889999
127;2260.83;514.42;0.889999
128;2270.9;520.524;0.889999
129;2270.9;506.607;0.889999
130;2243.74;553.972;0.900002
131;2196.74;528.336;0.900002
132;2172.02;500.748;0.900002
133;2211.7;555.925;0.900002
134;2241.3;528.336;0.909996
135;2258.39;528.336;0.909996
136;2253.51;518.326;0.909996
137;2228.79;538.102;0.909996
138;2194.3;530.29;0.919998
139;2201.62;550.066;0.919998
140;2248.62;504.654;0.919998
141;2273.34;528.336;0.919998
142;2285.55;559.832;0.919998
143;2273.34;494.644;0.93
144;2233.67;528.336;0.93
145;2196.74;530.29;0.93
146;2206.51;538.102;0.93
147;2233.67;520.524;0.93
148;2243.74;526.383;0.940002
149;2243.74;516.373;0.940002
150;2216.58;557.878;0.940002
151;2169.58;534.196;0.940002
152;2144.86;508.56;0.940002
153;2186.98;569.842;0.949997
154;2216.58;536.149;0.949997
155;2223.9;534.196;0.949997
156;2226.34;524.43;0.949997
157;2199.18;542.009;0.949997
158;2167.14;538.102;0.959999
159;2176.9;548.112;0.959999
160;2221.46;512.467;0.959999
161;2246.18;538.102;0.959999
162;2258.39;561.785;0.959999
163;2246.18;500.748;0.970001
164;2211.7;534.196;0.970001
165;2172.02;540.056;0.970001
166;2182.09;546.159;0.970001
167;2209.25;524.43;0.970001
168;2219.02;536.149;0.979996
169;2219.02;518.326;0.979996
170;2191.86;565.935;0.979996
171;2144.86;540.056;0.979996
172;2122.58;514.42;0.979996
173;2164.7;569.842;0.979996
174;2191.86;542.009;0.989998
175;2206.51;546.159;0.989998
176;2206.51;530.29;0.989998
177;2179.35;548.112;0.989998
178;2144.86;542.009;0.989998
179;2152.18;559.832;0.989998
180;2201.62;516.373;1
181;2226.34;540.056;1
182;2238.86;569.842;1
183;2226.34;506.607;1
184;2189.42;538.102;1
185;2154.93;538.102;1.01
186;2162.26;552.019;1.01
