<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-06-25-09:18:26</TimeStamp>
<UserName>operator</UserName>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>10000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>2</RunupPressure>
<RunupDist>5</RunupDist>
<RunPress>0.7</RunPress>
<RunBackPress1>4</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>5</RunBackDist>
<TrigValue>1000</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>19.2326</PressNr>
<MaxLoss>300</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.2</RunPressure>
<Amplitude>85</Amplitude>
<WeldMode>6000</WeldMode>
</WeldSet>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.6</RunPressure>
<Amplitude>90</Amplitude>
<WeldMode>12000</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>261423</WeldNr>
<RecipeName>CCS2_CVS.CSV</RecipeName>
<WeldTime>3816</WeldTime>
<DistDiff>2.03</DistDiff>
<DistAbs>75.21</DistAbs>
<Energy>18001</Energy>
<MaxPower>6373</MaxPower>
<CycleTime>8670</CycleTime>
<TrigForce>1038.24</TrigForce>
<TrigDist>73.18</TrigDist>
<RunSpeed>58.4505</RunSpeed>
<MaxForce>3638</MaxForce>
<LossPower>16.3274</LossPower>
<ErrorNr>0</ErrorNr>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;122.23;1080;0.02
3;122.23;1085;0.02
4;124.67;1087;0.02
5;122.23;1090;0.02
6;122.23;1095;0.03
7;67.9;1090;0.03
8;118.87;1038;0.03
9;289.16;981;0.05
10;350.81;952;0.07
11;385.3;932;0.1
12;442.06;922;0.13
13;513.47;912;0.17
14;629.44;917;0.2
15;718.25;902;0.24
16;804.32;907;0.28
17;888.24;922;0.32
18;979.49;932;0.35
19;1063.42;947;0.39
20;1152.23;967;0.42
21;1241.04;996;0.44
22;1324.66;1028;0.46
23;1418.65;1033;0.48
24;1509.9;1033;0.49
25;1591.08;1073;0.5
26;1662.8;1082;0.51
27;1711.94;1097;0.52
28;1739.1;1122;0.52
29;1786.1;1137;0.53
30;1847.74;1139;0.53
31;1892;1142;0.53
32;1926.48;1132;0.54
33;1948.76;1157;0.54
34;1960.97;1171;0.54
35;1965.85;1151;0.55
36;2000.64;1164;0.55
37;2044.89;1174;0.55
38;2067.17;1171;0.56
39;2094.33;1174;0.56
40;2108.98;1184;0.56
41;2094.33;1189;0.57
42;2076.94;1206;0.57
43;2096.77;1186;0.57
44;2133.7;1171;0.58
45;2160.86;1203;0.58
46;2180.4;1201;0.59
47;2183.14;1203;0.59
48;2173.07;1223;0.59
49;2183.14;1226;0.6
50;2234.72;1228;0.6
51;2289.04;1233;0.6
52;2321.09;1221;0.61
53;2338.48;1253;0.61
54;2340.92;1270;0.61
55;2325.97;1248;0.62
56;2343.36;1263;0.62
57;2382.73;1267;0.62
58;2419.66;1260;0.63
59;2437.06;1267;0.63
60;2432.17;1275;0.63
61;2402.57;1285;0.63
62;2377.85;1299;0.64
63;2395.25;1278;0.64
64;2427.29;1263;0.64
65;2454.15;1297;0.64
66;2461.78;1292;0.65
67;2449.26;1297;0.65
68;2424.54;1302;0.65
69;2439.5;1322;0.66
70;2493.82;1319;0.66
71;2540.51;1317;0.66
72;2567.67;1282;0.66
73;2575;1339;0.67
74;2565.23;1339;0.67
75;2542.95;1337;0.67
76;2562.79;1346;0.67
77;2607.04;1351;0.67
78;2634.21;1356;0.68
79;2649.16;1346;0.68
80;2634.21;1359;0.68
81;2592.39;1366;0.68
82;2567.67;1408;0.69
83;2589.95;1356;0.69
84;2626.88;1364;0.69
85;2644.28;1379;0.69
86;2651.6;1374;0.69
87;2629.32;1374;0.7
88;2607.04;1383;0.7
89;2599.72;1406;0.7
90;2649.16;1396;0.7
91;2705.92;1393;0.71
92;2733.09;1359;0.71
93;2745.29;1418;0.71
94;2730.64;1421;0.71
95;2701.04;1411;0.71
96;2708.37;1423;0.72
97;2752.62;1428;0.72
98;2784.66;1433;0.72
99;2802.06;1421;0.72
100;2797.17;1430;0.72
101;2757.5;1443;0.73
102;2715.69;1487;0.73
103;2733.09;1433;0.73
104;2772.45;1435;0.73
105;2802.06;1453;0.73
106;2809.38;1447;0.74
107;2792.29;1447;0.74
108;2755.06;1450;0.74
109;2757.5;1472;0.74
110;2816.71;1467;0.74
111;2871.03;1462;0.75
112;2898.19;1426;0.75
113;2907.96;1490;0.75
114;2890.87;1487;0.75
115;2858.82;1477;0.75
116;2875.91;1490;0.75
117;2920.47;1494;0.76
118;2957.4;1497;0.76
119;2969.6;1485;0.76
120;2957.4;1499;0.76
121;2907.96;1509;0.76
122;2871.03;1551;0.77
123;2895.75;1497;0.77
124;2935.12;1499;0.77
125;2954.95;1519;0.77
126;2967.16;1514;0.77
127;2942.44;1514;0.77
128;2900.63;1519;0.78
129;2915.59;1539;0.78
130;2974.79;1534;0.78
131;3019.04;1531;0.78
132;3048.65;1497;0.78
133;3053.53;1556;0.78
134;3028.81;1556;0.79
135;2996.77;1544;0.79
136;3021.49;1559;0.79
137;3070.93;1566;0.79
138;3092.9;1563;0.79
139;3110.29;1551;0.79
140;3100.53;1571;0.8
141;3048.65;1578;0.8
142;3006.84;1618;0.8
143;3031.25;1563;0.8
144;3070.93;1566;0.8
145;3092.9;1588;0.8
146;3105.41;1576;0.81
147;3085.57;1581;0.81
148;3041.32;1591;0.81
149;3051.09;1603;0.81
150;3107.85;1598;0.81
151;3156.99;1598;0.81
152;3186.59;1566;0.81
153;3196.66;1625;0.82
154;3167.06;1620;0.82
155;3135.01;1608;0.82
156;3156.99;1623;0.82
157;3201.54;1625;0.82
158;3231.15;1628;0.82
159;3250.98;1615;0.83
160;3228.71;1633;0.83
161;3174.38;1640;0.83
162;3142.34;1677;0.83
163;3174.38;1625;0.83
164;3196.66;1628;0.83
165;3223.82;1652;0.84
166;3240.91;1638;0.84
167;3233.59;1643;0.84
168;3186.59;1650;0.84
169;3176.82;1670;0.84
170;3233.59;1665;0.84
171;3287.91;1660;0.85
172;3317.51;1628;0.85
173;3342.23;1684;0.85
174;3319.96;1687;0.85
175;3280.59;1672;0.85
176;3290.35;1687;0.85
177;3332.16;1692;0.85
178;3366.65;1694;0.86
179;3388.93;1679;0.86
180;3381.6;1694;0.86
181;3324.84;1709;0.86
182;3280.59;1741;0.86
183;3305;1692;0.86
184;3334.61;1692;0.86
185;3364.21;1717;0.87
186;3379.16;1704;0.87
187;3354.44;1707;0.87
188;3305;1719;0.87
189;3307.44;1734;0.87
190;3364.21;1726;0.87
191;3411.21;1722;0.87
192;3443.25;1694;0.87
193;3460.34;1754;0.88
194;3428.3;1756;0.88
195;3386.49;1736;0.88
196;3406.32;1751;0.88
197;3453.02;1756;0.88
198;3477.74;1754;0.88
199;3500.02;1746;0.88
200;3482.62;1758;0.89
201;3418.53;1768;0.89
202;3381.6;1800;0.89
203;3413.65;1754;0.89
204;3443.25;1749;0.89
205;3467.97;1778;0.89
206;3477.74;1768;0.89
207;3450.58;1771;0.9
208;3396.25;1786;0.9
209;3413.65;1798;0.9
210;3472.85;1793;0.9
211;3512.22;1791;0.9
212;3544.27;1763;0.9
213;3551.59;1818;0.9
214;3529.62;1823;0.9
215;3487.5;1800;0.91
216;3489.94;1818;0.91
217;3532.06;1820;0.91
218;3564.1;1813;0.91
219;3591.27;1813;0.91
220;3588.82;1823;0.91
221;3527.18;1830;0.91
222;3475.3;1862;0.91
