<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-06-25-10:05:16</TimeStamp>
<UserName>operator</UserName>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>10000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>2</RunupPressure>
<RunupDist>5</RunupDist>
<RunPress>0.7</RunPress>
<RunBackPress1>4</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>5</RunBackDist>
<TrigValue>1000</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>19.2326</PressNr>
<MaxLoss>300</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.2</RunPressure>
<Amplitude>85</Amplitude>
<WeldMode>6000</WeldMode>
</WeldSet>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.6</RunPressure>
<Amplitude>90</Amplitude>
<WeldMode>12000</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>261463</WeldNr>
<RecipeName>CCS2_CVS.CSV</RecipeName>
<WeldTime>3738</WeldTime>
<DistDiff>2.07</DistDiff>
<DistAbs>75.21</DistAbs>
<Energy>18000.4</Energy>
<MaxPower>6211</MaxPower>
<CycleTime>8560</CycleTime>
<TrigForce>1028.17</TrigForce>
<TrigDist>73.14</TrigDist>
<RunSpeed>60</RunSpeed>
<MaxForce>3628</MaxForce>
<LossPower>17.7007</LossPower>
<ErrorNr>0</ErrorNr>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;123.29;1075;0.02
3;123.29;1078;0.02
4;120.85;1078;0.02
5;120.85;1087;0.02
6;123.29;1087;0.03
7;106.2;1082;0.03
8;31.13;1021;0.03
9;238.35;969;0.05
10;324.72;932;0.07
11;366.53;925;0.1
12;411.08;920;0.13
13;499.59;907;0.16
14;610.68;907;0.2
15;699.48;910;0.23
16;783.41;910;0.27
17;872.22;915;0.3
18;958.28;912;0.34
19;1044.65;959;0.37
20;1140.78;981;0.4
21;1242.1;986;0.42
22;1335.8;1009;0.44
23;1436.81;1033;0.46
24;1528.06;1050;0.47
25;1614.43;1053;0.49
26;1690.73;1070;0.5
27;1735.28;1095;0.51
28;1757.56;1139;0.51
29;1809.14;1105;0.52
30;1868.34;1107;0.52
31;1908.02;1129;0.52
32;1942.5;1125;0.53
33;1969.66;1122;0.53
34;1972.11;1134;0.54
35;1984.31;1151;0.54
36;2038.64;1144;0.55
37;2090.52;1147;0.55
38;2127.45;1119;0.56
39;2152.17;1174;0.56
40;2154.61;1179;0.56
41;2142.09;1174;0.57
42;2149.72;1179;0.57
43;2186.65;1189;0.57
44;2218.7;1186;0.58
45;2240.97;1179;0.58
46;2248.3;1194;0.59
47;2230.9;1203;0.59
48;2213.81;1250;0.59
49;2235.79;1198;0.6
50;2277.9;1201;0.6
51;2314.83;1218;0.61
52;2332.22;1223;0.61
53;2329.48;1221;0.61
54;2312.39;1233;0.62
55;2312.39;1250;0.62
56;2361.52;1248;0.62
57;2401.2;1245;0.63
58;2430.8;1206;0.63
59;2447.89;1270;0.63
60;2440.57;1275;0.64
61;2415.85;1265;0.64
62;2413.4;1278;0.64
63;2447.89;1282;0.64
64;2479.93;1282;0.65
65;2499.77;1275;0.65
66;2499.77;1287;0.65
67;2467.73;1299;0.65
68;2435.68;1349;0.66
69;2450.33;1287;0.66
70;2490.01;1295;0.66
71;2522.05;1312;0.67
72;2531.82;1307;0.67
73;2524.49;1312;0.67
74;2499.77;1317;0.67
75;2494.89;1339;0.68
76;2541.58;1329;0.68
77;2593.46;1329;0.68
78;2620.62;1287;0.68
79;2632.83;1359;0.69
80;2613.3;1356;0.69
81;2583.7;1344;0.69
82;2581.26;1356;0.69
83;2605.67;1366;0.69
84;2647.79;1366;0.7
85;2667.32;1354;0.7
86;2672.51;1369;0.7
87;2645.34;1383;0.7
88;2598.35;1430;0.71
89;2600.79;1369;0.71
90;2640.46;1376;0.71
91;2674.95;1391;0.71
92;2687.15;1393;0.72
93;2682.27;1391;0.72
94;2657.55;1396;0.72
95;2632.83;1418;0.72
96;2670.06;1411;0.72
97;2726.52;1408;0.73
98;2763.76;1366;0.73
99;2778.41;1435;0.73
100;2766.2;1435;0.73
101;2729.27;1426;0.73
102;2721.64;1435;0.74
103;2753.69;1443;0.74
104;2793.36;1445;0.74
105;2808.01;1430;0.74
106;2810.45;1445;0.74
107;2773.52;1458;0.74
108;2726.52;1502;0.75
109;2736.59;1443;0.75
110;2778.41;1450;0.75
111;2810.45;1467;0.75
112;2822.96;1460;0.75
113;2815.33;1460;0.76
114;2780.85;1465;0.76
115;2766.2;1487;0.76
116;2812.89;1480;0.76
117;2867.21;1475;0.76
118;2896.82;1435;0.76
119;2911.47;1504;0.77
120;2894.38;1504;0.77
121;2852.57;1492;0.77
122;2852.57;1504;0.77
123;2889.49;1509;0.77
124;2921.54;1514;0.77
125;2938.63;1497;0.78
126;2931.3;1509;0.78
127;2887.05;1524;0.78
128;2840.05;1571;0.78
129;2859.89;1509;0.78
130;2899.26;1514;0.78
131;2919.1;1534;0.79
132;2933.74;1529;0.79
133;2936.19;1527;0.79
134;2904.14;1529;0.79
135;2874.54;1554;0.79
136;2911.47;1546;0.79
137;2968.23;1551;0.79
138;3002.72;1507;0.8
139;3022.55;1561;0.8
140;3012.79;1566;0.8
141;2973.42;1574;0.8
142;2956.02;1566;0.8
143;2988.07;1574;0.8
144;3024.99;1576;0.81
145;3044.83;1559;0.81
146;3049.71;1576;0.81
147;3012.79;1578;0.81
148;2958.46;1633;0.81
149;2960.91;1581;0.81
150;2997.83;1581;0.81
151;3032.32;1583;0.82
152;3047.27;1596;0.82
153;3044.83;1593;0.82
154;3007.9;1598;0.82
155;2983.18;1623;0.82
156;3029.88;1615;0.82
157;3081.76;1615;0.83
158;3113.8;1569;0.83
159;3128.76;1625;0.83
160;3116.25;1633;0.83
161;3071.99;1635;0.83
162;3064.67;1630;0.83
163;3099.15;1638;0.83
164;3133.64;1638;0.84
165;3153.17;1625;0.84
166;3153.17;1640;0.84
167;3108.92;1645;0.84
168;3054.6;1704;0.84
169;3074.43;1643;0.84
170;3116.25;1643;0.85
171;3140.97;1647;0.85
172;3158.36;1657;0.85
173;3153.17;1657;0.85
174;3108.92;1660;0.85
175;3099.15;1684;0.85
176;3145.85;1677;0.85
177;3195.29;1675;0.86
178;3222.45;1625;0.86
179;3239.54;1690;0.86
180;3217.57;1697;0.86
181;3175.45;1697;0.86
182;3163.24;1694;0.86
183;3205.05;1704;0.86
184;3237.1;1702;0.87
185;3256.94;1690;0.87
186;3259.38;1704;0.87
187;3214.82;1709;0.87
188;3158.36;1771;0.87
189;3175.45;1704;0.87
190;3217.57;1707;0.88
191;3244.42;1714;0.88
192;3266.7;1719;0.88
193;3259.38;1722;0.88
194;3214.82;1726;0.88
195;3197.73;1749;0.88
196;3246.86;1739;0.88
197;3296.3;1739;0.89
198;3328.35;1682;0.89
199;3345.74;1756;0.89
200;3323.47;1758;0.89
201;3276.47;1756;0.89
202;3281.66;1756;0.89
203;3316.14;1766;0.89
204;3348.19;1766;0.9
205;3370.46;1749;0.9
206;3372.91;1768;0.9
207;3338.11;1773;0.9
208;3276.47;1842;0.9
209;3276.47;1766;0.9
210;3318.58;1768;0.9
211;3350.63;1781;0.9
212;3372.91;1788;0.91
213;3375.35;1783;0.91
214;3338.11;1788;0.91
215;3303.63;1815;0.91
216;3345.74;1805;0.91
217;3399.76;1800;0.91
218;3434.55;1741;0.91
219;3458.97;1823;0.91
220;3449.2;1827;0.92
221;3399.76;1820;0.92
222;3382.67;1825;0.92
223;3422.04;1832;0.92
224;3454.09;1832;0.92
225;3476.36;1818;0.92
226;3486.13;1835;0.92
227;3436.99;1840;0.92
228;3375.35;1909;0.93
229;3392.44;1827;0.93
230;3432.11;1835;0.93
231;3464.16;1850;0.93
232;3486.13;1852;0.93
233;3481.25;1850;0.93
234;3432.11;1852;0.93
235;3409.83;1879;0.93
236;3456.53;1870;0.94
237;3508.41;1867;0.94
238;3540.45;1803;0.94
239;3562.73;1889;0.94
240;3538.01;1892;0.94
241;3486.13;1884;0.94
242;3483.69;1889;0.94
243;3520.62;1899;0.94
244;3550.22;1902;0.95
245;3572.5;1882;0.95
246;3572.5;1899;0.95
247;3515.73;1909;0.95
248;3461.71;1975;0.95
249;3483.69;1894;0.95
250;3520.62;1899;0.95
251;3547.78;1914;0.95
252;3570.06;1914;0.95
253;3557.85;1914;0.96
254;3505.97;1914;0.96
255;3486.13;1941;0.96
256;3520.62;1931;0.96
257;3574.94;1926;0.96
258;3609.42;1865;0.96
259;3636.59;1953;0.96
260;3626.82;1953;0.96
261;3570.06;1948;0.96
262;3552.96;1951;0.97
263;3587.45;1961;0.97
264;3619.5;1961;0.97
265;3643.91;1941;0.97
266;3651.54;1961;0.97
267;3606.98;1968;0.97
268;3538.01;2042;0.97
269;3542.89;1951;0.97
270;3582.26;1961;0.97
271;3614.61;1975;0.98
272;3639.03;1973;0.98
273;3631.7;1971;0.98
274;3579.82;1975;0.98
275;3547.78;2003;0.98
276;3594.78;1993;0.98
277;3643.91;1986;0.98
278;3678.7;1924;0.98
279;3705.86;2015;0.98
280;3681.14;2015;0.98
281;3626.82;2003;0.99
282;3614.61;2013;0.99
283;3649.1;2015;0.99
284;3683.58;2022;0.99
285;3703.12;2000;0.99
286;3705.86;2018;0.99
287;3646.66;2030;0.99
288;3585.01;2099;0.99
289;3602.1;2013;0.99
290;3639.03;2015;1
291;3668.63;2035;1
292;3690.91;2032;1
293;3676.26;2030;1
294;3621.94;2035;1
295;3599.66;2057;1
296;3651.54;2047;1
297;3700.67;2042;1
298;3730.28;1983;1
299;3752.56;2072;1
300;3720.51;2072;1
301;3661.31;2055;1.01
302;3661.31;2069;1.01
303;3700.67;2074;1.01
304;3730.28;2077;1.01
305;3747.67;2059;1.01
306;3750.11;2072;1.01
307;3695.79;2084;1.01
308;3626.82;2148;1.01
309;3641.47;2064;1.01
310;3678.7;2072;1.01
311;3708.3;2087;1.02
312;3730.28;2082;1.02
313;3718.07;2079;1.02
314;3661.31;2084;1.02
315;3639.03;2114;1.02
316;3686.03;2104;1.02
317;3735.16;2094;1.02
318;3769.95;2037;1.02
319;3794.37;2126;1.02
320;3762.32;2123;1.02
321;3700.67;2111;1.02
322;3698.23;2123;1.03
323;3735.16;2126;1.03
324;3764.76;2131;1.03
325;3787.04;2111;1.03
326;3782.16;2126;1.03
327;3718.07;2138;1.03
328;3653.98;2200;1.03
329;3681.14;2119;1.03
330;3703.12;2123;1.03
331;3740.35;2114;1.03
332;3762.32;2138;1.03
333;3762.32;2134;1.04
334;3710.75;2134;1.04
335;3661.31;2163;1.04
336;3703.12;2153;1.04
337;3755;2156;1.04
338;3789.48;2114;1.04
339;3814.2;2161;1.04
340;3799.55;2178;1.04
341;3737.91;2188;1.04
342;3715.63;2168;1.04
343;3750.11;2178;1.04
344;3784.6;2178;1.05
345;3804.44;2161;1.05
346;3809.32;2173;1.05
347;3757.44;2180;1.05
348;3683.58;2230;1.05
349;3688.47;2180;1.05
350;3727.84;2170;1.05
351;3757.44;2166;1.05
352;3782.16;2188;1.05
353;3772.39;2183;1.05
354;3718.07;2188;1.05
355;3681.14;2215;1.06
356;3730.28;2205;1.06
357;3782.16;2205;1.06
358;3811.76;2156;1.06
359;3836.48;2215;1.06
360;3809.32;2225;1.06
361;3747.67;2230;1.06
362;3737.91;2215;1.06
363;3777.28;2225;1.06
364;3811.76;2227;1.06
365;3834.04;2207;1.06
366;3834.04;2220;1.07
367;3777.28;2227;1.07
368;3708.3;2282;1.07
369;3725.39;2225;1.07
370;3767.51;2222;1.07
371;3797.11;2222;1.07
372;3823.97;2239;1.07
373;3804.44;2232;1.07
374;3745.23;2237;1.07
375;3725.39;2262;1.07
376;3779.72;2257;1.07
377;3829.16;2254;1.07
378;3863.64;2195;1.08
379;3883.18;2264;1.08
380;3870.97;2274;1.08
381;3811.76;2276;1.08
382;3779.72;2267;1.08
383;3811.76;2274;1.08
384;3853.57;2276;1.08
385;3878.29;2254;1.08
386;3888.06;2274;1.08
387;3841.36;2274;1.08
388;3764.76;2343;1.08
389;3767.51;2274;1.09
390;3804.44;2271;1.09
391;3841.36;2269;1.09
392;3866.08;2286;1.09
393;3861.2;2284;1.09
394;3809.32;2286;1.09
395;3767.51;2314;1.09
396;3809.32;2301;1.09
397;3868.53;2301;1.09
398;3905.45;2232;1.09
399;3935.06;2316;1.09
400;3915.22;2318;1.09
401;3848.69;2323;1.1
402;3829.16;2314;1.1
403;3873.41;2321;1.1
404;3910.34;2323;1.1
405;3937.5;2304;1.1
406;3939.94;2321;1.1
407;3883.18;2321;1.1
408;3802;2395;1.1
409;3819.09;2316;1.1
410;3863.64;2316;1.1
411;3900.57;2318;1.1
412;3927.73;2333;1.1
413;3915.22;2328;1.11
414;3853.57;2331;1.11
415;3821.53;2358;1.11
416;3878.29;2351;1.11
417;3935.06;2348;1.11
418;3967.1;2276;1.11
419;3994.26;2363;1.11
420;3962.22;2368;1.11
421;3893.25;2365;1.11
422;3893.25;2360;1.11
423;3935.06;2365;1.11
424;3974.43;2368;1.11
425;4001.59;2348;1.12
426;3994.26;2363;1.12
427;3927.73;2368;1.12
428;3853.57;2439;1.12
429;3873.41;2363;1.12
430;3920.41;2360;1.12
431;3957.34;2365;1.12
432;3984.5;2378;1.12
433;3971.98;2375;1.12
434;3915.22;2375;1.12
435;3875.85;2402;1.12
436;3932.62;2390;1.13
437;3991.82;2390;1.13
438;4028.75;2314;1.13
439;4060.79;2410;1.13
440;4026.31;2415;1.13
441;3959.78;2407;1.13
442;3947.26;2405;1.13
443;3996.7;2412;1.13
444;4036.07;2412;1.13
445;4065.68;2392;1.13
446;4055.91;2412;1.13
447;3989.38;2410;1.13
448;3912.78;2494;1.14
449;3942.38;2402;1.14
450;3986.94;2405;1.14
451;4026.31;2412;1.14
452;4053.47;2417;1.14
453;4026.31;2417;1.14
454;3989.38;2415;1.14
455;3930.17;2444;1.14
456;3971.98;2434;1.14
457;4041.26;2430;1.14
458;4085.51;2353;1.14
459;4124.88;2454;1.14
460;4105.35;2454;1.15
461;4036.07;2447;1.15
462;4001.59;2447;1.15
463;4046.14;2449;1.15
464;4095.28;2454;1.15
465;4127.32;2432;1.15
466;4132.21;2452;1.15
