<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-06-25-10:51:21</TimeStamp>
<UserName>operator</UserName>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>10000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>2</RunupPressure>
<RunupDist>5</RunupDist>
<RunPress>0.7</RunPress>
<RunBackPress1>4</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>5</RunBackDist>
<TrigValue>1000</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>19.2326</PressNr>
<MaxLoss>300</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.2</RunPressure>
<Amplitude>85</Amplitude>
<WeldMode>6000</WeldMode>
</WeldSet>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.6</RunPressure>
<Amplitude>90</Amplitude>
<WeldMode>12000</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>261474</WeldNr>
<RecipeName>CCS2_CVS.CSV</RecipeName>
<WeldTime>4019</WeldTime>
<DistDiff>2</DistDiff>
<DistAbs>75.2</DistAbs>
<Energy>18002.5</Energy>
<MaxPower>5760</MaxPower>
<CycleTime>8860</CycleTime>
<TrigForce>1035.8</TrigForce>
<TrigDist>73.2</TrigDist>
<RunSpeed>58.3267</RunSpeed>
<MaxForce>3631</MaxForce>
<LossPower>15.717</LossPower>
<ErrorNr>0</ErrorNr>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;125.28;1082;0.02
3;125.28;1087;0.02
4;125.28;1087;0.02
5;125.28;1095;0.03
6;122.84;1097;0.03
7;63.63;1095;0.03
8;30.67;1036;0.04
9;233.01;981;0.05
10;321.82;954;0.07
11;358.75;947;0.1
12;395.67;930;0.13
13;474.72;920;0.17
14;583.06;925;0.2
15;681.63;915;0.23
16;763.12;915;0.27
17;839.72;932;0.3
18;925.78;947;0.34
19;1022.22;967;0.37
20;1123.23;984;0.4
21;1226.69;1003;0.42
22;1325.27;1033;0.44
23;1406.75;1063;0.45
24;1470.84;1060;0.46
25;1552.32;1082;0.47
26;1633.81;1100;0.48
27;1702.78;1100;0.49
28;1757.1;1119;0.49
29;1791.59;1132;0.49
30;1798.91;1144;0.5
31;1816.31;1144;0.5
32;1863;1137;0.51
33;1904.81;1132;0.51
34;1939.6;1149;0.51
35;1966.46;1147;0.52
36;1974.09;1154;0.52
37;1976.53;1174;0.53
38;2008.58;1176;0.53
39;2057.71;1184;0.53
40;2097.38;1169;0.54
41;2122.1;1184;0.54
42;2134.31;1201;0.54
43;2126.99;1211;0.55
44;2122.1;1196;0.55
45;2156.59;1208;0.56
46;2198.4;1208;0.56
47;2230.45;1203;0.56
48;2245.4;1213;0.57
49;2240.21;1218;0.57
50;2215.8;1245;0.57
51;2218.24;1235;0.58
52;2257.61;1228;0.58
53;2294.53;1226;0.58
54;2316.81;1245;0.59
55;2321.7;1245;0.59
56;2304.61;1250;0.59
57;2287.21;1270;0.6
58;2299.42;1267;0.6
59;2346.42;1270;0.6
60;2388.23;1248;0.61
61;2408.06;1280;0.61
62;2412.95;1292;0.61
63;2398.3;1307;0.61
64;2373.58;1282;0.62
65;2390.67;1295;0.62
66;2427.9;1305;0.62
67;2457.5;1302;0.63
68;2469.71;1299;0.63
69;2457.5;1305;0.63
70;2422.71;1317;0.63
71;2403.18;1344;0.64
72;2435.22;1310;0.64
73;2477.03;1297;0.64
74;2496.87;1334;0.64
75;2506.64;1327;0.65
76;2487.11;1327;0.65
77;2462.39;1344;0.65
78;2477.03;1356;0.65
79;2531.36;1354;0.66
80;2570.73;1354;0.66
81;2590.56;1334;0.66
82;2588.12;1376;0.66
83;2565.84;1393;0.67
84;2541.12;1366;0.67
85;2565.84;1379;0.67
86;2607.65;1386;0.67
87;2634.82;1379;0.68
88;2642.45;1379;0.68
89;2627.49;1388;0.68
90;2580.8;1398;0.68
91;2570.73;1421;0.68
92;2605.21;1391;0.69
93;2644.89;1379;0.69
94;2659.54;1411;0.69
95;2661.98;1406;0.69
96;2640;1403;0.7
97;2605.21;1423;0.7
98;2632.37;1430;0.7
99;2686.7;1430;0.7
100;2723.62;1433;0.7
101;2743.46;1411;0.71
102;2736.14;1453;0.71
103;2706.53;1470;0.71
104;2684.26;1440;0.71
105;2716.3;1453;0.71
106;2760.55;1460;0.72
107;2780.39;1450;0.72
108;2787.71;1450;0.72
109;2768.18;1458;0.72
110;2721.18;1467;0.72
111;2704.09;1485;0.72
112;2736.14;1458;0.73
113;2775.51;1443;0.73
114;2795.34;1477;0.73
115;2797.78;1472;0.73
116;2773.06;1472;0.73
117;2736.14;1492;0.74
118;2763.3;1497;0.74
119;2817.32;1497;0.74
120;2854.55;1494;0.74
121;2876.52;1480;0.74
122;2866.76;1517;0.75
123;2837.15;1536;0.75
124;2814.87;1507;0.75
125;2844.48;1519;0.75
126;2884.15;1524;0.75
127;2903.68;1512;0.75
128;2916.2;1519;0.76
129;2891.48;1524;0.76
130;2837.15;1529;0.76
131;2832.27;1551;0.76
132;2866.76;1527;0.76
133;2893.92;1509;0.77
134;2918.64;1544;0.77
135;2930.85;1541;0.77
136;2911.01;1539;0.77
137;2866.76;1561;0.77
138;2878.96;1563;0.77
139;2933.29;1566;0.78
140;2975.4;1561;0.78
141;2999.82;1551;0.78
142;3009.89;1586;0.78
143;2980.29;1603;0.78
144;2945.8;1576;0.78
145;2970.21;1586;0.79
146;3012.33;1593;0.79
147;3039.49;1578;0.79
148;3056.58;1583;0.79
149;3039.49;1591;0.79
150;2987.61;1596;0.79
151;2965.33;1613;0.8
152;2997.38;1591;0.8
153;3037.05;1574;0.8
154;3059.02;1610;0.8
155;3069.09;1603;0.8
156;3039.49;1606;0.8
157;2997.38;1625;0.81
158;3019.65;1628;0.81
159;3076.42;1625;0.81
160;3110.9;1623;0.81
161;3138.07;1618;0.81
162;3140.51;1643;0.81
163;3103.58;1670;0.82
164;3076.42;1638;0.82
165;3108.46;1647;0.82
166;3150.27;1655;0.82
167;3177.43;1638;0.82
168;3192.39;1647;0.82
169;3167.67;1655;0.83
170;3108.46;1662;0.83
171;3098.7;1672;0.83
172;3135.62;1655;0.83
173;3170.11;1635;0.83
174;3192.39;1672;0.83
175;3197.27;1667;0.84
176;3162.79;1670;0.84
177;3125.55;1692;0.84
178;3162.79;1690;0.84
179;3216.8;1690;0.84
180;3248.85;1677;0.84
181;3273.57;1687;0.85
182;3271.13;1714;0.85
183;3248.85;1734;0.85
184;3209.48;1707;0.85
185;3231.76;1714;0.85
186;3276.01;1719;0.85
187;3303.17;1704;0.86
188;3320.57;1711;0.86
189;3308.05;1717;0.86
190;3246.41;1741;0.86
191;3221.99;1736;0.86
192;3254.04;1722;0.86
193;3290.96;1702;0.86
194;3313.24;1736;0.87
195;3325.45;1731;0.87
196;3295.85;1731;0.87
197;3246.41;1758;0.87
198;3266.24;1756;0.87
199;3320.57;1754;0.87
200;3357.49;1734;0.87
201;3387.1;1756;0.88
202;3391.98;1773;0.88
203;3352.61;1795;0.88
204;3320.57;1768;0.88
205;3352.61;1778;0.88
206;3394.42;1786;0.88
207;3419.14;1766;0.88
208;3441.42;1781;0.89
209;3414.26;1786;0.89
210;3347.73;1813;0.89
211;3335.22;1798;0.89
212;3369.7;1786;0.89
213;3401.75;1766;0.89
214;3428.91;1800;0.89
215;3436.54;1795;0.9
216;3394.42;1798;0.9
217;3350.17;1820;0.9
218;3382.21;1823;0.9
219;3434.1;1820;0.9
220;3466.14;1793;0.9
221;3498.18;1820;0.9
222;3493;1840;0.91
223;3446.3;1857;0.91
224;3424.02;1832;0.91
225;3458.51;1847;0.91
226;3500.63;1847;0.91
227;3525.35;1832;0.91
228;3539.99;1845;0.91
