<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-06-25-18:32:06</TimeStamp>
<UserName>operator</UserName>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>10000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>2</RunupPressure>
<RunupDist>5</RunupDist>
<RunPress>0.7</RunPress>
<RunBackPress1>4</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>5</RunBackDist>
<TrigValue>1000</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>19.2326</PressNr>
<MaxLoss>300</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.2</RunPressure>
<Amplitude>85</Amplitude>
<WeldMode>6000</WeldMode>
</WeldSet>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.6</RunPressure>
<Amplitude>90</Amplitude>
<WeldMode>12000</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>261771</WeldNr>
<RecipeName>CCS2_CVS.CSV</RecipeName>
<WeldTime>4034</WeldTime>
<DistDiff>2.17</DistDiff>
<DistAbs>75.17</DistAbs>
<Energy>18002</Energy>
<MaxPower>6689</MaxPower>
<CycleTime>8840</CycleTime>
<TrigForce>1011.08</TrigForce>
<TrigDist>73</TrigDist>
<RunSpeed>58.5405</RunSpeed>
<MaxForce>3633</MaxForce>
<LossPower>13.123</LossPower>
<ErrorNr>0</ErrorNr>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;125.43;1058;0.03
3;127.87;1060;0.03
4;127.87;1063;0.03
5;125.43;1065;0.03
6;127.87;1073;0.04
7;86.06;1068;0.04
8;97.35;1009;0.04
9;277.41;964;0.06
10;331.74;932;0.08
11;348.83;910;0.11
12;361.34;898;0.14
13;380.87;898;0.18
14;412.92;890;0.21
15;455.03;880;0.25
16;494.4;868;0.29
17;526.44;888;0.33
18;553.61;902;0.37
19;578.33;917;0.41
20;607.93;942;0.45
21;639.97;969;0.48
22;681.78;991;0.5
23;708.95;1003;0.52
24;731.22;1011;0.54
25;748.31;1048;0.55
26;758.39;1075;0.57
27;763.27;1082;0.57
28;763.27;1100;0.58
29;765.71;1117;0.58
30;765.71;1119;0.59
31;760.83;1125;0.59
32;751.06;1132;0.59
33;738.55;1139;0.59
34;723.9;1149;0.6
35;718.71;1144;0.6
36;716.27;1139;0.6
37;718.71;1159;0.61
38;716.27;1162;0.61
39;713.83;1162;0.61
40;706.5;1174;0.61
41;706.5;1184;0.62
42;713.83;1186;0.62
43;721.46;1186;0.62
44;723.9;1179;0.62
45;726.34;1196;0.63
46;728.78;1211;0.63
47;728.78;1201;0.63
48;731.22;1206;0.64
49;738.55;1216;0.64
50;745.87;1218;0.64
51;753.5;1218;0.65
52;758.39;1223;0.65
53;758.39;1235;0.65
54;753.5;1250;0.65
55;753.5;1238;0.66
56;765.71;1233;0.66
57;773.03;1250;0.66
58;777.92;1253;0.66
59;785.55;1255;0.67
60;785.55;1267;0.67
61;787.99;1280;0.67
62;795.31;1282;0.67
63;809.96;1278;0.67
64;817.59;1265;0.68
65;827.36;1287;0.68
66;829.8;1299;0.68
67;829.8;1297;0.68
68;832.24;1302;0.69
69;842.31;1312;0.69
