<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-06-25-19:33:47</TimeStamp>
<UserName>operator</UserName>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>10000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>2</RunupPressure>
<RunupDist>5</RunupDist>
<RunPress>0.7</RunPress>
<RunBackPress1>4</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>5</RunBackDist>
<TrigValue>1000</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>19.2326</PressNr>
<MaxLoss>300</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.2</RunPressure>
<Amplitude>85</Amplitude>
<WeldMode>6000</WeldMode>
</WeldSet>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.6</RunPressure>
<Amplitude>90</Amplitude>
<WeldMode>12000</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>261809</WeldNr>
<RecipeName>CCS2_CVS.CSV</RecipeName>
<WeldTime>4062</WeldTime>
<DistDiff>2.16</DistDiff>
<DistAbs>75.16</DistAbs>
<Energy>18002.9</Energy>
<MaxPower>7422</MaxPower>
<CycleTime>8900</CycleTime>
<TrigForce>1025.73</TrigForce>
<TrigDist>73</TrigDist>
<RunSpeed>58.0748</RunSpeed>
<MaxForce>3614</MaxForce>
<LossPower>15.2593</LossPower>
<ErrorNr>0</ErrorNr>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;125.74;1068;0.02
3;123.29;1073;0.02
4;125.74;1073;0.02
5;123.29;1078;0.03
6;125.74;1082;0.03
7;61.65;1085;0.03
8;36.01;1038;0.04
9;240.79;984;0.05
10;322.28;952;0.07
11;346.69;932;0.1
12;361.64;917;0.13
13;386.36;925;0.17
14;428.17;915;0.2
15;487.38;917;0.23
16;541.7;922;0.27
17;578.63;927;0.3
18;605.79;939;0.33
19;630.51;959;0.36
20;652.49;981;0.39
21;669.88;1011;0.41
22;687.28;1026;0.43
23;699.48;1033;0.44
24;706.81;1058;0.45
25;711.69;1073;0.46
26;711.69;1087;0.47
27;704.37;1112;0.48
28;701.93;1127;0.48
29;701.93;1139;0.48
30;704.37;1142;0.48
31;697.04;1139;0.49
32;692.16;1149;0.49
33;684.53;1162;0.49
34;677.21;1157;0.5
35;674.76;1162;0.5
36;682.09;1171;0.5
37;682.09;1174;0.51
38;682.09;1179;0.51
39;682.09;1184;0.51
40;674.76;1196;0.51
41;667.44;1206;0.52
42;662.56;1201;0.52
43;665;1196;0.52
44;665;1203;0.52
45;665;1211;0.53
46;665;1211;0.53
47;665;1221;0.53
48;665;1228;0.53
49;674.76;1233;0.54
50;689.72;1233;0.54
51;699.48;1233;0.54
52;706.81;1248;0.55
53;711.69;1263;0.55
54;716.57;1255;0.55
55;724.2;1263;0.55
56;736.41;1265;0.56
57;743.74;1267;0.56
58;751.37;1270;0.56
59;761.13;1278;0.56
60;766.01;1285;0.57
61;768.46;1297;0.57
62;775.78;1290;0.57
63;790.73;1282;0.57
64;802.94;1297;0.58
65;820.34;1299;0.58
66;837.43;1299;0.58
67;849.94;1310;0.58
68;864.59;1319;0.59
69;899.08;1322;0.59
70;931.42;1317;0.59
71;953.4;1310;0.59
72;975.68;1329;0.6
73;995.51;1344;0.6
74;1007.72;1332;0.6
75;1032.44;1339;0.61
76;1066.93;1346;0.61
77;1094.09;1344;0.61
78;1118.81;1344;0.61
79;1133.46;1349;0.62
80;1153.29;1361;0.62
81;1165.5;1379;0.62
82;1182.9;1359;0.63
83;1214.94;1351;0.63
84;1242.1;1369;0.63
85;1264.08;1369;0.63
