<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-06-25-20:54:32</TimeStamp>
<UserName>operator</UserName>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>10000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>2</RunupPressure>
<RunupDist>5</RunupDist>
<RunPress>0.7</RunPress>
<RunBackPress1>4</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>5</RunBackDist>
<TrigValue>1000</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>19.2326</PressNr>
<MaxLoss>300</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.2</RunPressure>
<Amplitude>85</Amplitude>
<WeldMode>6000</WeldMode>
</WeldSet>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.6</RunPressure>
<Amplitude>90</Amplitude>
<WeldMode>12000</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>261889</WeldNr>
<RecipeName>CCS2_CVS.CSV</RecipeName>
<WeldTime>3961</WeldTime>
<DistDiff>2.25</DistDiff>
<DistAbs>75.03</DistAbs>
<Energy>18001.9</Energy>
<MaxPower>6693</MaxPower>
<CycleTime>8760</CycleTime>
<TrigForce>1001.01</TrigForce>
<TrigDist>72.78</TrigDist>
<RunSpeed>58.131</RunSpeed>
<MaxForce>3631</MaxForce>
<LossPower>14.1911</LossPower>
<ErrorNr>0</ErrorNr>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;126.8;1048;0.02
3;124.36;1053;0.03
4;121.92;1055;0.03
5;124.36;1063;0.03
6;126.8;1065;0.03
7;92.32;1053;0.04
8;79.2;999;0.04
9;266.58;949;0.06
10;328.23;930;0.08
11;347.76;907;0.11
12;360.27;898;0.14
13;377.36;893;0.17
14;411.85;888;0.2
15;449.08;885;0.24
16;486.01;890;0.27
17;515.61;885;0.31
18;542.77;890;0.34
19;564.75;917;0.37
20;591.91;930;0.4
21;616.63;949;0.43
22;634.02;971;0.45
23;653.55;991;0.47
24;673.39;1014;0.49
25;690.79;1031;0.5
26;698.11;1046;0.51
27;702.99;1068;0.52
28;702.99;1100;0.53
29;695.67;1102;0.53
30;693.23;1117;0.53
31;690.79;1125;0.53
32;683.16;1125;0.53
33;673.39;1129;0.54
34;663.63;1134;0.54
35;653.55;1137;0.54
36;641.35;1149;0.55
37;634.02;1144;0.55
38;634.02;1144;0.55
39;631.58;1164;0.55
40;631.58;1164;0.56
41;623.95;1166;0.56
42;619.07;1176;0.56
43;621.51;1184;0.56
44;631.58;1186;0.57
45;636.46;1186;0.57
46;641.35;1181;0.57
47;643.79;1196;0.57
48;648.67;1206;0.58
49;651.11;1201;0.58
50;658.74;1211;0.58
51;668.51;1216;0.59
52;673.39;1221;0.59
53;678.27;1223;0.59
54;678.27;1228;0.59
55;675.83;1240;0.6
56;673.39;1250;0.6
57;675.83;1243;0.6
58;688.35;1240;0.6
59;695.67;1255;0.61
60;705.44;1255;0.61
61;710.32;1263;0.61
62;712.76;1273;0.61
63;727.71;1280;0.61
64;744.8;1280;0.62
65;762.2;1282;0.62
66;776.85;1280;0.62
67;791.8;1292;0.62
68;806.45;1305;0.62
69;823.85;1299;0.63
70;851.01;1305;0.63
71;878.17;1307;0.63
72;902.89;1307;0.63
73;924.86;1314;0.64
74;942.26;1312;0.64
75;952.02;1322;0.64
76;971.86;1332;0.64
77;999.02;1327;0.65
78;1023.74;1319;0.65
79;1040.83;1337;0.65
80;1065.55;1332;0.65
