<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-06-25-22:16:01</TimeStamp>
<UserName>operator</UserName>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>10000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>2</RunupPressure>
<RunupDist>5</RunupDist>
<RunPress>0.7</RunPress>
<RunBackPress1>4</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>5</RunBackDist>
<TrigValue>1000</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>19.2326</PressNr>
<MaxLoss>300</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.2</RunPressure>
<Amplitude>85</Amplitude>
<WeldMode>6000</WeldMode>
</WeldSet>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.6</RunPressure>
<Amplitude>90</Amplitude>
<WeldMode>12000</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>261953</WeldNr>
<RecipeName>CCS2_CVS.CSV</RecipeName>
<WeldTime>4128</WeldTime>
<DistDiff>2</DistDiff>
<DistAbs>75.15</DistAbs>
<Energy>18000</Energy>
<MaxPower>6398</MaxPower>
<CycleTime>8970</CycleTime>
<TrigForce>1028.17</TrigForce>
<TrigDist>73.15</TrigDist>
<RunSpeed>57.6893</RunSpeed>
<MaxForce>3619</MaxForce>
<LossPower>13.5807</LossPower>
<ErrorNr>0</ErrorNr>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;127.41;1075;0.02
3;127.41;1075;0.02
4;127.41;1085;0.02
5;127.41;1087;0.02
6;127.41;1090;0.02
7;68.21;1092;0.02
8;121.62;1043;0.03
9;286.72;986;0.04
10;323.95;949;0.07
11;345.93;937;0.1
12;356;927;0.13
13;370.65;917;0.16
14;405.13;922;0.19
15;454.57;917;0.23
16;501.27;925;0.26
17;540.94;937;0.29
18;568.1;954;0.32
19;592.52;967;0.35
20;619.68;986;0.37
21;641.96;1006;0.4
22;661.79;1028;0.41
23;669.12;1053;0.43
24;674;1060;0.44
25;678.88;1085;0.45
26;681.33;1100;0.45
27;681.33;1110;0.46
28;681.33;1125;0.46
29;669.12;1137;0.46
30;656.61;1144;0.47
31;641.96;1147;0.47
32;634.63;1142;0.47
33;629.75;1144;0.48
34;624.56;1154;0.48
35;622.12;1151;0.48
36;622.12;1164;0.49
37;619.68;1176;0.49
38;624.56;1181;0.49
39;632.19;1186;0.49
40;634.63;1191;0.5
41;634.63;1194;0.5
42;629.75;1201;0.5
43;627.31;1203;0.5
44;627.31;1203;0.51
45;632.19;1211;0.51
46;639.52;1213;0.51
47;646.84;1213;0.51
48;649.28;1218;0.52
49;649.28;1223;0.52
50;646.84;1233;0.52
51;649.28;1235;0.53
52;654.16;1240;0.53
53;659.35;1240;0.53
54;661.79;1253;0.53
55;664.24;1248;0.54
56;666.68;1255;0.54
57;664.24;1265;0.54
58;674;1267;0.54
59;686.21;1265;0.55
60;696.28;1273;0.55
61;706.05;1280;0.55
62;708.49;1285;0.55
63;710.93;1292;0.55
64;715.81;1287;0.56
65;721;1297;0.56
66;730.77;1302;0.56
67;738.09;1302;0.56
68;745.41;1307;0.57
69;750.6;1317;0.57
