<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-06-26-08:17:23</TimeStamp>
<UserName>operator</UserName>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>10000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>2</RunupPressure>
<RunupDist>5</RunupDist>
<RunPress>0.7</RunPress>
<RunBackPress1>4</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>5</RunBackDist>
<TrigValue>1000</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>19.2326</PressNr>
<MaxLoss>300</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.2</RunPressure>
<Amplitude>85</Amplitude>
<WeldMode>6000</WeldMode>
</WeldSet>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.6</RunPressure>
<Amplitude>90</Amplitude>
<WeldMode>12000</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>262029</WeldNr>
<RecipeName>CCS2_CVS.CSV</RecipeName>
<WeldTime>3880</WeldTime>
<DistDiff>2.07</DistDiff>
<DistAbs>75</DistAbs>
<Energy>18001.6</Energy>
<MaxPower>6214</MaxPower>
<CycleTime>8720</CycleTime>
<TrigForce>1025.73</TrigForce>
<TrigDist>72.93</TrigDist>
<RunSpeed>58.5783</RunSpeed>
<MaxForce>3601</MaxForce>
<LossPower>18.0059</LossPower>
<ErrorNr>0</ErrorNr>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;122.99;1075;0.02
3;120.55;1080;0.02
4;122.99;1082;0.02
5;122.99;1087;0.02
6;122.99;1085;0.03
7;61.34;1087;0.03
8;122.07;1028;0.03
9;287.48;974;0.05
10;339.06;944;0.07
11;375.99;932;0.1
12;427.87;920;0.13
13;531.63;907;0.16
14;642.41;905;0.19
15;738.55;895;0.22
16;815.15;898;0.26
17;899.08;912;0.29
18;995.21;925;0.33
19;1101.11;937;0.36
20;1209.75;937;0.39
21;1320.54;984;0.42
22;1421.86;1003;0.44
23;1510.67;1018;0.46
24;1594.29;1038;0.48
25;1698.05;1063;0.49
26;1786.86;1073;0.5
27;1860.71;1085;0.51
28;1919.92;1105;0.51
29;1942.2;1119;0.52
30;1954.41;1166;0.52
31;1991.33;1125;0.53
32;2038.33;1127;0.53
33;2075.26;1139;0.54
34;2107.3;1137;0.54
35;2122.26;1137;0.55
36;2127.14;1147;0.55
37;2129.58;1166;0.56
38;2168.95;1169;0.56
39;2223.27;1164;0.57
40;2267.53;1127;0.57
41;2294.69;1186;0.57
42;2299.57;1189;0.58
43;2289.8;1184;0.58
44;2289.8;1191;0.59
45;2326.73;1201;0.59
46;2373.73;1201;0.6
47;2400.89;1194;0.6
48;2415.54;1203;0.61
49;2405.77;1213;0.61
50;2373.73;1263;0.62
51;2378.61;1208;0.62
52;2417.98;1213;0.63
53;2460.1;1233;0.63
54;2482.07;1233;0.64
55;2482.07;1233;0.64
56;2464.98;1240;0.64
57;2452.47;1263;0.65
58;2489.7;1258;0.65
59;2541.28;1253;0.66
60;2578.51;1216;0.66
61;2595.6;1285;0.66
62;2588.27;1287;0.67
63;2561.11;1278;0.67
64;2558.67;1287;0.67
65;2595.6;1295;0.68
