<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-06-26-09:06:00</TimeStamp>
<UserName>admin</UserName>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>10000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>2</RunupPressure>
<RunupDist>5</RunupDist>
<RunPress>0.7</RunPress>
<RunBackPress1>4</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>5</RunBackDist>
<TrigValue>1000</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>19.2326</PressNr>
<MaxLoss>300</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.2</RunPressure>
<Amplitude>85</Amplitude>
<WeldMode>6000</WeldMode>
</WeldSet>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.6</RunPressure>
<Amplitude>90</Amplitude>
<WeldMode>12000</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>262062</WeldNr>
<RecipeName>CCS2_CVS.CSV</RecipeName>
<WeldTime>4000</WeldTime>
<DistDiff>2.26</DistDiff>
<DistAbs>75.23</DistAbs>
<Energy>18002.4</Energy>
<MaxPower>6592</MaxPower>
<CycleTime>8880</CycleTime>
<TrigForce>1020.84</TrigForce>
<TrigDist>72.97</TrigDist>
<RunSpeed>58.0048</RunSpeed>
<MaxForce>3631</MaxForce>
<LossPower>16.48</LossPower>
<ErrorNr>0</ErrorNr>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;124.52;1068;0.03
3;124.52;1070;0.03
4;124.52;1073;0.03
5;124.52;1078;0.03
6;124.52;1082;0.04
7;62.87;1082;0.04
8;79.35;1036;0.04
9;271.61;977;0.06
10;343.03;944;0.08
11;380.26;925;0.11
12;422.07;910;0.14
13;506;893;0.17
14;609.45;885;0.21
15;698.26;880;0.24
16;774.56;870;0.28
17;848.72;878;0.32
18;927.46;895;0.36
19;1026.34;907;0.4
20;1117.59;920;0.44
21;1213.72;915;0.47
22;1309.85;967;0.5
23;1401.1;994;0.52
24;1480.15;996;0.54
25;1568.65;1018;0.56
26;1657.46;1046;0.58
27;1734.06;1065;0.59
28;1795.71;1073;0.6
29;1839.96;1092;0.6
30;1852.47;1115;0.61
31;1864.68;1154;0.61
32;1904.05;1117;0.61
33;1931.21;1112;0.62
34;1960.81;1139;0.62
35;1985.53;1134;0.63
36;1998.05;1132;0.63
37;1998.05;1144;0.63
38;2010.25;1159;0.64
39;2054.51;1162;0.64
40;2096.62;1162;0.65
41;2126.22;1137;0.65
42;2145.76;1186;0.65
43;2148.2;1194;0.66
44;2140.87;1176;0.66
45;2160.71;1191;0.67
46;2202.52;1198;0.67
47;2237.01;1201;0.67
48;2256.84;1191;0.68
49;2266.61;1203;0.68
50;2249.52;1216;0.69
51;2232.12;1255;0.69
52;2256.84;1206;0.69
53;2293.77;1211;0.7
54;2318.49;1233;0.7
55;2330.7;1231;0.71
56;2325.82;1231;0.71
57;2303.84;1240;0.71
58;2308.73;1258;0.72
59;2355.42;1258;0.72
60;2395.09;1255;0.72
61;2419.51;1226;0.73
62;2429.58;1282;0.73
63;2414.62;1290;0.73
64;2392.35;1273;0.74
65;2409.74;1287;0.74
66;2449.11;1295;0.74
