<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-09-28-14:00:00</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>1720</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1586</WeldTime>
<DistDiff>2.53999</DistDiff>
<DistAbs>78.52</DistAbs>
<Energy>3270.02</Energy>
<MaxPower>2258.94</MaxPower>
<CycleTime>5720</CycleTime>
<TrigForce>504.654</TrigForce>
<TrigDist>75.98</TrigDist>
<RunSpeed>69.3248</RunSpeed>
<MaxForce>605.243</MaxForce>
<LossPower>214.888</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;506.607;0
3;0;502.701;0
4;0;506.607;0
5;0;506.607;0
6;0;504.654;0
7;0;508.56;0
8;0;479.019;0
9;0;429.456;0.00999451
10;49.0966;415.784;0.0399933
11;91.2122;382.092;0.0699997
12;125.698;364.513;0.109993
13;170.255;350.597;0.149994
14;236.785;336.68;0.189995
15;298.433;312.998;0.239998
16;355.197;312.998;0.289993
17;404.637;295.419;0.349998
18;451.636;289.315;0.399994
19;508.4;291.269;0.459999
20;565.165;295.419;0.509995
21;624.371;303.232;0.549995
22;681.135;309.091;0.589996
23;755.295;303.232;0.629997
24;819.384;326.914;0.659996
25;888.661;336.68;0.689995
26;950.308;317.148;0.719994
27;1002.19;348.643;0.739998
28;1039.42;358.409;0.75
29;1086.12;382.092;0.759995
30;1140.44;372.326;0.769997
31;1185;392.102;0.779999
32;1221.92;384.045;0.789993
33;1244.2;429.456;0.789993
34;1249.08;411.878;0.789993
35;1259.16;405.774;0.789993
36;1303.41;437.513;0.799995
37;1340.64;419.691;0.799995
38;1370.24;421.644;0.809998
39;1397.4;413.831;0.809998
40;1416.94;431.654;0.82
41;1427.01;429.456;0.82
42;1456.61;443.373;0.829994
43;1506.05;409.925;0.829994
44;1545.42;431.654;0.839996
45;1579.91;441.42;0.849998
46;1602.18;417.737;0.849998
47;1602.18;433.607;0.859993
48;1599.74;441.42;0.869995
49;1626.9;445.326;0.869995
50;1666.58;431.654;0.879997
51;1690.99;431.654;0.889999
52;1713.27;431.654;0.889999
53;1715.71;463.149;0.899994
54;1703.51;441.42;0.909996
