Experiment_ID;Kategorie;Z;P_mean;P_std;P_max;P_range;F_mean;F_std;F_max;F_range;D_std;D_max;D_range
1569;Gutschweißung;2600;2304,687803;274,6633944;2500,99;2500,99;540,6025522;38,47487477;585,467;585,467;0,386393443;2,14001;2,14001
1570;Gutschweißung;2750;2122,718944;253,2404363;2296,86;2296,86;544,7176766;37,25908356;595,477;595,477;0,427626383;2,36;2,36
1571;Gutschweißung;2770;2132,649144;262,6128015;2319,37;2319,37;545,4034103;36,30199845;589,618;589,618;0,427736562;2,24;2,24
1572;Gutschweißung;2660;2064,196953;252,261096;2290,99;2290,99;544,1239059;38,86885462;589,618;589,618;0,441996645;2,45;2,45
1573;Gutschweißung;2810;2119,152411;257,9750906;2291,94;2291,94;543,1923065;38,88787438;591,571;591,571;0,432707718;2,44;2,44
1574;Gutschweißung;2850;2149,259356;260,9956964;2339,24;2339,24;544,0962709;36,83821676;589,618;589,618;0,426868053;2,29;2,29
1575;Gutschweißung;2900;2094,12157;251,3195428;2275,61;2275,61;540,6531845;36,5595124;589,618;589,618;0,441831945;2,35999;2,35999
1576;Gutschweißung;2750;2128,706785;260,9309191;2329,33;2329,33;539,9050332;36,45081893;589,618;589,618;0,418401798;2,27;2,27
1577;Gutschweißung;2750;2118,554695;258,2157557;2334,21;2334,21;543,5256863;38,95822688;589,618;589,618;0,448763897;2,45;2,45
1578;Gutschweißung;2770;2168,165892;266,02157;2354,81;2354,81;542,7491187;37,84827358;589,618;589,618;0,43342488;2,28;2,28
1579;Gutschweißung;2590;2110,097339;251,4739187;2338,18;2338,18;539,8191175;36,77195317;589,618;589,618;0,40597098;2,21999;2,21999
1580;Gutschweißung;2760;2147,721638;273,364632;2453,54;2453,54;542,08509;41,0418132;591,571;591,571;0,428598472;2,46;2,46
1581;Gutschweißung;2700;2193,776558;269,1584899;2354,35;2354,35;543,7448141;39,3585612;589,618;589,618;0,418766483;2,32;2,32
1582;Gutschweißung;2670;2112,348297;265,3642247;2368,54;2368,54;544,2513404;39,26266242;593,524;593,524;0,434623678;2,4;2,4
1583;Gutschweißung;2620;2223,016123;294,9396511;2652,97;2652,97;542,1339653;39,45172111;589,618;589,618;0,413458078;2,31;2,31
1584;Gutschweißung;2660;2103,886126;253,6657068;2276,22;2276,22;543,0315148;37,93766907;593,524;593,524;0,400087092;2,24;2,24
1585;Gutschweißung;2760;2067,885775;251,8385268;2263,71;2263,71;544,2156426;37,02317376;593,524;593,524;0,442448753;2,36;2,36
1586;Gutschweißung;2710;2104,501281;259,8472691;2291,64;2291,64;542,4003426;37,18995809;591,571;591,571;0,436779986;2,34;2,34
1587;Gutschweißung;2820;2165,12466;268,4985751;2368,39;2368,39;542,6944616;37,95098206;591,571;591,571;0,395724077;2,22;2,22
1588;Gutschweißung;2830;2112,373477;257,8606837;2300,94;2300,94;543,3254292;40,035047;591,571;591,571;0,417493445;2,39;2,39
