T,P,F,D,Experiment_ID,Kategorie,Z
1,0.0,0.0,0.0,1633,Gutschweißung,2890.0
2,0.0,498.795,0.0,1633,Gutschweißung,2890.0
3,0.0,502.701,0.0,1633,Gutschweißung,2890.0
4,0.0,502.701,0.0,1633,Gutschweißung,2890.0
5,0.0,506.607,0.0100021,1633,Gutschweißung,2890.0
6,0.0,504.654,0.0100021,1633,Gutschweißung,2890.0
7,0.0,500.748,0.0100021,1633,Gutschweißung,2890.0
8,0.0,480.972,0.0100021,1633,Gutschweißung,2890.0
9,0.0,425.55,0.0200043,1633,Gutschweißung,2890.0
10,63.9553,409.925,0.0400009,1633,Gutschweißung,2890.0
11,110.954,372.326,0.0800018,1633,Gutschweißung,2890.0
12,152.764,366.466,0.120003,1633,Gutschweißung,2890.0
13,214.412,342.784,0.160004,1633,Gutschweißung,2890.0
14,303.526,326.914,0.209999,1633,Gutschweißung,2890.0
15,377.38,334.727,0.260002,1633,Gutschweißung,2890.0
16,436.892,319.102,0.300003,1633,Gutschweißung,2890.0
17,493.656,301.279,0.349998,1633,Gutschweißung,2890.0
18,557.745,323.008,0.389999,1633,Gutschweißung,2890.0
19,629.463,312.998,0.43,1633,Gutschweißung,2890.0
20,695.994,323.008,0.470001,1633,Gutschweißung,2890.0
21,762.524,317.148,0.510002,1633,Gutschweißung,2890.0
22,841.567,334.727,0.540001,1633,Gutschweißung,2890.0
23,903.52,338.633,0.560005,1633,Gutschweißung,2890.0
24,982.563,364.513,0.590004,1633,Gutschweißung,2890.0
25,1071.37,336.68,0.610001,1633,Gutschweißung,2890.0
26,1145.23,364.513,0.620003,1633,Gutschweißung,2890.0
27,1212.06,384.045,0.639999,1633,Gutschweißung,2890.0
28,1268.83,370.373,0.650002,1633,Gutschweißung,2890.0
29,1305.75,394.055,0.650002,1633,Gutschweißung,2890.0
30,1330.47,399.915,0.660004,1633,Gutschweißung,2890.0
31,1379.91,413.831,0.670006,1633,Gutschweißung,2890.0
32,1426.91,405.774,0.670006,1633,Gutschweißung,2890.0
33,1466.28,411.878,0.670006,1633,Gutschweißung,2890.0
34,1501.07,405.774,0.68,1633,Gutschweißung,2890.0
35,1515.72,441.42,0.68,1633,Gutschweißung,2890.0
36,1513.28,419.691,0.690002,1633,Gutschweißung,2890.0
37,1528.23,411.878,0.690002,1633,Gutschweißung,2890.0
38,1585.0,443.373,0.700005,1633,Gutschweißung,2890.0
39,1631.69,425.55,0.700005,1633,Gutschweißung,2890.0
40,1668.92,419.691,0.709999,1633,Gutschweißung,2890.0
41,1698.53,421.644,0.720001,1633,Gutschweißung,2890.0
42,1710.73,437.513,0.720001,1633,Gutschweißung,2890.0
43,1718.36,433.607,0.730003,1633,Gutschweißung,2890.0
44,1755.29,445.326,0.740005,1633,Gutschweißung,2890.0
45,1821.82,411.878,0.740005,1633,Gutschweißung,2890.0
46,1868.82,437.513,0.75,1633,Gutschweißung,2890.0
47,1900.86,441.42,0.75,1633,Gutschweißung,2890.0
