Experiment_ID;Kategorie;Z;P_mean;P_std;P_max;P_min;P_range;F_mean;F_std;F_max;F_min;F_range;D_mean;D_std;D_max;D_min;D_range
1569;Gutschweißung;2600,0;2304,6878028208744;274,6633943880679;2500,99;0,0;2500,99;540,6025521861777;38,474874772301405;585,467;0,0;585,467;1,6017870410437236;0,38639344335892123;2,14001;0,0;2,14001
1570;Gutschweißung;2750,0;2122,7189437012985;253,24043631228537;2296,86;0,0;2296,86;544,7176766233766;37,259083555281386;595,477;0,0;595,477;1,715860004090909;0,427626382503263;2,36;0,0;2,36
1571;Gutschweißung;2770,0;2132,649144487932;262,61280154243974;2319,37;0,0;2319,37;545,4034103065884;36,30199844734217;589,618;0,0;589,618;1,5634870617090668;0,42773656225532036;2,24;0,0;2,24
1572;Gutschweißung;2660,0;2064,196952777778;252,2610960483819;2290,99;0,0;2290,99;544,1239059343434;38,868854617032916;589,618;0,0;589,618;1,779498449816919;0,4419966445397039;2,45;0,0;2,45
1573;Gutschweißung;2810,0;2119,1524111471163;257,9750905796111;2291,94;0,0;2291,94;543,1923065456903;38,887874381639605;591,571;0,0;591,571;1,8157355994167208;0,4327077183340114;2,44;0,0;2,44
1574;Gutschweißung;2850,0;2149,25935634451;260,9956963886228;2339,24;0,0;2339,24;544,0962708744248;36,83821676403746;589,618;0,0;589,618;1,6332022860618016;0,4268680528236233;2,29;0,0;2,29
1575;Gutschweißung;2900,0;2094,1215704035876;251,31954284154668;2275,61;0,0;2275,61;540,6531844971173;36,559512396569424;589,618;0,0;589,618;1,6613164728379242;0,4418319449525086;2,35999;0,0;2,35999
1576;Gutschweißung;2750,0;2128,7067848307292;260,93091914230035;2329,33;0,0;2329,33;539,9050332031251;36,45081892925355;589,618;0,0;589,618;1,6295317048828124;0,41840179784158144;2,27;0,0;2,27
1577;Gutschweißung;2750,0;2118,5546946856775;258,21575567461497;2334,21;0,0;2334,21;543,5256863253403;38,95822688175818;589,618;0,0;589,618;1,794327563318211;0,4487638965261663;2,45;0,0;2,45
1578;Gutschweißung;2770,0;2168,165891578249;266,02157004947725;2354,81;0,0;2354,81;542,7491187002653;37,84827358339302;589,618;0,0;589,618;1,613718087009284;0,4334248803450745;2,28;0,0;2,28
1579;Gutschweißung;2590,0;2110,0973390961913;251,4739186942986;2338,18;0,0;2338,18;539,8191174951583;36,77195316714216;589,618;0,0;589,618;1,6047235430664943;0,40597098013290495;2,21999;0,0;2,21999
1580;Gutschweißung;2760,0;2147,721637647832;273,3646320090802;2453,54;0,0;2453,54;542,0850900131406;41,041813200781014;591,571;0,0;591,571;1,8531406017082788;0,42859847182967775;2,46;0,0;2,46
1581;Gutschweißung;2700,0;2193,776557718121;269,15848990548517;2354,35;0,0;2354,35;543,7448140939598;39,35856120236637;589,618;0,0;589,618;1,716795857449664;0,4187664834068051;2,32;0,0;2,32
