<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-12-05-13:54:57</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>2394</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1962</WeldTime>
<DistDiff>3.76</DistDiff>
<DistAbs>78.37</DistAbs>
<Energy>3271.24</Energy>
<MaxPower>1995.3</MaxPower>
<CycleTime>6270</CycleTime>
<TrigForce>500.748</TrigForce>
<TrigDist>74.61</TrigDist>
<RunSpeed>68.2617</RunSpeed>
<MaxForce>599.384</MaxForce>
<LossPower>246.59</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;504.654;0
3;0;504.654;0.0100021
4;0;500.748;0.0100021
5;0;504.654;0.0100021
6;0;504.654;0.0100021
7;0;502.701;0.0100021
8;0;494.644;0.0100021
9;0;472.915;0.0199966
10;0;461.196;0.0299988
11;19.837;451.186;0.0400009
12;27.4667;445.326;0.0500031
13;42.1156;435.56;0.0699997
14;64.3941;437.513;0.0800018
15;89.1141;429.456;0.0999985
16;121.158;419.691;0.110001
17;150.761;427.503;0.120003
18;177.923;415.784;0.139999
19;197.76;415.784;0.150002
20;217.597;415.784;0.159996
21;232.246;419.691;0.18
22;252.083;411.878;0.190002
23;271.92;417.737;0.199997
24;293.893;407.971;0.220001
25;308.847;427.503;0.229996
26;326.243;423.597;0.239998
27;331.126;413.831;0.25
28;340.892;431.654;0.260002
29;355.846;427.503;0.269997
30;370.495;427.503;0.279999
31;375.378;429.456;0.290001
32;385.449;425.55;0.300003
33;390.332;435.56;0.309998
34;392.773;433.607;0.32
35;402.539;439.467;0.330002
36;417.493;425.55;0.339996
37;427.259;431.654;0.349998
38;432.142;435.56;0.360001
39;434.584;425.55;0.370003
40;432.142;435.56;0.379997
41;429.701;433.607;0.389999
42;427.259;437.513;0.400002
43;432.142;435.56;0.409996
44;432.142;433.607;0.409996
45;434.584;433.607;0.419998
46;429.701;445.326;0.43
47;424.818;441.42;0.440002
48;417.493;441.42;0.449997
49;422.376;447.279;0.459999
50;424.818;447.279;0.470001
51;424.818;445.326;0.479996
52;424.818;449.232;0.479996
53;424.818;449.232;0.489998
54;422.376;453.383;0.5
55;427.259;455.336;0.510002
56;439.772;447.279;0.519997
57;442.213;459.243;0.529999
58;439.772;457.289;0.540001
59;434.584;455.336;0.540001
60;429.701;459.243;0.550003
61;424.818;459.243;0.559998
62;419.935;457.289;0.559998
63;419.935;461.196;0.57
64;419.935;453.383;0.580002
65;417.493;465.102;0.589996
66;412.61;467.055;0.589996
67;404.981;461.196;0.599998
68;402.539;467.055;0.610001
69;407.727;469.008;0.620003
70;410.169;469.008;0.620003
71;410.169;467.055;0.629997
72;404.981;479.019;0.639999
73;404.981;472.915;0.639999
74;402.539;482.925;0.650002
75;404.981;475.112;0.659996
76;410.169;469.008;0.659996
77;415.052;480.972;0.669998
78;415.052;475.112;0.669998
79;415.052;477.065;0.68
80;410.169;477.065;0.690002
