<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-10-13-09:45:21</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>1800</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1198</WeldTime>
<DistDiff>2.14</DistDiff>
<DistAbs>78.14</DistAbs>
<Energy>3270.76</Energy>
<MaxPower>3070.3</MaxPower>
<CycleTime>5280</CycleTime>
<TrigForce>500.748</TrigForce>
<TrigDist>76</TrigDist>
<RunSpeed>69.4698</RunSpeed>
<MaxForce>615.253</MaxForce>
<LossPower>218.379</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;498.795;0
3;0;502.701;0
4;0;502.701;0
5;0;504.654;0
6;0;504.654;0.0100021
7;0;504.654;0.0100021
8;0;479.019;0.0100021
9;0;427.503;0.0199966
10;48.0476;413.831;0.0400009
11;87.7216;374.279;0.0800018
12;117.325;370.373;0.120003
13;169.206;348.643;0.160004
14;243.061;352.55;0.209999
15;324.545;317.148;0.260002
16;388.939;323.008;0.309998
17;443.262;323.008;0.360001
18;497.585;305.185;0.410004
19;554.35;314.951;0.449997
20;608.673;321.055;0.5
21;665.437;334.727;0.540001
22;727.084;328.867;0.57
23;786.29;338.633;0.610001
24;853.126;332.774;0.639999
25;912.332;374.279;0.660004
26;954.447;366.466;0.68
27;993.816;362.56;0.699997
28;1057.91;396.008;0.720001
29;1117.42;392.102;0.730003
30;1168.99;403.821;0.739998
31;1213.55;397.961;0.739998
32;1243.15;427.503;0.75
33;1260.55;421.644;0.75
34;1287.71;443.373;0.760002
35;1342.03;403.821;0.760002
36;1383.84;425.55;0.760002
37;1415.89;441.42;0.769997
38;1445.8;415.784;0.769997
39;1458;431.654;0.779999
40;1455.56;431.654;0.779999
41;1475.4;447.279;0.790001
42;1514.77;425.55;0.800003
43;1539.49;439.467;0.800003
44;1564.21;421.644;0.809998
45;1573.97;465.102;0.809998
46;1566.65;445.326;0.82
47;1559.32;433.607;0.830002
48;1593.81;465.102;0.830002
49;1635.93;447.279;0.839996
50;1670.41;449.232;0.839996
51;1690.25;437.513;0.849998
52;1707.34;463.149;0.860001
53;1702.46;455.336;0.860001
54;1714.66;475.112;0.870003
55;1776.62;431.654;0.879997
56;1823.31;459.243;0.889999
57;1855.66;472.915;0.889999
58;1877.63;445.326;0.900002
59;1875.19;467.055;0.910004
60;1860.54;472.915;0.910004
61;1872.75;482.925;0.919998
62;1912.42;459.243;0.93
63;1939.58;469.008;0.93
64;1954.23;463.149;0.940002
65;1956.68;506.607;0.940002
66;1929.51;480.972;0.949997
67;1907.24;472.915;0.949997
68;1942.03;504.654;0.959999
69;1983.84;486.831;0.970001
70;2008.56;480.972;0.970001
71;2023.51;477.065;0.980003
72;2025.95;502.701;0.980003
73;2011;500.748;0.980003
74;2011;510.514;0.989998
75;2070.2;469.008;0.989998
76;2122.09;498.795;1
77;2149.25;504.654;1
78;2161.76;475.112;1.01
79;2154.44;498.795;1.01
80;2122.09;508.56;1.02
81;2122.09;512.467;1.02
82;2161.76;490.738;1.03
83;2184.04;492.691;1.03
84;2196.25;488.784;1.04
85;2191.36;522.477;1.04
86;2154.44;510.514;1.04
87;2122.09;494.644;1.05
88;2151.69;520.524;1.05
89;2198.69;512.467;1.06
90;2223.41;514.42;1.06
91;2235.92;496.597;1.07
92;2228.29;530.29;1.07
93;2201.13;514.42;1.07
94;2196.25;542.009;1.08
95;2260.33;502.701;1.08
96;2304.89;512.467;1.08
97;2329.61;532.243;1.09
98;2339.38;506.607;1.09
99;2319.85;520.524;1.09
100;2285.05;514.42;1.1
101;2280.17;534.196;1.1
102;2317.4;498.795;1.1
103;2336.94;518.326;1.11
104;2347.01;496.597;1.11
105;2334.49;540.056;1.11
106;2295.13;526.383;1.12
107;2255.45;506.607;1.12
108;2280.17;536.149;1.12
109;2327.17;522.477;1.13
110;2347.01;524.43;1.13
111;2356.77;508.56;1.13
112;2349.45;544.206;1.14
113;2319.85;522.477;1.14
114;2309.77;552.019;1.14
115;2364.1;506.607;1.15
116;2408.65;520.524;1.15
117;2435.82;538.102;1.15
118;2443.14;510.514;1.16
119;2406.21;524.43;1.16
120;2368.98;526.383;1.16
121;2386.38;542.009;1.16
122;2420.86;506.607;1.17
123;2438.26;526.383;1.17
124;2440.7;502.701;1.17
125;2413.54;553.972;1.17
126;2364.1;534.196;1.18
127;2339.38;518.326;1.18
128;2381.49;548.112;1.18
129;2420.86;532.243;1.19
130;2435.82;528.336;1.19
131;2440.7;518.326;1.19
132;2413.54;553.972;1.19
133;2381.49;536.149;1.2
134;2396.14;559.832;1.2
135;2458.09;510.514;1.2
136;2490.14;530.29;1.2
137;2509.98;546.159;1.21
138;2504.79;518.326;1.21
139;2470.3;534.196;1.21
140;2435.82;534.196;1.22
141;2443.14;546.159;1.22
142;2480.07;514.42;1.22
143;2497.46;530.29;1.22
144;2497.46;514.42;1.23
145;2472.74;565.935;1.23
146;2418.42;534.196;1.23
147;2391.26;522.477;1.23
148;2433.37;553.972;1.23
149;2467.86;536.149;1.24
150;2485.26;530.29;1.24
151;2487.7;524.43;1.24
152;2465.42;555.925;1.24
153;2428.49;540.056;1.25
154;2438.26;561.785;1.25
155;2497.46;512.467;1.25
156;2531.95;538.102;1.25
157;2551.79;552.019;1.25
158;2546.9;520.524;1.26
159;2512.42;538.102;1.26
160;2472.74;542.009;1.26
161;2480.07;555.925;1.26
162;2514.86;520.524;1.26
163;2529.51;530.29;1.27
164;2534.39;520.524;1.27
165;2504.79;571.795;1.27
