<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-10-13-12:40:11</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>1870</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1111</WeldTime>
<DistDiff>1.88</DistDiff>
<DistAbs>77.92</DistAbs>
<Energy>3271.26</Energy>
<MaxPower>3450.35</MaxPower>
<CycleTime>5200</CycleTime>
<TrigForce>504.654</TrigForce>
<TrigDist>76.04</TrigDist>
<RunSpeed>69.8897</RunSpeed>
<MaxForce>623.066</MaxForce>
<LossPower>213.706</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;504.654;0
3;0;506.607;0
4;0;506.607;0
5;0;506.607;0
6;0;506.607;0
7;0;506.607;0
8;0;480.972;0
9;0;425.55;0.0199966
10;50.2793;409.925;0.0400009
11;92.3948;376.232;0.0800018
12;124.439;364.513;0.120003
13;173.879;344.737;0.169998
14;250.481;332.774;0.220001
15;329.218;323.008;0.260002
16;396.054;323.008;0.309998
17;455.26;324.961;0.360001
18;529.42;305.185;0.400002
19;595.95;321.055;0.440002
20;662.786;330.821;0.479996
21;726.875;330.821;0.510002
22;786.081;346.69;0.540001
23;840.403;358.409;0.559998
24;907.239;370.373;0.580002
25;973.769;372.326;0.599998
26;1032.98;376.232;0.610001
27;1087.3;388.195;0.620003
28;1129.41;415.784;0.629997
29;1148.95;411.878;0.639999
30;1171.22;407.971;0.639999
31;1220.66;443.373;0.650002
32;1265.22;427.503;0.650002
33;1297.27;433.607;0.650002
34;1324.43;425.55;0.650002
35;1346.71;445.326;0.659996
36;1351.59;437.513;0.659996
37;1381.19;455.336;0.669998
38;1435.51;413.831;0.669998
39;1474.88;437.513;0.68
40;1512.12;447.279;0.68
41;1534.39;419.691;0.690002
42;1536.84;439.467;0.699997
43;1534.39;445.326;0.699997
44;1561.56;455.336;0.709999
45;1598.48;435.56;0.709999
46;1625.64;443.373;0.720001
47;1647.92;431.654;0.729996
48;1652.81;472.915;0.729996
49;1640.6;451.186;0.739998
50;1640.6;447.279;0.75
51;1689.73;472.915;0.75
52;1729.41;453.383;0.760002
53;1756.57;447.279;0.769997
54;1778.85;453.383;0.769997
55;1783.73;469.008;0.779999
56;1781.29;469.008;0.790001
57;1810.89;479.019;0.790001
58;1867.66;447.279;0.799995
59;1907.03;472.915;0.809998
60;1936.63;475.112;0.809998
61;1946.7;457.289;0.82
62;1936.63;475.112;0.830002
63;1919.54;484.878;0.830002
64;1941.82;484.878;0.839996
65;1981.19;470.962;0.839996
66;2005.91;467.055;0.849998
67;2015.67;472.915;0.849998
68;2008.35;502.701;0.860001
69;1978.74;479.019;0.870003
70;1973.86;484.878;0.870003
71;2020.55;500.748;0.879997
72;2060.23;488.784;0.879997
73;2082.51;480.972;0.889999
74;2094.71;490.738;0.889999
75;2089.83;500.748;0.889999
76;2069.99;514.42;0.900002
77;2097.16;504.654;0.900002
78;2159.11;480.972;0.909996
