<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2025-02-10-06:44:00</TimeStamp>
<UserName>Operator </UserName>
<PressTyp>MPX-50</PressTyp>
<Generator>MAG-Cabinet Serie v01</Generator>
<GenFreq>20</GenFreq>
<MaxForce>5200</MaxForce>
<MaxPower>7200</MaxPower>
<RunupPressure>1.00</RunupPressure>
<RunupDist>2.00</RunupDist>
<RunPress>1.00</RunPress>
<RunBackPress1>1.00</RunBackPress1>
<RunBackPress2>1.50</RunBackPress2>
<RunBackDist>2.00</RunBackDist>
<TrigValue>600.00</TrigValue>
<TrigModeUnit>N</TrigModeUnit>
<HoldPress>0.10</HoldPress>
<HoldTime>500</HoldTime>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>MPX-TC SN019096</PressNr>
<MaxLoss>1080</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.20</PressRiseTime>
<RunPressure>1.30</RunPressure>
<Amplitude>70</Amplitude>
<WeldMode>1800.00</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>5946</WeldNr>
<RecipeName>Q_SCON25 - 35AL Recommended Set</RecipeName>
<WeldTime>1.24</WeldTime>
<DistDiff>1.74</DistDiff>
<DistAbs>44.54</DistAbs>
<Energy>1801.9</Energy>
<MaxPower>1710</MaxPower>
<CycleTime>4.42</CycleTime>
<TrigForce>649</TrigForce>
<TrigDist>42.80</TrigDist>
<RunSpeed>90</RunSpeed>
<MaxForce>1143</MaxForce>
<LossPower>42</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
0;0;638;0.00
2;0;644;0.00
4;0;649;0.00
6;0;653;0.01
8;0;658;0.01
10;0;663;0.02
12;0;668;0.02
14;0;673;0.02
16;0;677;0.03
18;0;682;0.03
20;0;686;0.04
22;0;689;0.05
24;7;691;0.09
26;30;693;0.15
28;75;696;0.24
30;142;700;0.34
32;262;704;0.42
34;435;708;0.48
36;577;714;0.50
38;660;720;0.52
40;720;725;0.52
42;750;731;0.53
44;795;736;0.54
46;825;741;0.55
48;832;746;0.56
50;870;751;0.57
52;870;755;0.58
54;877;759;0.59
56;877;763;0.60
58;885;766;0.60
60;892;770;0.61
62;892;773;0.62
64;900;776;0.62
66;900;780;0.63
68;915;784;0.64
70;922;788;0.65
72;945;792;0.66
74;952;796;0.66
76;960;800;0.67
78;967;804;0.68
80;975;808;0.68
82;982;812;0.69
84;997;816;0.70
86;1027;820;0.71
88;1027;824;0.71
90;1042;827;0.72
92;1050;831;0.73
94;1080;834;0.73
96;1080;838;0.74
98;1072;842;0.75
100;1080;845;0.75
102;1080;849;0.76
104;1087;854;0.76
106;1102;858;0.77
108;1102;862;0.77
110;1110;866;0.78
112;1110;870;0.78
114;1125;873;0.79
116;1140;877;0.80
118;1140;881;0.80
120;1155;885;0.81
122;1162;888;0.81
124;1170;892;0.82
126;1200;895;0.82
128;1192;899;0.83
130;1185;903;0.83
132;1185;907;0.84
134;1192;911;0.84
136;1200;914;0.84
138;1200;918;0.85
140;1200;922;0.85
142;1200;926;0.86
144;1200;929;0.86
146;1215;933;0.87
148;1215;937;0.87
150;1215;940;0.87
152;1215;943;0.88
154;1222;946;0.88
156;1207;950;0.89
158;1215;953;0.89
160;1230;957;0.89
162;1230;960;0.90
164;1237;963;0.90
166;1260;967;0.91
168;1237;970;0.91
170;1245;974;0.91
172;1252;978;0.92
174;1260;981;0.92
176;1260;984;0.93
178;1260;988;0.93
180;1260;991;0.93
182;1267;994;0.94
184;1275;998;0.94
186;1282;1001;0.95
188;1290;1004;0.95
190;1297;1008;0.95
192;1305;1011;0.96
194;1305;1014;0.96
196;1320;1018;0.97
198;1327;1021;0.97
200;1327;1025;0.98
202;1335;1028;0.98
204;1335;1031;0.98
206;1335;1034;0.99
208;1350;1037;0.99
210;1357;1040;0.99
212;1357;1043;1.00
214;1357;1046;1.00
216;1372;1048;1.01
218;1387;1051;1.01
220;1380;1054;1.01
222;1387;1057;1.02
224;1387;1059;1.02
226;1395;1062;1.02
228;1395;1065;1.03
230;1395;1067;1.03
232;1402;1069;1.04
234;1402;1071;1.04
236;1402;1073;1.04
238;1410;1075;1.05
240;1410;1078;1.05
242;1417;1080;1.05
244;1425;1082;1.06
246;1425;1084;1.06
248;1447;1086;1.06
