<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-01-24-14:46:39</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>2968</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1691</WeldTime>
<DistDiff>2.35</DistDiff>
<DistAbs>78</DistAbs>
<Energy>3271.88</Energy>
<MaxPower>2129.14</MaxPower>
<CycleTime>6130</CycleTime>
<TrigForce>500.748</TrigForce>
<TrigDist>75.65</TrigDist>
<RunSpeed>67.7867</RunSpeed>
<MaxForce>623.066</MaxForce>
<LossPower>325.156</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;500.748;0
3;0;498.795;0
4;0;500.748;0
5;0;502.701;0
6;0;502.701;0
7;0;498.795;0
8;0;484.878;0
9;0;427.503;0.0100021
10;0;411.878;0.0299988
11;0;368.419;0.0599976
12;22.7554;364.513;0.0999985
13;77.0783;342.784;0.139999
14;153.68;311.045;0.18
15;230.281;324.961;0.220001
16;289.487;295.419;0.260002
17;343.81;287.362;0.299995
18;400.575;275.643;0.349998
19;457.339;283.456;0.400002
20;511.662;287.362;0.449997
21;576.056;299.326;0.489998
22;645.028;283.456;0.529999
23;711.863;303.232;0.559998
24;775.952;319.102;0.589996
25;840.041;293.222;0.619995
26;884.598;323.008;0.639999
27;929.155;334.727;0.659996
28;985.92;354.503;0.68
29;1042.68;358.409;0.689995
30;1086.94;364.513;0.699997
31;1126.61;376.232;0.709999
32;1146.14;401.868;0.709999
33;1151.33;390.149;0.709999
34;1173.3;392.102;0.720001
35;1217.86;427.503;0.720001
36;1257.53;405.774;0.729996
37;1287.14;405.774;0.729996
38;1314.3;405.774;0.739998
39;1328.95;415.784;0.739998
40;1339.02;423.597;0.75
41;1375.95;423.597;0.75
42;1427.83;407.971;0.760002
43;1459.87;433.607;0.760002
44;1491.92;429.456;0.769997
45;1506.87;399.915;0.779999
46;1499.24;421.644;0.779999
47;1499.24;431.654;0.790001
48;1531.59;435.56;0.790001
49;1568.52;423.597;0.799995
50;1593.24;415.784;0.809998
51;1610.63;427.503;0.809998
52;1607.89;443.373;0.82
53;1590.8;415.784;0.830002
54;1600.56;429.456;0.839996
55;1654.89;457.289;0.839996
56;1689.37;437.513;0.849998
57;1718.97;431.654;0.860001
58;1733.93;437.513;0.860001
59;1731.49;447.279;0.869995
60;1718.97;465.102;0.879997
61;1751.32;453.383;0.879997
62;1800.46;441.42;0.889999
63;1830.37;477.065;0.900002
64;1852.34;459.243;0.900002
65;1852.34;439.467;0.909996
66;1827.62;457.289;0.909996
67;1810.53;470.962;0.919998
68;1832.81;469.008;0.919998
69;1862.41;461.196;0.93
70;1877.06;445.326;0.93
71;1879.5;470.962;0.939995
72;1864.85;477.065;0.939995
73;1832.81;469.008;0.949997
74;1830.37;447.279;0.949997
75;1877.06;506.607;0.959999
76;1906.66;472.915;0.959999
77;1926.5;472.915;0.970001
78;1928.94;465.102;0.970001
79;1916.73;484.878;0.979996
80;1899.34;486.831;0.979996
81;1921.62;496.597;0.989998
82;1973.5;459.243;0.989998
83;1998.22;486.831;0.989998
84;2017.75;504.654;1
85;2010.43;451.186;1
86;1980.82;488.784;1.01
87;1956.1;490.738;1.01
88;1980.82;500.748;1.01
89;2007.98;484.878;1.02
