<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-06-25-13:13:50</TimeStamp>
<UserName>operator</UserName>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>10000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>2</RunupPressure>
<RunupDist>5</RunupDist>
<RunPress>0.7</RunPress>
<RunBackPress1>4</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>5</RunBackDist>
<TrigValue>1000</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>19.2326</PressNr>
<MaxLoss>300</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.2</RunPressure>
<Amplitude>85</Amplitude>
<WeldMode>6000</WeldMode>
</WeldSet>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.6</RunPressure>
<Amplitude>90</Amplitude>
<WeldMode>12000</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>261544</WeldNr>
<RecipeName>CCS2_CVS.CSV</RecipeName>
<WeldTime>3637</WeldTime>
<DistDiff>2.14</DistDiff>
<DistAbs>75</DistAbs>
<Energy>18001.7</Energy>
<MaxPower>6277</MaxPower>
<CycleTime>8490</CycleTime>
<TrigForce>1020.84</TrigForce>
<TrigDist>72.86</TrigDist>
<RunSpeed>57.9634</RunSpeed>
<MaxForce>3643</MaxForce>
<LossPower>13.8859</LossPower>
<ErrorNr>0</ErrorNr>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;127.11;1065;0.03
3;124.67;1068;0.03
4;122.23;1070;0.04
5;127.11;1078;0.04
6;127.11;1078;0.04
7;97.51;1073;0.04
8;62.11;1014;0.05
9;266.88;959;0.06
10;355.69;934;0.09
11;399.95;912;0.12
12;464.03;900;0.15
13;567.8;890;0.18
14;676.14;890;0.22
15;764.95;893;0.26
16;836.36;880;0.3
17;912.96;878;0.34
18;989.26;890;0.38
19;1070.74;907;0.42
20;1161.99;925;0.46
21;1265.45;947;0.49
22;1364.33;977;0.52
23;1477.55;991;0.55
24;1588.64;1006;0.57
25;1684.77;996;0.59
26;1771.14;1055;0.6
27;1832.79;1075;0.61
28;1864.83;1080;0.62
29;1899.32;1092;0.63
30;1960.97;1110;0.63
31;2010.41;1115;0.64
32;2049.78;1112;0.64
33;2072.05;1125;0.65
34;2069.61;1137;0.65
35;2049.78;1181;0.66
36;2064.73;1132;0.66
37;2099.22;1137;0.67
38;2128.82;1154;0.67
39;2148.35;1151;0.67
40;2153.54;1154;0.68
41;2145.91;1162;0.68
42;2133.7;1179;0.69
43;2158.42;1174;0.69
44;2212.44;1174;0.69
45;2254.55;1154;0.7
46;2281.72;1189;0.7
47;2291.48;1203;0.71
48;2284.16;1206;0.71
49;2274.09;1201;0.72
50;2303.69;1211;0.72
51;2348.25;1213;0.72
52;2377.85;1203;0.73
53;2390.06;1216;0.73
54;2375.41;1231;0.74
55;2343.36;1267;0.74
56;2343.36;1233;0.74
57;2377.85;1235;0.75
58;2414.78;1240;0.75
59;2434.61;1253;0.75
60;2441.94;1253;0.76
61;2424.54;1260;0.76
62;2400.13;1282;0.76
63;2432.17;1280;0.76
64;2486.19;1280;0.77
65;2520.98;1243;0.77
66;2540.51;1287;0.77
67;2535.63;1299;0.78
68;2515.79;1302;0.78
69;2503.59;1297;0.78
70;2533.19;1310;0.78
71;2572.56;1312;0.79
72;2592.39;1302;0.79
73;2597.28;1314;0.79
74;2572.56;1324;0.79
75;2528.31;1369;0.8
76;2533.19;1324;0.8
77;2570.12;1324;0.8
78;2604.6;1334;0.81
79;2619.56;1344;0.81
80;2617.11;1337;0.81
81;2589.95;1346;0.81
82;2572.56;1364;0.81
83;2617.11;1361;0.82
84;2671.13;1361;0.82
85;2703.48;1319;0.82
86;2720.57;1376;0.82
87;2708.37;1386;0.83
88;2673.88;1383;0.83
89;2668.69;1383;0.83
90;2695.85;1391;0.83
91;2735.53;1391;0.84
92;2759.94;1383;0.84
93;2762.38;1398;0.84
94;2730.34;1406;0.84
95;2686.09;1458;0.84
96;2688.53;1403;0.85
97;2730.34;1401;0.85
98;2762.38;1413;0.85
99;2779.78;1418;0.85
100;2777.34;1415;0.85
101;2745.29;1421;0.86
102;2725.46;1443;0.86
103;2767.57;1438;0.86
104;2824.34;1433;0.86
105;2853.63;1388;0.86
106;2871.03;1453;0.87
107;2861.26;1458;0.87
108;2819.15;1453;0.87
109;2811.82;1458;0.87
110;2846.31;1465;0.87
111;2885.98;1465;0.88
112;2903.07;1455;0.88
113;2903.07;1465;0.88
114;2880.79;1475;0.88
115;2829.22;1534;0.88
116;2814.26;1467;0.89
117;2848.75;1472;0.89
118;2885.98;1485;0.89
119;2907.96;1482;0.89
120;2912.84;1485;0.89
121;2885.98;1490;0.89
122;2851.19;1512;0.9
123;2878.35;1502;0.9
124;2937.56;1504;0.9
125;2974.49;1447;0.9
126;2996.77;1522;0.9
127;2999.21;1527;0.91
128;2959.84;1517;0.91
129;2940;1524;0.91
130;2972.05;1531;0.91
131;3009.28;1534;0.91
132;3033.69;1517;0.91
133;3038.88;1534;0.92
134;3009.28;1544;0.92
135;2954.95;1603;0.92
136;2952.51;1536;0.92
137;2994.32;1536;0.92
138;3023.93;1554;0.92
139;3043.76;1546;0.93
140;3043.76;1549;0.93
141;3009.28;1549;0.93
142;2979.67;1574;0.93
143;3021.49;1571;0.93
144;3078.25;1576;0.94
145;3110.29;1561;0.94
146;3135.01;1566;0.94
147;3124.94;1593;0.94
148;3083.13;1610;0.94
149;3070.93;1583;0.94
150;3110.29;1596;0.95
151;3147.22;1598;0.95
152;3169.5;1586;0.95
153;3174.38;1596;0.95
154;3137.46;1601;0.95
155;3078.25;1620;0.95
156;3090.46;1615;0.96
157;3130.13;1601;0.96
158;3159.43;1586;0.96
159;3179.27;1618;0.96
160;3174.38;1610;0.96
161;3132.57;1615;0.96
162;3112.74;1638;0.97
163;3139.9;1638;0.97
164;3194.22;1635;0.97
165;3233.59;1620;0.97
166;3263.19;1635;0.97
167;3260.75;1655;0.97
168;3218.63;1672;0.97
169;3194.22;1650;0.98
170;3228.71;1660;0.98
171;3268.07;1662;0.98
172;3292.79;1645;0.98
173;3307.44;1660;0.98
174;3275.4;1662;0.98
175;3211.31;1697;0.98
176;3208.87;1675;0.99
177;3248.24;1667;0.99
178;3277.84;1657;0.99
179;3297.68;1682;0.99
180;3302.56;1679;0.99
181;3260.75;1679;0.99
182;3223.82;1704;1
183;3263.19;1699;1
184;3317.51;1702;1
185;3349.56;1675;1
186;3376.72;1702;1
187;3366.65;1722;1
188;3319.96;1734;1
189;3305;1714;1.01
190;3341.93;1724;1.01
191;3381.6;1729;1.01
192;3403.58;1709;1.01
193;3416.09;1726;1.01
194;3374.28;1729;1.01
195;3307.44;1766;1.01
196;3319.96;1739;1.01
197;3359.33;1729;1.02
198;3388.93;1722;1.02
199;3408.77;1744;1.02
200;3406.32;1739;1.02
201;3361.77;1744;1.02
202;3334.6;1766;1.02
203;3386.49;1761;1.02
204;3433.18;1766;1.03
205;3465.53;1729;1.03
206;3492.39;1768;1.03
207;3475.3;1783;1.03
208;3423.41;1791;1.03
209;3420.97;1776;1.03
210;3462.78;1786;1.03
211;3492.39;1791;1.03
212;3517.11;1773;1.04
213;3527.18;1788;1.04
214;3485.06;1793;1.04
215;3418.53;1838;1.04
216;3430.74;1795;1.04
217;3467.97;1793;1.04
218;3497.57;1793;1.04
219;3519.55;1808;1.04
220;3517.11;1805;1.05
221;3470.41;1808;1.05
222;3438.37;1830;1.05
223;3485.06;1823;1.05
224;3539.38;1827;1.05
225;3573.87;1778;1.05
226;3603.47;1838;1.05
227;3581.19;1847;1.06
228;3527.18;1855;1.06
229;3524.43;1842;1.06
230;3566.55;1852;1.06
231;3601.03;1852;1.06
232;3625.75;1838;1.06
233;3633.08;1852;1.06
