<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-06-25-13:32:46</TimeStamp>
<UserName>operator</UserName>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>10000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>2</RunupPressure>
<RunupDist>5</RunupDist>
<RunPress>0.7</RunPress>
<RunBackPress1>4</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>5</RunBackDist>
<TrigValue>1000</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>19.2326</PressNr>
<MaxLoss>300</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.2</RunPressure>
<Amplitude>85</Amplitude>
<WeldMode>6000</WeldMode>
</WeldSet>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.6</RunPressure>
<Amplitude>90</Amplitude>
<WeldMode>12000</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>261560</WeldNr>
<RecipeName>CCS2_CVS.CSV</RecipeName>
<WeldTime>4002</WeldTime>
<DistDiff>2</DistDiff>
<DistAbs>75</DistAbs>
<Energy>18001</Energy>
<MaxPower>5516</MaxPower>
<CycleTime>8830</CycleTime>
<TrigForce>1011.08</TrigForce>
<TrigDist>73</TrigDist>
<RunSpeed>58.3067</RunSpeed>
<MaxForce>3621</MaxForce>
<LossPower>12.5126</LossPower>
<ErrorNr>0</ErrorNr>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;128.48;1053;0.02
3;128.48;1058;0.02
4;126.04;1063;0.02
5;128.48;1068;0.02
6;126.04;1065;0.02
7;106.2;1065;0.03
8;46.08;1018;0.03
9;250.86;971;0.04
10;347;944;0.06
11;389.11;925;0.09
12;440.69;922;0.12
13;537.13;907;0.15
14;652.79;917;0.17
15;751.67;900;0.2
16;840.17;912;0.24
17;928.98;920;0.27
18;1017.79;925;0.3
19;1113.93;942;0.32
20;1217.69;962;0.35
21;1304.06;984;0.37
22;1382.79;1014;0.39
23;1469.16;1014;0.41
24;1560.41;1018;0.42
25;1641.9;1053;0.43
26;1708.43;1063;0.44
27;1760.31;1075;0.45
28;1792.35;1102;0.46
29;1843.93;1110;0.46
30;1913.21;1115;0.46
31;1962.34;1119;0.47
32;2006.9;1110;0.47
33;2041.38;1129;0.48
34;2056.03;1149;0.48
35;2063.66;1129;0.49
36;2100.59;1144;0.49
37;2152.17;1149;0.5
38;2186.96;1142;0.5
39;2211.37;1151;0.51
40;2213.81;1159;0.51
41;2186.96;1166;0.51
42;2172;1179;0.52
43;2204.05;1164;0.52
44;2240.97;1151;0.53
45;2263.25;1181;0.53
46;2275.46;1176;0.54
47;2265.69;1181;0.54
48;2251.05;1201;0.55
49;2287.97;1201;0.55
50;2354.5;1208;0.56
51;2391.43;1208;0.56
52;2425.92;1206;0.56
53;2435.99;1228;0.57
54;2428.36;1250;0.57
55;2413.71;1228;0.57
56;2438.43;1240;0.58
57;2482.68;1248;0.58
58;2512.28;1238;0.59
59;2524.8;1248;0.59
60;2507.4;1253;0.59
61;2463.15;1267;0.59
62;2438.43;1273;0.6
63;2460.71;1260;0.6
64;2495.19;1248;0.6
65;2514.73;1280;0.61
66;2517.17;1275;0.61
67;2500.08;1280;0.61
68;2472.91;1299;0.62
69;2500.08;1299;0.62
70;2564.17;1302;0.62
71;2608.42;1299;0.62
72;2635.58;1287;0.63
73;2635.58;1322;0.63
74;2618.49;1342;0.63
75;2601.09;1314;0.64
76;2616.05;1329;0.64
77;2655.42;1337;0.64
78;2687.46;1324;0.64
79;2702.11;1327;0.65
80;2689.9;1339;0.65
81;2640.46;1346;0.65
82;2605.98;1366;0.65
83;2616.05;1339;0.66
84;2652.97;1327;0.66
85;2670.06;1364;0.66
86;2677.69;1356;0.66
87;2660.3;1354;0.67
88;2625.81;1376;0.67
89;2638.02;1383;0.67
90;2699.67;1383;0.67
91;2751.55;1379;0.67
92;2776.27;1366;0.68
93;2786.03;1403;0.68
94;2768.94;1423;0.68
95;2739.34;1398;0.68
96;2758.87;1408;0.69
97;2800.99;1415;0.69
98;2830.59;1401;0.69
99;2840.36;1406;0.69
100;2820.52;1415;0.69
101;2766.5;1423;0.7
102;2734.46;1440;0.7
103;2753.99;1415;0.7
104;2790.92;1401;0.7
105;2805.87;1435;0.71
106;2808.31;1430;0.71
107;2781.15;1428;0.71
108;2744.22;1450;0.71
109;2766.5;1453;0.71
110;2828.15;1453;0.72
111;2874.84;1450;0.72
112;2897.12;1443;0.72
113;2904.45;1467;0.72
114;2879.73;1492;0.73
115;2855.01;1462;0.73
