<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-06-26-09:37:23</TimeStamp>
<UserName>admin</UserName>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>10000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>2</RunupPressure>
<RunupDist>5</RunupDist>
<RunPress>0.7</RunPress>
<RunBackPress1>4</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>5</RunBackDist>
<TrigValue>1000</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>19.2326</PressNr>
<MaxLoss>300</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.2</RunPressure>
<Amplitude>85</Amplitude>
<WeldMode>6000</WeldMode>
</WeldSet>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.6</RunPressure>
<Amplitude>90</Amplitude>
<WeldMode>12000</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>262073</WeldNr>
<RecipeName>CCS2_CVS.CSV</RecipeName>
<WeldTime>3905</WeldTime>
<DistDiff>2.29</DistDiff>
<DistAbs>75.15</DistAbs>
<Energy>18000.9</Energy>
<MaxPower>5883</MaxPower>
<CycleTime>8760</CycleTime>
<TrigForce>1011.08</TrigForce>
<TrigDist>72.86</TrigDist>
<RunSpeed>58.7107</RunSpeed>
<MaxForce>3643</MaxForce>
<LossPower>18.4637</LossPower>
<ErrorNr>0</ErrorNr>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;122.53;1055;0.02
3;122.53;1055;0.03
4;120.09;1063;0.03
5;122.53;1060;0.03
6;122.53;1068;0.03
7;100.25;1065;0.03
8;52.64;1014;0.04
9;247.35;954;0.05
10;328.84;925;0.08
11;360.88;902;0.1
12;405.13;890;0.14
13;484.18;885;0.17
14;592.82;878;0.2
15;681.33;873;0.24
16;748.16;866;0.27
17;819.57;875;0.31
18;895.87;883;0.35
19;972.47;898;0.39
20;1048.77;920;0.42
21;1110.72;939;0.45
22;1177.25;984;0.48
23;1253.55;971;0.5
24;1332.59;984;0.52
25;1404;1006;0.54
26;1465.65;1026;0.56
27;1519.97;1038;0.57
28;1554.46;1058;0.58
29;1586.5;1082;0.59
30;1633.5;1090;0.59
31;1680.2;1092;0.6
32;1709.8;1070;0.61
33;1739.4;1117;0.61
34;1751.92;1125;0.62
35;1749.17;1122;0.62
36;1759.24;1127;0.63
37;1791.28;1142;0.63
38;1818.45;1147;0.64
39;1835.54;1144;0.64
40;1843.17;1154;0.64
41;1833.09;1159;0.65
42;1818.45;1198;0.65
43;1835.54;1159;0.66
44;1862.7;1159;0.66
45;1882.53;1174;0.67
46;1894.74;1174;0.67
47;1904.81;1176;0.68
48;1902.07;1186;0.68
49;1899.62;1201;0.69
50;1926.79;1203;0.69
51;1963.71;1201;0.7
52;1990.88;1174;0.7
53;2008.27;1226;0.7
54;2013.15;1233;0.71
55;2003.39;1223;0.71
56;2000.95;1233;0.72
57;2022.92;1243;0.72
58;2050.08;1245;0.72
59;2065.03;1243;0.73
60;2074.8;1253;0.73
61;2060.15;1263;0.73
62;2032.99;1305;0.74
63;2037.87;1260;0.74
64;2060.15;1260;0.74
65;2077.24;1280;0.75
66;2092.2;1278;0.75
