<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-09-28-10:38:19</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>1669</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1407</WeldTime>
<DistDiff>2.18999</DistDiff>
<DistAbs>78.34</DistAbs>
<Energy>3271.83</Energy>
<MaxPower>2540.67</MaxPower>
<CycleTime>5510</CycleTime>
<TrigForce>500.748</TrigForce>
<TrigDist>76.15</TrigDist>
<RunSpeed>71.7719</RunSpeed>
<MaxForce>605.243</MaxForce>
<LossPower>0</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;106.204;502.701;0
3;106.204;500.748;0
4;106.204;502.701;0
5;108.646;500.748;0
6;106.204;502.701;0
7;103.763;500.748;0
8;10.0711;480.972;0.0100021
9;135.502;429.456;0.0199966
10;195.013;415.784;0.0400009
11;199.896;386.242;0.0699997
12;229.499;370.373;0.0999985
13;325.633;366.466;0.139999
14;424.512;352.55;0.18
15;493.789;326.914;0.220001
16;542.924;338.633;0.269997
17;599.994;314.951;0.309998
18;651.57;314.951;0.360001
19;708.335;303.232;0.400002
20;765.404;323.008;0.439995
21;822.169;317.148;0.470001
22;874.05;342.784;0.510002
23;943.022;312.998;0.540001
24;1004.67;340.831;0.559998
25;1066.62;358.409;0.580002
26;1125.83;342.784;0.599998
27;1187.48;366.466;0.619995
28;1234.47;374.279;0.629997
29;1278.73;399.915;0.639999
30;1338.24;386.242;0.650002
31;1387.37;403.821;0.650002
32;1439.25;390.149;0.659996
33;1481.37;439.467;0.659996
34;1510.97;421.644;0.659996
35;1530.81;405.774;0.669998
36;1592.46;439.467;0.669998
37;1641.9;423.597;0.68
38;1683.71;423.597;0.68
39;1728.26;413.831;0.689995
40;1755.42;439.467;0.689995
41;1765.19;429.456;0.699997
42;1799.98;451.186;0.699997
43;1866.51;405.774;0.709999
44;1913.51;429.456;0.720001
45;1948;445.326;0.720001
46;1977.6;415.784;0.729996
47;1980.04;437.513;0.729996
48;1980.04;437.513;0.739998
49;2007.2;455.336;0.75
50;2054.2;421.644;0.75
51;2086.25;439.467;0.760002
52;2110.97;419.691;0.769997
53;2113.41;469.008;0.769997
54;2096.01;451.186;0.779999
55;2088.69;433.607;0.790001
56;2140.57;467.055;0.790001
57;2192.45;453.383;0.799995
58;2224.49;457.289;0.809998
59;2246.77;441.42;0.809998
60;2244.33;477.065;0.82
61;2231.82;461.196;0.830002
62;2249.21;488.784;0.830002
63;2318.49;441.42;0.839996
64;2367.63;465.102;0.839996
65;2394.79;479.019;0.849998
66;2404.86;453.383;0.849998
67;2380.14;472.915;0.860001
68;2352.98;472.915;0.860001
69;2360.3;490.738;0.869995
70;2399.98;459.243;0.869995
71;2419.51;472.915;0.879997
72;2432.02;459.243;0.879997
73;2412.18;508.56;0.889999
74;2370.07;484.878;0.889999
75;2345.65;470.962;0.900002
76;2385.02;506.607;0.900002
77;2424.39;484.878;0.900002
78;2449.11;482.925;0.909996
79;2459.18;477.065;0.909996
80;2441.79;506.607;0.919998
81;2409.74;490.738;0.919998
82;2412.18;514.42;0.93
83;2468.95;465.102;0.93
84;2508.62;494.644;0.939995
85;2528.15;506.607;0.939995
86;2525.71;477.065;0.949997
87;2493.67;496.597;0.949997
88;2454.3;498.795;0.959999
89;2454.3;512.467;0.959999
90;2488.78;482.925;0.959999
91;2503.43;496.597;0.970001
92;2505.87;482.925;0.970001
93;2481.46;534.196;0.979996
94;2434.46;504.654;0.979996
95;2399.98;494.644;0.979996
96;2436.9;530.29;0.989998
97;2471.39;504.654;0.989998
98;2491.23;502.701;0.989998
99;2493.67;494.644;1
100;2476.27;522.477;1
101;2439.34;514.42;1
102;2439.34;528.336;1.01
103;2491.23;482.925;1.01
104;2525.71;510.514;1.02
105;2540.67;518.326;1.02
106;2538.22;488.784;1.02
107;2500.99;510.514;1.03
108;2459.18;516.373;1.03
109;2454.3;522.477;1.03
110;2483.9;494.644;1.03
111;2496.11;510.514;1.04
112;2493.67;484.878;1.04
113;2468.95;524.43;1.04
114;2424.39;518.326;1.05
115;2389.9;498.795;1.05
116;2419.51;526.383;1.05
117;2451.55;518.326;1.06
118;2468.95;522.477;1.06
119;2471.39;500.748;1.06
120;2451.55;544.206;1.06
121;2419.51;522.477;1.07
122;2414.62;548.112;1.07
123;2466.51;508.56;1.07
124;2498.55;514.42;1.07
125;2513.5;538.102;1.08
126;2511.06;508.56;1.08
127;2478.71;522.477;1.08
128;2436.9;516.373;1.08
129;2434.46;538.102;1.09
130;2464.06;502.701;1.09
131;2473.83;522.477;1.09
132;2473.83;496.597;1.09
133;2449.11;540.056;1.1
134;2399.98;528.336;1.1
135;2367.63;510.514;1.1
136;2392.35;536.149;1.11
137;2429.58;524.43;1.11
138;2444.23;526.383;1.11
139;2441.79;508.56;1.11
140;2424.39;550.066;1.12
141;2392.35;528.336;1.12
142;2387.46;552.019;1.12
143;2436.9;510.514;1.12
144;2468.95;522.477;1.12
145;2483.9;544.206;1.13
146;2478.71;514.42;1.13
147;2449.11;526.383;1.13
148;2409.74;524.43;1.13
149;2402.42;542.009;1.13
150;2432.02;508.56;1.14
151;2439.34;526.383;1.14
152;2441.79;502.701;1.14
153;2419.51;552.019;1.14
154;2372.81;534.196;1.15
155;2335.58;516.373;1.15
156;2362.74;548.112;1.15
157;2399.98;530.29;1.15
158;2414.62;532.243;1.15
159;2412.18;516.373;1.16
160;2397.23;552.019;1.16
161;2367.63;532.243;1.16
162;2360.3;557.878;1.16
163;2404.86;512.467;1.16
164;2439.34;528.336;1.17
165;2454.3;548.112;1.17
166;2451.55;518.326;1.17
167;2424.39;534.196;1.17
168;2385.02;534.196;1.17
169;2375.26;550.066;1.18
170;2402.42;514.42;1.18
171;2414.62;532.243;1.18
172;2417.07;512.467;1.18
173;2394.79;565.935;1.18
174;2350.54;538.102;1.18999
175;2313.3;522.477;1.18999
176;2335.58;557.878;1.18999
177;2372.81;536.149;1.18999
178;2387.46;538.102;1.18999
179;2389.9;524.43;1.18999
180;2375.26;553.972;1.2
181;2342.91;538.102;1.2
182;2333.14;561.785;1.2
183;2380.14;510.514;1.2
184;2414.62;536.149;1.2
185;2429.58;550.066;1.21
186;2427.14;518.326;1.21
187;2399.98;538.102;1.21
188;2362.74;540.056;1.21
189;2355.42;552.019;1.21
190;2380.14;520.524;1.21
191;2389.9;534.196;1.22
192;2389.9;518.326;1.22
193;2372.81;569.842;1.22
194;2328.26;540.056;1.22
195;2293.77;530.29;1.22
196;2315.74;559.832;1.22
197;2350.54;540.056;1.23
198;2362.74;536.149;1.23
199;2367.63;528.336;1.23
200;2352.98;553.972;1.23
201;2318.49;542.009;1.23
202;2310.86;563.738;1.23
203;2357.86;514.42;1.23
204;2389.9;542.009;1.24
205;2404.86;553.972;1.24
206;2402.42;522.477;1.24
207;2377.7;544.206;1.24
208;2340.46;546.159;1.24
209;2330.7;553.972;1.24
210;2355.42;528.336;1.25
211;2365.18;538.102;1.25
212;2367.63;526.383;1.25
213;2352.98;573.748;1.25
214;2308.42;542.009;1.25
215;2271.49;536.149;1.25
216;2293.77;569.842;1.25
217;2328.26;544.206;1.26
218;2340.46;540.056;1.26
219;2345.65;536.149;1.26
220;2333.14;557.878;1.26
221;2303.54;550.066;1.26
222;2293.77;567.888;1.26
223;2338.02;520.524;1.26
224;2372.81;546.159;1.27
225;2389.9;555.925;1.27
226;2389.9;524.43;1.27
227;2365.18;546.159;1.27
228;2328.26;553.972;1.27
229;2315.74;555.925;1.27
230;2342.91;534.196;1.27
231;2352.98;538.102;1.28
232;2355.42;532.243;1.28
233;2338.02;571.795;1.28
234;2301.1;553.972;1.28
235;2261.42;530.29;1.28
236;2281.26;559.832;1.28
237;2318.49;548.112;1.28
238;2330.7;550.066;1.28
239;2338.02;530.29;1.29
240;2325.82;569.842;1.29
241;2298.65;548.112;1.29
242;2283.7;573.748;1.29
243;2330.7;532.243;1.29
244;2365.18;544.206;1.29
245;2382.58;563.738;1.29
246;2382.58;536.149;1.3
247;2360.3;548.112;1.3
248;2323.37;546.159;1.3
249;2308.42;565.935;1.3
250;2335.58;528.336;1.3
251;2348.09;548.112;1.3
252;2352.98;526.383;1.3
253;2335.58;573.748;1.3
254;2296.21;553.972;1.31
255;2256.54;536.149;1.31
256;2271.49;567.888;1.31
257;2310.86;550.066;1.31
258;2325.82;553.972;1.31
259;2333.14;536.149;1.31
260;2320.93;571.795;1.31
261;2291.33;552.019;1.31
262;2278.82;577.654;1.32
263;2323.37;534.196;1.32
264;2357.86;550.066;1.32
265;2375.26;567.888;1.32
266;2370.07;536.149;1.32
267;2340.46;553.972;1.32
268;2303.54;552.019;1.32
269;2313.3;567.888;1.32
270;2335.58;534.196;1.33
271;2342.91;550.066;1.33
272;2342.91;532.243;1.33
273;2318.49;583.514;1.33
274;2271.49;559.832;1.33
275;2251.66;542.009;1.33
276;2286.14;573.748;1.33
277;2315.74;557.878;1.33
278;2325.82;553.972;1.33
279;2328.26;542.009;1.34
280;2308.42;575.701;1.34
281;2278.82;559.832;1.34
282;2286.14;581.561;1.34
283;2335.58;534.196;1.34
284;2360.3;555.925;1.34
285;2372.81;571.795;1.34
286;2365.18;542.009;1.34
287;2333.14;559.832;1.34
288;2303.54;557.878;1.35
289;2308.42;573.748;1.35
290;2335.58;538.102;1.35
291;2342.91;555.925;1.35
292;2342.91;538.102;1.35
293;2315.74;589.618;1.35
294;2273.93;563.738;1.35
295;2246.77;552.019;1.35
296;2283.7;583.514;1.35
297;2310.86;561.785;1.36
