<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-09-28-11:26:24</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>1686</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1571</WeldTime>
<DistDiff>2.41</DistDiff>
<DistAbs>78.53</DistAbs>
<Energy>3271</Energy>
<MaxPower>2268.44</MaxPower>
<CycleTime>5740</CycleTime>
<TrigForce>500.748</TrigForce>
<TrigDist>76.12</TrigDist>
<RunSpeed>70.4163</RunSpeed>
<MaxForce>601.337</MaxForce>
<LossPower>217.902</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;498.795;0
3;0;498.795;0
4;0;498.795;0
5;0;502.701;0
6;0;500.748;0
7;0;502.701;0
8;0;488.784;0.00999451
9;0;427.503;0.0199966
10;53.4074;419.691;0.0400009
11;93.0815;384.045;0.0699997
12;130.009;378.185;0.110001
13;184.332;352.55;0.149994
14;260.933;348.643;0.189995
15;339.976;336.68;0.239998
16;404.065;336.68;0.279999
17;470.901;307.138;0.329994
18;530.107;314.951;0.369995
19;591.754;319.102;0.419998
20;650.96;309.091;0.459999
21;705.283;319.102;0.5
22;754.723;321.055;0.529999
23;813.929;332.774;0.559998
24;878.323;328.867;0.589996
25;947.294;334.727;0.610001
26;1006.5;340.831;0.639999
27;1055.94;366.466;0.659996
28;1087.98;358.409;0.669998
29;1125.22;370.373;0.68
30;1189.31;392.102;0.699997
31;1241.19;390.149;0.699997
32;1283.3;388.195;0.709999
33;1320.23;399.915;0.719994
34;1342.51;409.925;0.719994
35;1354.72;419.691;0.729996
36;1391.95;413.831;0.739998
37;1448.71;399.915;0.739998
38;1485.64;421.644;0.75
39;1520.13;413.831;0.759995
40;1547.29;409.925;0.759995
41;1552.17;419.691;0.769997
42;1554.92;429.456;0.779999
43;1589.4;421.644;0.790001
44;1628.77;417.737;0.790001
45;1655.93;401.868;0.799995
46;1678.21;423.597;0.809998
47;1680.65;437.513;0.809998
48;1670.89;415.784;0.82
49;1675.77;429.456;0.829994
50;1727.65;439.467;0.839996
51;1767.02;431.654;0.839996
52;1794.18;423.597;0.849998
53;1816.46;441.42;0.860001
54;1821.34;441.42;0.869995
55;1816.46;463.149;0.879997
56;1853.39;445.326;0.879997
57;1917.78;437.513;0.889999
58;1957.15;461.196;0.899994
59;1984.31;445.326;0.909996
60;1996.83;447.279;0.909996
61;1981.87;453.383;0.919998
62;1964.78;475.112;0.93
63;1991.94;453.383;0.93
64;2028.87;459.243;0.939995
65;2048.71;439.467;0.949997
66;2058.47;470.962;0.949997
67;2043.52;477.065;0.959999
68;2013.92;453.383;0.959999
69;2004.15;479.019;0.969994
70;2051.15;475.112;0.969994
71;2085.64;475.112;0.979996
72;2105.47;463.149;0.979996
73;2107.91;469.008;0.989998
74;2095.4;486.831;0.989998
75;2075.87;488.784;1
76;2097.84;496.597;1.00999
77;2154.91;459.243;1.00999
78;2184.51;486.831;1.02
79;2199.16;488.784;1.02
80;2194.28;470.962;1.03
81;2167.12;486.831;1.03
82;2137.52;498.795;1.04
83;2154.91;494.644;1.04
84;2179.33;480.972;1.04
85;2194.28;479.019;1.05
86;2191.84;484.878;1.05
87;2164.68;516.373;1.06
88;2122.56;486.831;1.06
89;2107.91;494.644;1.07
90;2152.17;514.42;1.07
91;2179.33;498.795;1.07999
92;2191.84;486.831;1.07999
93;2191.84;500.748;1.07999
94;2167.12;508.56;1.09
95;2139.96;520.524;1.09
96;2157.35;516.373;1.09
97;2206.49;482.925;1.1
98;2233.65;516.373;1.1
99;2246.16;510.514;1.11
100;2236.4;496.597;1.11
101;2201.61;508.56;1.11
102;2172;520.524;1.12
103;2182.07;512.467;1.12
104;2206.49;502.701;1.12
105;2214.12;488.784;1.13
106;2206.49;506.607;1.13
107;2179.33;524.43;1.13
108;2135.07;498.795;1.14
109;2115.24;512.467;1.14
110;2154.91;522.477;1.14
111;2182.07;512.467;1.14999
112;2189.4;498.795;1.14999
113;2186.96;514.42;1.14999
114;2162.24;518.326;1.16
115;2132.63;534.196;1.16
116;2147.28;518.326;1.16
117;2201.61;500.748;1.17
118;2223.88;528.336;1.17
119;2233.65;516.373;1.17
120;2223.88;510.514;1.17
121;2189.4;518.326;1.18
122;2157.35;534.196;1.18
123;2169.56;522.477;1.18
124;2189.4;514.42;1.18
125;2194.28;496.597;1.18999
126;2189.4;522.477;1.18999
127;2159.79;534.196;1.18999
128;2117.68;506.607;1.2
129;2097.84;526.383;1.2
130;2135.07;528.336;1.2
131;2159.79;526.383;1.2
132;2167.12;504.654;1.21
133;2164.68;528.336;1.21
134;2139.96;528.336;1.21
135;2110.35;550.066;1.21
136;2120.12;522.477;1.21999
137;2169.56;512.467;1.21999
138;2194.28;540.056;1.21999
139;2201.61;522.477;1.23
140;2189.4;520.524;1.23
141;2157.35;522.477;1.23
142;2125;542.009;1.23
143;2135.07;518.326;1.23
144;2154.91;522.477;1.24
145;2162.24;498.795;1.24
146;2159.79;532.243;1.24
147;2130.19;534.196;1.24
148;2083.19;510.514;1.25
149;2065.8;534.196;1.25
150;2103.03;538.102;1.25
151;2127.75;526.383;1.25
152;2137.52;512.467;1.25999
153;2137.52;528.336;1.25999
154;2112.8;532.243;1.25999
155;2083.19;550.066;1.25999
156;2097.84;534.196;1.25999
157;2144.84;514.42;1.27
158;2167.12;542.009;1.27
159;2179.33;532.243;1.27
160;2167.12;522.477;1.27
161;2132.63;530.29;1.27
162;2103.03;548.112;1.28
163;2112.8;534.196;1.28
