<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-09-28-14:38:22</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>1738</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1539</WeldTime>
<DistDiff>2.35</DistDiff>
<DistAbs>78.53</DistAbs>
<Energy>3272.26</Energy>
<MaxPower>2338</MaxPower>
<CycleTime>5680</CycleTime>
<TrigForce>504.654</TrigForce>
<TrigDist>76.18</TrigDist>
<RunSpeed>69.6344</RunSpeed>
<MaxForce>617.206</MaxForce>
<LossPower>214.869</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;504.654;0
3;0;506.607;0
4;0;508.56;0
5;0;508.56;0
6;0;506.607;0.0100021
7;0;506.607;0.0100021
8;0;482.925;0.0100021
9;0;439.467;0.0199966
10;64.0698;421.644;0.0400009
11;108.322;394.055;0.0800018
12;145.554;386.242;0.120003
13;204.76;360.363;0.159996
14;283.803;354.503;0.199997
15;357.963;340.831;0.239998
16;422.052;330.821;0.279999
17;476.375;321.055;0.32
18;538.022;317.148;0.360001
19;599.67;321.055;0.400002
20;656.434;334.727;0.440002
21;708.316;328.867;0.470001
22;760.197;324.961;0.5
23;831.916;362.56;0.529999
24;900.887;348.643;0.550003
25;962.84;360.363;0.57
26;1019.6;356.456;0.589996
27;1071.49;382.092;0.599998
28;1110.85;386.242;0.610001
29;1167.62;415.784;0.620003
30;1229.27;384.045;0.629997
31;1276.27;413.831;0.639999
32;1318.38;427.503;0.639999
33;1347.98;405.774;0.639999
34;1357.75;425.55;0.650002
35;1362.63;427.503;0.650002
36;1397.42;435.56;0.650002
37;1436.79;421.644;0.659996
38;1461.51;427.503;0.669998
39;1491.12;415.784;0.669998
40;1500.88;453.383;0.68
41;1496;437.513;0.68
42;1513.39;427.503;0.690002
43;1565.28;455.336;0.699997
44;1599.76;437.513;0.699997
45;1629.36;429.456;0.709999
46;1656.53;431.654;0.709999
47;1666.6;447.279;0.720001
48;1671.48;451.186;0.730003
49;1705.97;461.196;0.730003
50;1762.73;425.55;0.739998
51;1799.66;451.186;0.75
52;1832.01;455.336;0.75
53;1846.66;439.467;0.760002
54;1839.33;453.383;0.769997
55;1832.01;463.149;0.769997
56;1864.05;461.196;0.779999
57;1900.98;451.186;0.790001
58;1925.7;449.232;0.800003
59;1943.09;453.383;0.800003
60;1930.58;484.878;0.809998
61;1908.3;461.196;0.809998
62;1910.74;467.055;0.82
63;1962.63;484.878;0.830002
64;1994.98;472.915;0.830002
65;2014.51;461.196;0.839996
66;2024.58;475.112;0.839996
67;2016.95;484.878;0.849998
68;2002.3;496.597;0.849998
69;2027.02;490.738;0.860001
70;2081.34;467.055;0.860001
71;2113.39;494.644;0.870003
72;2125.6;486.831;0.870003
73;2125.6;479.019;0.870003
74;2098.43;492.691;0.879997
75;2073.71;506.607;0.879997
76;2100.88;492.691;0.889999
77;2128.04;486.831;0.889999
78;2140.55;490.738;0.900002
