power	dist
12	9.23
102	9.22
614	9.22
1793	9.20
3681	9.15
5462	9.06
6666	8.96
7272	8.89
7541	8.82
7606	8.75
7677	8.68
7770	8.62
7760	8.56
7820	8.51
7855	8.47
7840	8.42
7851	8.37
7912	8.32
7884	8.28
7917	8.24
7963	8.20
7923	8.15
7962	8.11
7997	8.07
7947	8.03
8014	7.98
8049	7.94
8003	7.90
8057	7.86
8051	7.82
8031	7.77
8091	7.73
8054	7.69
8052	7.65
8117	7.62
8079	7.57
8140	7.53
8167	7.49
8125	7.45
8189	7.42
8154	7.38
8170	7.33
8239	7.29
8201	7.25
8270	7.21
8237	7.16
8233	7.11
8297	7.08
8243	7.02
8271	6.98
8240	6.94
8285	6.90
8331	6.85
8304	6.81
8392	6.77
8358	6.73
8430	6.68
8399	6.64
8444	6.60
8413	6.54
8442	6.50
8433	6.44
8454	6.40
