<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-12-05-14:28:12</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>2418</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1832</WeldTime>
<DistDiff>3.74</DistDiff>
<DistAbs>78.31</DistAbs>
<Energy>3270.8</Energy>
<MaxPower>2060.86</MaxPower>
<CycleTime>6150</CycleTime>
<TrigForce>504.654</TrigForce>
<TrigDist>74.57</TrigDist>
<RunSpeed>68.2251</RunSpeed>
<MaxForce>605.243</MaxForce>
<LossPower>247.562</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;506.607;0.0100021
3;0;506.607;0.0100021
4;0;506.607;0.0100021
5;0;508.56;0.0100021
6;0;508.56;0.0100021
7;0;506.607;0.0100021
8;0;500.748;0.0100021
9;0;482.925;0.0199966
10;0;469.008;0.0299988
11;16.4228;455.336;0.0400009
12;21.3057;447.279;0.0500031
13;31.3768;431.654;0.0699997
14;50.9087;447.279;0.0800018
15;75.6287;433.607;0.0999985
16;100.349;421.644;0.110001
17;129.952;433.607;0.120003
18;157.113;421.644;0.139999
19;179.392;417.737;0.150002
20;201.67;413.831;0.160004
21;221.507;419.691;0.18
22;243.786;417.737;0.190002
23;263.318;427.503;0.199997
24;290.479;407.971;0.220001
25;315.199;419.691;0.230003
26;335.036;429.456;0.239998
27;349.685;409.925;0.260002
28;364.639;419.691;0.269997
29;369.522;423.597;0.279999
30;374.405;431.654;0.290001
31;379.593;419.691;0.300003
32;389.359;425.55;0.32
33;394.242;417.737;0.330002
34;396.683;439.467;0.340004
35;399.125;427.503;0.349998
36;394.242;417.737;0.360001
37;396.683;441.42;0.370003
38;406.755;431.654;0.379997
39;411.638;427.503;0.389999
40;416.52;421.644;0.400002
41;418.962;435.56;0.419998
42;416.52;435.56;0.43
43;414.079;447.279;0.440002
44;426.286;423.597;0.449997
45;433.611;435.56;0.459999
46;433.611;447.279;0.470001
47;436.357;427.503;0.480003
48;433.611;437.513;0.489998
49;431.169;437.513;0.5
50;426.286;441.42;0.510002
51;421.403;433.607;0.519997
52;423.845;437.513;0.529999
53;423.845;425.55;0.540001
54;423.845;451.186;0.550003
55;421.403;443.373;0.559998
56;414.079;431.654;0.580002
57;414.079;457.289;0.590004
58;426.286;445.326;0.599998
59;428.728;447.279;0.610001
60;433.611;441.42;0.620003
61;436.357;451.186;0.629997
62;438.799;449.232;0.639999
63;438.799;463.149;0.650002
64;448.565;437.513;0.660004
65;460.772;451.186;0.669998
66;468.402;461.196;0.68
67;473.285;441.42;0.690002
68;473.285;453.383;0.699997
69;470.843;453.383;0.699997
70;463.519;459.243;0.709999
71;465.96;449.232;0.720001
72;468.402;455.336;0.730003
73;468.402;441.42;0.739998
74;470.843;472.915;0.75
75;468.402;463.149;0.760002
76;460.772;451.186;0.769997
77;465.96;463.149;0.779999
78;478.168;463.149;0.790001
79;483.051;463.149;0.800003
80;487.934;459.243;0.809998
81;493.122;469.008;0.82
82;493.122;465.102;0.82
83;498.005;472.915;0.830002
84;512.654;465.102;0.840004
85;525.166;463.149;0.849998
86;532.491;477.065;0.860001
87;534.932;463.149;0.870003
88;534.932;465.102;0.879997
89;532.491;467.055;0.889999
90;527.608;472.915;0.900002
91;534.932;461.196;0.900002
92;534.932;467.055;0.910004
93;534.932;455.336;0.919998
94;539.815;480.972;0.93
95;532.491;472.915;0.940002
96;525.166;459.243;0.949997
97;527.608;480.972;0.959999
98;537.374;475.112;0.970001
99;542.257;472.915;0.980003
100;545.003;469.008;0.980003
101;547.445;480.972;0.989998
102;545.003;477.065;1
103;545.003;490.738;1.01
104;557.211;465.102;1.02
105;572.165;472.915;1.03
106;574.606;486.831;1.04
107;574.606;467.055;1.04
108;569.418;475.112;1.05
109;562.094;475.112;1.06
110;552.328;482.925;1.07
111;552.328;470.962;1.08
112;549.886;477.065;1.09
113;549.886;463.149;1.1
114;549.886;492.691;1.1
115;542.257;479.019;1.11
116;532.491;469.008;1.12
117;534.932;488.784;1.13
118;542.257;480.972;1.14
119;549.886;480.972;1.15
120;552.328;472.915;1.15
121;557.211;482.925;1.16
122;554.769;480.972;1.17
123;557.211;496.597;1.18
124;574.606;465.102;1.19
125;591.697;479.019;1.2
126;601.768;490.738;1.21
127;606.651;465.102;1.22
128;606.651;480.972;1.23
129;599.326;477.065;1.24
130;594.138;484.878;1.25
131;596.58;472.915;1.26
132;599.326;477.065;1.26
133;601.768;461.196;1.27
134;601.768;494.644;1.28
135;596.58;479.019;1.29
136;589.255;467.055;1.31
137;594.138;492.691;1.31
138;609.092;480.972;1.32
139;616.417;475.112;1.33
140;621.3;475.112;1.34
141;626.488;482.925;1.35
142;628.929;477.065;1.36
143;633.812;486.831;1.37
144;653.649;475.112;1.38
145;670.74;467.055;1.4
146;683.252;484.878;1.41
147;690.577;469.008;1.42
148;693.018;469.008;1.43
149;688.135;472.915;1.44
150;685.694;475.112;1.45
151;690.577;461.196;1.46
152;695.46;469.008;1.48
153;695.46;455.336;1.49
154;697.901;477.065;1.5
155;690.577;470.962;1.51
156;683.252;455.336;1.52
157;690.577;475.112;1.54
158;702.784;467.055;1.55
