<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-10-13-10:35:53</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>1821</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1056</WeldTime>
<DistDiff>2.01</DistDiff>
<DistAbs>78.01</DistAbs>
<Energy>3270.71</Energy>
<MaxPower>3504.29</MaxPower>
<CycleTime>5110</CycleTime>
<TrigForce>502.701</TrigForce>
<TrigDist>76</TrigDist>
<RunSpeed>70.632</RunSpeed>
<MaxForce>623.066</MaxForce>
<LossPower>211.646</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;502.701;0
3;0;504.654;0.0100021
4;0;504.654;0.0100021
5;0;504.654;0.0100021
6;0;504.654;0.0100021
7;0;500.748;0.0100021
8;0;472.915;0.0100021
9;0;431.654;0.0199966
10;62.4104;413.831;0.0400009
11;101.779;388.195;0.0699997
12;138.707;376.232;0.110001
13;190.588;350.597;0.150002
14;264.748;342.784;0.199997
15;338.908;338.633;0.239998
16;400.555;323.008;0.290001
17;454.878;317.148;0.339996
18;514.084;303.232;0.389999
19;573.29;312.998;0.440002
20;627.613;314.951;0.480003
21;694.449;332.774;0.519997
22;765.862;307.138;0.559998
23;830.256;330.821;0.589996
24;896.786;340.831;0.620003
25;955.992;332.774;0.639999
26;1007.87;352.55;0.660004
27;1054.87;364.513;0.68
28;1114.08;380.139;0.699997
29;1170.84;376.232;0.709999
30;1220.28;386.242;0.720001
31;1259.65;388.195;0.730003
32;1279.49;419.691;0.739998
33;1286.81;407.971;0.739998
34;1313.97;411.878;0.75
35;1363.41;425.55;0.75
36;1398.21;419.691;0.760002
37;1427.81;417.737;0.760002
38;1457.41;419.691;0.769997
39;1469.62;431.654;0.769997
40;1482.13;435.56;0.779999
41;1523.94;437.513;0.790001
42;1575.82;417.737;0.790001
43;1612.75;439.467;0.800003
44;1642.66;435.56;0.800003
45;1657.31;425.55;0.809998
46;1652.42;435.56;0.82
47;1652.42;447.279;0.82
48;1691.79;445.326;0.830002
49;1726.58;435.56;0.830002
50;1756.19;425.55;0.839996
51;1773.28;439.467;0.849998
52;1773.28;459.243;0.860001
