<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-10-13-12:00:36</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>1851</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1091</WeldTime>
<DistDiff>1.91</DistDiff>
<DistAbs>77.98</DistAbs>
<Energy>3271.55</Energy>
<MaxPower>3536.6</MaxPower>
<CycleTime>5180</CycleTime>
<TrigForce>502.701</TrigForce>
<TrigDist>76.07</TrigDist>
<RunSpeed>69.9173</RunSpeed>
<MaxForce>623.066</MaxForce>
<LossPower>211.379</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;502.701;0
3;0;502.701;0
4;0;504.654;0
5;0;502.701;0
6;0;504.654;0
7;0;504.654;0
8;0;490.738;0
9;0;433.607;0.0100021
10;57.4893;427.503;0.0400009
11;102.046;384.045;0.0699997
12;136.532;386.242;0.110001
13;190.855;358.409;0.150002
14;269.898;350.597;0.190002
15;346.5;344.737;0.239998
16;405.705;328.867;0.279999
17;457.587;319.102;0.32
18;514.351;317.148;0.370003
19;566.233;324.961;0.400002
20;620.556;334.727;0.440002
21;689.833;340.831;0.470001
22;758.805;328.867;0.5
23;825.64;354.503;0.529999
24;887.288;356.456;0.550003
25;948.935;358.409;0.57
26;995.933;370.373;0.590004
27;1037.74;390.149;0.599998
28;1094.51;394.055;0.610001
29;1146.39;396.008;0.620003
30;1193.39;394.055;0.629997
31;1230.32;411.878;0.639999
32;1250.15;427.503;0.639999
33;1255.04;409.925;0.650002
34;1284.64;423.597;0.650002
35;1334.08;431.654;0.660004
36;1371.31;423.597;0.669998
37;1403.36;413.831;0.669998
38;1432.96;429.456;0.68
39;1447.61;433.607;0.690002
40;1460.12;449.232;0.690002
41;1509.56;431.654;0.699997
42;1563.88;423.597;0.709999
43;1598.37;447.279;0.720001
44;1630.41;429.456;0.720001
45;1645.37;431.654;0.730003
46;1640.18;433.607;0.739998
47;1645.37;451.186;0.739998
48;1687.18;431.654;0.75
49;1724.41;435.56;0.760002
50;1748.83;419.691;0.769997
51;1768.66;451.186;0.769997
52;1763.78;453.383;0.779999
53;1751.57;431.654;0.790001
54;1771.1;457.289;0.800003
