"Schweißkurve";"Zugfestigkeit"
2008;193
2009;0
2010;0
2011;0
2012;553
2013;0
2014;799
2015;0
2016;362
2017;0
2018;0
2019;0
2020;0
2021;0
2022;0
2023;2070
2024;364
2025;0
2026;0
2027;0
2028;0
2029;485
2030;352
2031;126
2032;728
2033;0
2034;286
2035;585
2036;377
2037;0
2038;0
2039;0
2040;415
2041;0
2042;0
2043;0
2044;191
2045;0
2046;0
2047;0
2048;384
2049;892
2050;1180
2051;1060
2052;1400
2053;0
2054;0
2055;602
2056;116
2057;1930
2058;0
2059;97,8
2060;0
2061;0
2062;502
2063;0
2064;0
2065;194
2066;0
2067;0
2068;499
2069;0
2070;457
2071;1090
2072;365
2073;0
2074;378
2075;1120
2076;0
2077;0
2078;125
2079;0
2080;0
2081;0
2082;0
2083;0
2084;0
2085;0
2086;1220
2087;0
2088;225
2089;1070
2090;0
2091;222
2092;0
2093;505
2094;0
2095;312
2096;0
2097;0
2098;55,2
2099;0
2100;0
2101;0
2102;0
2103;0
2104;0
2105;0
2106;879
2107;0
