<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-11-29-09:50:15</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>2264</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1981</WeldTime>
<DistDiff>2.56</DistDiff>
<DistAbs>78.77</DistAbs>
<Energy>3270</Energy>
<MaxPower>1827.16</MaxPower>
<CycleTime>6150</CycleTime>
<TrigForce>504.654</TrigForce>
<TrigDist>76.21</TrigDist>
<RunSpeed>70.8271</RunSpeed>
<MaxForce>599.384</MaxForce>
<LossPower>249.317</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;504.654;0
3;0;502.701;0
4;0;502.701;0
5;0;504.654;0
6;0;504.654;0
7;0;502.701;0
8;0;479.019;0
9;0;433.607;0.0100021
10;32.0635;407.971;0.0299988
11;73.8739;372.326;0.0599976
12;115.989;372.326;0.0999985
13;170.312;348.643;0.129997
14;239.284;328.867;0.169998
15;308.561;336.68;0.200005
16;370.209;312.998;0.239998
17;417.207;305.185;0.270004
18;466.647;291.269;0.309998
19;525.853;309.091;0.349998
20;577.734;305.185;0.379997
21;634.499;324.961;0.419998
22;703.471;289.315;0.450005
23;767.865;312.998;0.480003
24;824.629;336.68;0.5
25;878.952;309.091;0.529999
26;930.834;338.633;0.550003
27;970.203;340.831;0.57
28;1017.2;376.232;0.580002
29;1073.97;362.56;0.599998
30;1120.96;380.139;0.610001
31;1160.33;364.513;0.620003
32;1189.94;419.691;0.629997
33;1197.57;401.868;0.629997
34;1204.89;394.055;0.639999
35;1244.26;433.607;0.650002
36;1283.93;409.925;0.650002
37;1311.09;415.784;0.660004
38;1340.7;397.961;0.660004
39;1357.79;423.597;0.669998
40;1367.86;415.784;0.68
41;1382.51;443.373;0.690002
42;1429.51;413.831;0.690002
43;1463.99;419.691;0.700005
44;1493.59;437.513;0.700005
45;1510.99;415.784;0.709999
46;1513.43;423.597;0.720001
47;1503.67;427.503;0.720001
48;1508.55;441.42;0.730003
49;1543.03;411.878;0.739998
50;1560.43;427.503;0.739998
51;1572.64;407.971;0.75
52;1580.27;447.279;0.760002
53;1560.43;435.56;0.770004
54;1550.66;415.784;0.779999
55;1587.59;447.279;0.790001
56;1617.19;439.467;0.790001
57;1632.15;443.373;0.800003
58;1649.24;425.55;0.809998
59;1649.24;463.149;0.82
60;1639.47;447.279;0.830002
61;1646.8;470.962;0.840004
62;1691.35;435.56;0.840004
63;1713.63;447.279;0.849998
64;1730.72;470.962;0.860001
65;1740.79;439.467;0.870003
66;1723.4;453.383;0.870003
67;1698.68;453.383;0.879997
68;1703.56;470.962;0.889999
69;1730.72;439.467;0.900002
70;1738.05;457.289;0.900002
71;1740.79;437.513;0.910004
72;1735.61;484.878;0.910004
73;1703.56;470.962;0.919998
74;1683.73;451.186;0.93
75;1708.45;482.925;0.93
76;1735.61;472.915;0.940002
77;1743.24;472.915;0.950005
78;1750.56;453.383;0.950005
