<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-11-29-14:32:03</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>2330</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1890</WeldTime>
<DistDiff>2.98</DistDiff>
<DistAbs>79.1</DistAbs>
<Energy>3270.28</Energy>
<MaxPower>2002.26</MaxPower>
<CycleTime>6100</CycleTime>
<TrigForce>500.748</TrigForce>
<TrigDist>76.12</TrigDist>
<RunSpeed>69.5795</RunSpeed>
<MaxForce>599.384</MaxForce>
<LossPower>242.069</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;500.748;0
3;0;500.748;0
4;0;500.748;0
5;0;502.701;0
6;0;504.654;0
7;0;504.654;0
8;0;472.915;0.00999451
9;0;431.654;0.0199966
10;24.3576;405.774;0.0400009
11;61.5902;380.139;0.0699997
12;93.6346;362.56;0.110001
13;135.445;340.831;0.149994
14;202.28;324.961;0.189995
15;268.811;319.102;0.229996
16;333.205;293.222;0.269997
17;382.34;289.315;0.309998
18;434.221;291.269;0.349998
19;496.174;281.503;0.389999
20;547.75;293.222;0.419998
21;599.631;297.372;0.459999
22;659.143;309.091;0.489998
23;713.466;311.045;0.509995
24;772.671;317.148;0.540001
25;829.436;323.008;0.559998
26;878.876;350.597;0.579994
27;913.362;344.737;0.589996
28;955.172;358.409;0.599998
29;1019.57;380.139;0.610001
30;1071.45;380.139;0.619995
31;1113.26;378.185;0.629997
32;1152.93;392.102;0.639999
33;1182.54;401.868;0.639999
34;1197.18;415.784;0.649994
35;1239.3;413.831;0.649994
36;1293.62;397.961;0.659996
37;1328.11;417.737;0.669998
38;1362.59;409.925;0.669998
39;1382.43;405.774;0.68
40;1389.76;415.784;0.689995
41;1392.2;425.55;0.699997
42;1426.99;415.784;0.699997
43;1456.59;411.878;0.709999
44;1478.87;419.691;0.719994
45;1498.4;399.915;0.719994
46;1495.96;445.326;0.729996
47;1483.75;421.644;0.739998
48;1491.08;409.925;0.75
49;1535.63;447.279;0.759995
50;1565.24;423.597;0.769997
51;1587.52;421.644;0.769997
52;1602.16;413.831;0.779999
53;1607.05;435.56;0.790001
54;1599.72;429.456;0.799995
55;1629.33;451.186;0.809998
56;1676.32;407.971;0.82
57;1705.93;437.513;0.82
58;1728.21;449.232;0.829994
59;1733.09;421.644;0.839996
60;1715.69;441.42;0.849998
61;1701.04;449.232;0.849998
62;1720.88;457.289;0.860001
63;1742.85;439.467;0.869995
64;1755.37;445.326;0.869995
65;1757.81;439.467;0.879997
66;1740.41;477.065;0.889999
67;1713.25;453.383;0.889999
68;1705.93;449.232;0.899994
69;1748.04;479.019;0.899994
70;1767.57;461.196;0.909996
71;1780.09;453.383;0.919998
72;1782.53;455.336;0.919998
73;1772.46;475.112;0.93
74;1752.93;475.112;0.93
75;1775.2;484.878;0.939995
76;1817.01;449.232;0.949997
77;1836.85;472.915;0.949997
78;1849.06;479.019;0.959999
79;1844.18;461.196;0.959999
80;1817.01;472.915;0.969994
81;1792.29;484.878;0.979996
82;1804.81;484.878;0.979996
83;1824.34;472.915;0.989998
84;1829.22;467.055;0.989998
85;1829.22;470.962;1
86;1804.81;498.795;1
87;1767.57;475.112;1.00999
88;1757.81;480.972;1.00999
