<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2025-02-11-06:26:24</TimeStamp>
<UserName>Operator </UserName>
<PressTyp>MPX-50</PressTyp>
<Generator>MAG-Cabinet Serie v01</Generator>
<GenFreq>20</GenFreq>
<MaxForce>5200</MaxForce>
<MaxPower>7200</MaxPower>
<RunupPressure>1.00</RunupPressure>
<RunupDist>2.00</RunupDist>
<RunPress>1.00</RunPress>
<RunBackPress1>1.00</RunBackPress1>
<RunBackPress2>1.50</RunBackPress2>
<RunBackDist>2.00</RunBackDist>
<TrigValue>600.00</TrigValue>
<TrigModeUnit>N</TrigModeUnit>
<HoldPress>0.10</HoldPress>
<HoldTime>500</HoldTime>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>MPX-TC SN019096</PressNr>
<MaxLoss>1080</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.20</PressRiseTime>
<RunPressure>1.30</RunPressure>
<Amplitude>70</Amplitude>
<WeldMode>1800.00</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>5966</WeldNr>
<RecipeName>Q_SCON25 - 35AL Recommended Set</RecipeName>
<WeldTime>1.25</WeldTime>
<DistDiff>1.95</DistDiff>
<DistAbs>44.61</DistAbs>
<Energy>1800.8</Energy>
<MaxPower>1665</MaxPower>
<CycleTime>4.43</CycleTime>
<TrigForce>642</TrigForce>
<TrigDist>42.66</TrigDist>
<RunSpeed>91</RunSpeed>
<MaxForce>1148</MaxForce>
<LossPower>47</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
0;0;634;0.00
2;0;638;0.01
4;0;642;0.01
6;0;646;0.01
8;0;651;0.02
10;0;656;0.02
12;0;660;0.03
14;0;665;0.03
16;0;669;0.04
18;0;674;0.04
20;0;678;0.04
22;0;681;0.05
24;22;683;0.08
26;52;685;0.13
28;82;687;0.21
30;172;690;0.31
32;292;692;0.43
34;450;695;0.53
36;600;698;0.60
38;705;703;0.64
40;810;708;0.65
42;877;713;0.66
44;900;718;0.67
46;930;723;0.68
48;930;728;0.69
50;960;732;0.70
52;997;737;0.71
54;997;741;0.72
56;1012;745;0.72
58;1027;750;0.73
60;1035;754;0.74
62;1050;759;0.75
64;1065;764;0.76
66;1080;769;0.77
68;1095;775;0.78
70;1102;780;0.79
72;1110;786;0.80
74;1125;791;0.81
76;1110;796;0.82
78;1125;801;0.82
80;1140;806;0.83
82;1155;811;0.84
84;1162;815;0.85
86;1170;820;0.86
88;1177;824;0.87
90;1192;829;0.87
92;1200;833;0.88
94;1207;837;0.89
96;1200;842;0.89
98;1200;846;0.90
100;1207;850;0.90
102;1215;854;0.91
104;1215;858;0.92
106;1237;862;0.92
108;1245;866;0.93
110;1245;870;0.93
112;1237;874;0.94
114;1237;878;0.94
116;1237;882;0.95
118;1230;886;0.96
120;1237;889;0.96
122;1237;893;0.96
124;1237;897;0.97
126;1237;901;0.97
128;1222;904;0.98
130;1245;908;0.98
132;1260;912;0.99
134;1260;916;0.99
136;1260;919;1.00
138;1275;923;1.00
140;1267;927;1.01
142;1260;930;1.01
144;1260;934;1.02
146;1252;937;1.02
148;1245;940;1.02
150;1245;944;1.03
152;1245;947;1.03
154;1252;951;1.04
156;1260;954;1.04
158;1260;957;1.04
160;1290;961;1.05
162;1290;964;1.05
164;1275;968;1.06
166;1290;971;1.06
168;1290;974;1.07
170;1275;978;1.07
172;1282;981;1.07
174;1297;985;1.08
176;1297;988;1.08
178;1305;991;1.08
180;1327;995;1.09
182;1320;997;1.09
184;1320;1000;1.10
186;1335;1004;1.10
188;1335;1006;1.10
190;1350;1009;1.11
192;1342;1012;1.11
194;1350;1015;1.12
196;1350;1018;1.12
198;1357;1021;1.12
200;1357;1024;1.13
202;1365;1027;1.13
204;1365;1030;1.14
206;1372;1033;1.14
