<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-01-25-11:51:24</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>3009</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1661</WeldTime>
<DistDiff>2.28</DistDiff>
<DistAbs>77.93</DistAbs>
<Energy>3270.71</Energy>
<MaxPower>2183.81</MaxPower>
<CycleTime>6030</CycleTime>
<TrigForce>502.701</TrigForce>
<TrigDist>75.65</TrigDist>
<RunSpeed>68.7727</RunSpeed>
<MaxForce>626.972</MaxForce>
<LossPower>324.812</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;500.748;0
3;0;508.56;0
4;0;504.654;0
5;0;506.607;0
6;0;504.654;0
7;0;506.607;0
8;0;496.597;0
9;0;431.654;0.0199966
10;0;413.831;0.0400009
11;0;378.185;0.0699997
12;35.6113;360.363;0.110001
13;109.466;340.831;0.150002
14;196.139;326.914;0.189995
15;272.435;305.185;0.229996
16;334.388;317.148;0.269997
17;388.71;295.419;0.32
18;443.033;269.539;0.360001
19;516.888;312.998;0.409996
20;586.165;295.419;0.459999
21;647.813;301.279;0.5
22;717.09;295.419;0.529999
23;783.62;312.998;0.57
24;848.014;317.148;0.599998
25;926.752;342.784;0.619995
26;1003.35;321.055;0.639999
27;1070.19;350.597;0.659996
28;1134.28;386.242;0.669998
29;1183.72;350.597;0.68
30;1208.44;390.149;0.689995
31;1227.97;396.008;0.699997
32;1267.64;413.831;0.699997
33;1309.45;405.774;0.699997
34;1339.36;413.831;0.699997
35;1366.52;403.821;0.709999
36;1378.73;439.467;0.709999
37;1376.29;419.691;0.720001
38;1390.94;409.925;0.720001
39;1450.45;463.149;0.729996
40;1494.7;429.456;0.729996
41;1529.49;427.503;0.739998
42;1556.65;425.55;0.739998
43;1568.86;437.513;0.75
44;1571.3;443.373;0.75
45;1610.98;445.326;0.760002
46;1672.62;415.784;0.760002
47;1716.88;441.42;0.769997
48;1746.48;453.383;0.779999
49;1758.99;407.971;0.779999
50;1749.23;439.467;0.790001
51;1739.15;445.326;0.790001
52;1771.2;451.186;0.799995
53;1810.87;437.513;0.809998
54;1835.59;431.654;0.809998
55;1850.24;439.467;0.82
56;1840.48;469.008;0.830002
57;1813.31;439.467;0.839996
58;1823.08;445.326;0.839996
59;1882.29;490.738;0.849998
60;1919.52;459.243;0.849998
61;1944.24;453.383;0.860001
62;1956.45;459.243;0.869995
63;1946.68;470.962;0.869995
64;1926.84;482.925;0.879997
65;1958.89;477.065;0.879997
66;2018.09;453.383;0.889999
67;2048;488.784;0.889999
68;2067.53;480.972;0.900002
69;2062.65;445.326;0.900002
70;2030.61;477.065;0.909996
71;2003.44;484.878;0.909996
72;2025.72;488.784;0.919998
73;2055.33;477.065;0.919998
74;2067.53;461.196;0.93
75;2069.98;475.112;0.93
76;2045.26;506.607;0.93
77;2001;480.972;0.939995
78;1996.12;469.008;0.939995
79;2045.26;526.383;0.949997
80;2077.6;490.738;0.949997
81;2094.7;488.784;0.959999
82;2097.14;488.784;0.959999
83;2075.16;500.748;0.970001
84;2050.44;504.654;0.970001
85;2075.16;506.607;0.970001
86;2126.74;477.065;0.979996
87;2153.9;510.514;0.979996
88;2166.41;512.467;0.989998
