<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-01-25-14:43:43</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>3032</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1671</WeldTime>
<DistDiff>2.31</DistDiff>
<DistAbs>78</DistAbs>
<Energy>3271.81</Energy>
<MaxPower>2188.83</MaxPower>
<CycleTime>6060</CycleTime>
<TrigForce>500.748</TrigForce>
<TrigDist>75.69</TrigDist>
<RunSpeed>67.5201</RunSpeed>
<MaxForce>628.925</MaxForce>
<LossPower>324.679</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;498.795;0
3;0;498.795;0
4;0;500.748;0
5;0;500.748;0
6;0;502.701;0
7;0;498.795;0
8;0;477.065;0.00999451
9;0;425.55;0.0199966
10;0;405.774;0.0400009
11;0;366.466;0.0699997
12;25.6737;368.419;0.110001
13;92.5092;340.831;0.139999
14;176.435;328.867;0.18
15;255.478;307.138;0.220001
16;319.567;305.185;0.259995
17;376.331;299.326;0.309998
18;443.167;311.045;0.349998
19;517.022;289.315;0.399994
20;588.74;311.045;0.439995
21;655.271;332.774;0.470001
22;722.106;297.372;0.5
23;783.753;326.914;0.529999
24;833.193;332.774;0.549995
25;894.841;350.597;0.57
26;961.676;350.597;0.589996
27;1018.44;358.409;0.599998
28;1072.76;360.363;0.619995
29;1109.69;397.961;0.629997
30;1129.53;388.195;0.639999
31;1154.25;380.139;0.639999
32;1211.01;431.654;0.649994
33;1255.26;403.821;0.649994
34;1292.5;405.774;0.659996
35;1329.42;399.915;0.659996
36;1354.14;409.925;0.669998
37;1363.91;409.925;0.68
38;1396.26;433.607;0.689995
39;1450.58;394.055;0.689995
40;1492.39;411.878;0.699997
41;1529.63;445.326;0.709999
42;1554.04;392.102;0.709999
43;1551.6;415.784;0.720001
44;1544.27;411.878;0.729996
45;1566.55;429.456;0.729996
46;1605.92;407.971;0.739998
47;1635.53;419.691;0.75
48;1657.8;401.868;0.759995
49;1660.24;447.279;0.759995
50;1645.6;427.503;0.769997
51;1645.6;396.008;0.779999
52;1697.48;461.196;0.790001
53;1746.61;433.607;0.790001
54;1776.52;435.56;0.799995
55;1800.94;423.597;0.809998
56;1806.12;445.326;0.82
57;1798.49;439.467;0.829994
58;1815.89;465.102;0.829994
59;1875.1;419.691;0.839996
60;1917.21;447.279;0.839996
61;1944.37;480.972;0.849998
62;1951.7;415.784;0.860001
63;1929.42;453.383;0.860001
64;1904.7;453.383;0.869995
65;1917.21;469.008;0.869995
66;1959.02;451.186;0.879997
67;1978.86;461.196;0.879997
68;1991.07;445.326;0.889999
69;1978.86;492.691;0.889999
70;1946.81;467.055;0.899994
71;1926.98;447.279;0.899994
72;1978.86;514.42;0.899994
73;2020.97;475.112;0.909996
74;2040.51;475.112;0.909996
75;2053.02;467.055;0.919998
76;2042.95;486.831;0.919998
77;2015.79;484.878;0.93
78;2028.3;498.795;0.93
79;2080.18;455.336;0.93
80;2112.22;490.738;0.939995
81;2132.06;508.56;0.939995
82;2129.62;453.383;0.949997
83;2097.27;484.878;0.949997
84;2062.78;490.738;0.949997
85;2072.55;502.701;0.959999
86;2102.46;482.925;0.959999
87;2117.11;482.925;0.959999
88;2121.99;482.925;0.970001
89;2099.71;518.326;0.970001
90;2055.46;488.784;0.979996
91;2033.18;480.972;0.979996
92;2077.74;538.102;0.979996
93;2114.67;500.748;0.989998
94;2132.06;496.597;0.989998
95;2136.94;494.644;0.989998
96;2114.67;508.56;1
97;2082.62;514.42;1
98;2089.95;518.326;1
99;2141.83;482.925;1.00999
100;2171.43;500.748;1.00999
101;2188.83;538.102;1.00999
102;2181.2;479.019;1.02
103;2141.83;502.701;1.02
104;2102.46;502.701;1.02
105;2107.34;518.326;1.03
106;2134.5;494.644;1.03
107;2144.27;508.56;1.03
108;2141.83;486.831;1.03
109;2114.67;538.102;1.04
110;2067.67;512.467;1.04
111;2042.95;480.972;1.04
112;2082.62;544.206;1.05
113;2114.67;516.373;1.05
114;2129.62;518.326;1.05
115;2132.06;502.701;1.06
116;2107.34;524.43;1.06
117;2072.55;514.42;1.06
118;2075.3;538.102;1.06
119;2119.55;488.784;1.07
120;2149.15;516.373;1.07
121;2156.78;546.159;1.07
122;2149.15;484.878;1.07
123;2109.78;516.373;1.07999
124;2075.3;516.373;1.07999
125;2082.62;528.336;1.07999
126;2117.11;510.514;1.09
127;2134.5;518.326;1.09
128;2134.5;502.701;1.09
129;2104.9;550.066;1.09
130;2060.34;518.326;1.09
131;2030.74;498.795;1.1
132;2070.11;565.935;1.1
133;2099.71;524.43;1.1
134;2112.22;522.477;1.11
135;2109.78;514.42;1.11
136;2085.06;530.29;1.11
137;2053.02;526.383;1.11
138;2050.58;546.159;1.12
139;2097.27;500.748;1.12
140;2119.55;530.29;1.12
141;2126.87;546.159;1.12
142;2117.11;486.831;1.13
143;2075.3;524.43;1.13
144;2038.06;524.43;1.13
145;2040.51;536.149;1.13
146;2065.23;518.326;1.13
147;2075.3;518.326;1.14
148;2070.11;514.42;1.14
149;2045.39;552.019;1.14
150;2001.14;522.477;1.14
151;1978.86;510.514;1.14
152;2020.97;569.842;1.14999
153;2050.58;530.29;1.14999
154;2062.78;526.383;1.14999
155;2062.78;524.43;1.14999
156;2040.51;536.149;1.14999
157;2008.46;542.009;1.16
158;2015.79;546.159;1.16
159;2062.78;514.42;1.16
160;2085.06;532.243;1.16
161;2097.27;557.878;1.16
162;2085.06;494.644;1.17
163;2048.14;532.243;1.17
