<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-01-25-14:44:58</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>3034</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1697</WeldTime>
<DistDiff>2.42</DistDiff>
<DistAbs>78.24</DistAbs>
<Energy>3271.83</Energy>
<MaxPower>2145.36</MaxPower>
<CycleTime>6040</CycleTime>
<TrigForce>504.654</TrigForce>
<TrigDist>75.82</TrigDist>
<RunSpeed>68</RunSpeed>
<MaxForce>619.16</MaxForce>
<LossPower>326.033</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;504.654;0
3;0;504.654;0
4;0;502.701;0
5;0;504.654;0
6;0;504.654;0
7;0;506.607;0
8;0;488.784;0.0100021
9;0;429.456;0.0199966
10;0;413.831;0.0400009
11;0;376.232;0.0699997
12;46.598;356.456;0.110001
13;120.758;334.727;0.150002
14;209.567;330.821;0.190002
15;281.285;314.951;0.230003
16;345.374;319.102;0.279999
17;419.534;283.456;0.32
18;490.947;295.419;0.370003
19;555.342;321.055;0.410004
20;619.43;287.362;0.440002
21;678.636;309.091;0.480003
22;732.959;317.148;0.5
23;797.353;336.68;0.529999
24;868.767;330.821;0.550003
25;930.719;346.69;0.57
26;985.042;338.633;0.580002
27;1026.85;392.102;0.590004
28;1054.01;380.139;0.599998
29;1078.73;364.513;0.610001
30;1133.06;427.503;0.620003
31;1180.06;409.925;0.620003
32;1216.98;415.784;0.629997
33;1251.47;405.774;0.629997
34;1271.31;425.55;0.629997
35;1278.63;413.831;0.639999
36;1303.35;435.56;0.639999
37;1360.11;396.008;0.650002
38;1399.79;417.737;0.660004
39;1434.27;447.279;0.660004
40;1456.55;392.102;0.669998
41;1463.88;421.644;0.68
42;1456.55;421.644;0.68
43;1473.95;439.467;0.690002
44;1513.32;423.597;0.690002
45;1540.48;429.456;0.699997
46;1565.2;415.784;0.709999
47;1574.96;459.243;0.709999
48;1565.2;437.513;0.720001
49;1557.87;411.878;0.720001
50;1599.68;461.196;0.730003
51;1644.24;443.373;0.739998
52;1676.29;447.279;0.739998
53;1698.56;431.654;0.75
54;1708.33;453.383;0.760002
55;1703.45;445.326;0.769997
56;1710.77;470.962;0.769997
57;1767.54;423.597;0.779999
58;1809.65;449.232;0.790001
59;1836.81;484.878;0.790001
60;1849.02;427.503;0.800003
61;1836.81;457.289;0.800003
62;1812.09;455.336;0.809998
63;1816.98;472.915;0.809998
64;1851.46;453.383;0.82
65;1873.74;467.055;0.82
66;1888.7;449.232;0.830002
67;1881.07;498.795;0.830002
68;1853.9;475.112;0.840004
69;1831.93;445.326;0.840004
70;1868.86;514.42;0.840004
71;1913.42;482.925;0.849998
72;1935.39;480.972;0.849998
73;1947.9;469.008;0.860001
74;1943.02;492.691;0.860001
75;1920.74;484.878;0.860001
76;1918.3;508.56;0.870003
77;1970.18;459.243;0.870003
78;2004.67;490.738;0.879997
79;2024.5;516.373;0.879997
