<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-06-25-07:36:46</TimeStamp>
<UserName>operator</UserName>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>10000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>2</RunupPressure>
<RunupDist>5</RunupDist>
<RunPress>0.7</RunPress>
<RunBackPress1>4</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>5</RunBackDist>
<TrigValue>1000</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>19.2326</PressNr>
<MaxLoss>500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.2</RunPressure>
<Amplitude>85</Amplitude>
<WeldMode>6000</WeldMode>
</WeldSet>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.6</RunPressure>
<Amplitude>90</Amplitude>
<WeldMode>12000</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>261354</WeldNr>
<RecipeName>CHADEMO.CSV</RecipeName>
<WeldTime>3980</WeldTime>
<DistDiff>2.06</DistDiff>
<DistAbs>75.16</DistAbs>
<Energy>18000.7</Energy>
<MaxPower>5563</MaxPower>
<CycleTime>8820</CycleTime>
<TrigForce>1001.01</TrigForce>
<TrigDist>73.1</TrigDist>
<RunSpeed>58.4333</RunSpeed>
<MaxForce>3636</MaxForce>
<LossPower>17.243</LossPower>
<ErrorNr>0</ErrorNr>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;123.75;1041;0.02
3;123.75;1043;0.02
4;121.31;1048;0.03
5;123.75;1053;0.03
6;121.31;1055;0.03
7;106.66;1053;0.03
8;34.03;1009;0.04
9;238.81;957;0.05
10;322.73;930;0.07
11;357.22;915;0.09
12;399.03;902;0.12
13;475.63;895;0.15
14;586.41;900;0.18
15;680.11;888;0.21
16;759.15;888;0.24
17;838.19;905;0.27
18;921.81;917;0.3
19;1003.3;925;0.33
20;1082.34;952;0.36
21;1163.52;981;0.38
22;1235.24;1021;0.4
23;1316.42;1006;0.41
24;1397.9;1016;0.43
25;1474.2;1046;0.44
26;1538.29;1055;0.45
27;1595.05;1065;0.45
28;1629.54;1080;0.46
29;1669.21;1102;0.46
30;1725.97;1107;0.47
31;1775.11;1107;0.47
32;1814.78;1075;0.48
33;1849.27;1125;0.48
34;1873.68;1127;0.48
35;1883.76;1117;0.49
36;1903.29;1127;0.49
37;1947.84;1137;0.5
38;1989.65;1147;0.5
39;2016.82;1134;0.51
40;2031.77;1147;0.51
41;2016.82;1157;0.52
42;2004.61;1194;0.52
43;2034.21;1151;0.52
44;2071.14;1151;0.53
45;2105.62;1171;0.53
46;2125.46;1166;0.54
47;2135.23;1166;0.54
48;2130.34;1174;0.55
49;2147.44;1194;0.55
50;2204.2;1194;0.55
51;2256.08;1189;0.56
52;2288.13;1157;0.56
53;2305.52;1216;0.57
54;2303.08;1223;0.57
55;2288.13;1208;0.57
56;2297.89;1223;0.58
57;2335.12;1231;0.58
58;2367.17;1235;0.59
59;2386.7;1226;0.59
60;2384.26;1235;0.59
61;2357.1;1250;0.6
62;2325.05;1285;0.6
63;2342.45;1240;0.6
64;2379.38;1240;0.61
65;2408.98;1263;0.61
66;2421.19;1255;0.61
67;2416.3;1260;0.62
68;2394.33;1265;0.62
69;2399.21;1282;0.62
70;2450.79;1282;0.63
71;2502.67;1275;0.63
72;2529.83;1243;0.64
73;2542.04;1302;0.64
74;2529.83;1305;0.64
75;2502.67;1292;0.65
76;2509.99;1299;0.65
77;2544.48;1312;0.65
78;2576.83;1314;0.66
79;2589.04;1299;0.66
80;2584.15;1314;0.67
81;2556.99;1324;0.67
82;2517.62;1364;0.67
83;2520.07;1317;0.68
84;2559.43;1317;0.68
85;2593.92;1342;0.68
86;2613.76;1337;0.69
87;2611.32;1339;0.69
88;2586.6;1349;0.69
89;2576.83;1369;0.69
90;2623.52;1366;0.7
91;2685.17;1359;0.7
92;2719.66;1327;0.7
93;2739.49;1386;0.7
94;2729.73;1393;0.71
95;2697.38;1376;0.71
96;2692.5;1388;0.71
97;2726.98;1396;0.71
98;2766.66;1398;0.72
99;2781.3;1388;0.72
100;2776.42;1398;0.72
101;2739.49;1411;0.72
102;2694.94;1447;0.73
103;2707.45;1398;0.73
104;2749.26;1401;0.73
105;2781.3;1423;0.73
106;2796.26;1415;0.74
107;2788.63;1415;0.74
108;2759.03;1423;0.74
109;2751.7;1443;0.74
110;2806.02;1435;0.74
111;2867.67;1433;0.75
112;2899.72;1403;0.75
113;2917.11;1458;0.75
114;2899.72;1462;0.75
115;2865.23;1445;0.76
116;2872.55;1460;0.76
117;2914.67;1465;0.76
118;2951.6;1465;0.76
119;2973.88;1455;0.76
120;2968.69;1465;0.77
121;2924.44;1477;0.77
122;2882.63;1529;0.77
123;2904.6;1465;0.77
124;2949.16;1467;0.78
125;2978.76;1485;0.78
126;2993.41;1485;0.78
127;2983.64;1485;0.78
128;2949.16;1485;0.78
129;2954.04;1512;0.79
130;3013.25;1504;0.79
131;3067.57;1497;0.79
132;3084.66;1453;0.79
133;3111.82;1524;0.79
134;3109.38;1529;0.8
135;3067.57;1514;0.8
136;3057.5;1527;0.8
137;3099.61;1531;0.8
138;3136.54;1536;0.8
139;3158.82;1519;0.81
140;3163.7;1534;0.81
141;3121.59;1546;0.81
142;3062.38;1596;0.81
143;3079.78;1531;0.81
144;3121.59;1531;0.82
145;3151.19;1551;0.82
146;3173.47;1549;0.82
147;3171.03;1549;0.82
148;3134.1;1549;0.82
149;3119.14;1578;0.83
150;3173.47;1569;0.83
151;3230.23;1563;0.83
152;3262.28;1517;0.83
153;3289.44;1591;0.83
154;3274.48;1591;0.84
155;3232.67;1581;0.84
156;3232.67;1596;0.84
157;3276.93;1598;0.84
158;3309.27;1601;0.84
159;3333.69;1583;0.85
160;3333.69;1601;0.85
161;3287;1610;0.85
162;3232.67;1665;0.85
163;3257.39;1596;0.85
164;3296.76;1601;0.86
165;3326.37;1618;0.86
166;3351.09;1610;0.86
167;3341.32;1615;0.86
168;3299.2;1618;0.86
169;3291.88;1640;0.86
170;3351.09;1633;0.87
171;3402.97;1628;0.87
172;3437.45;1578;0.87
173;3459.43;1657;0.87
174;3435.01;1657;0.87
175;3388.01;1643;0.88
176;3400.22;1657;0.88
177;3447.22;1662;0.88
178;3474.38;1665;0.88
179;3499.1;1652;0.88
180;3491.47;1665;0.89
181;3429.82;1677;0.89
182;3380.69;1729;0.89
183;3410.29;1660;0.89
184;3447.22;1662;0.89
185;3474.38;1687;0.89
186;3501.54;1677;0.9
187;3491.47;1682;0.9
188;3442.34;1687;0.9
189;3435.01;1709;0.9
190;3494.22;1702;0.9
191;3545.79;1694;0.9
192;3582.72;1647;0.91
193;3612.32;1724;0.91
194;3585.47;1724;0.91
195;3536.03;1711;0.91
196;3545.79;1726;0.91
197;3587.91;1729;0.92
198;3619.95;1731;0.92
199;3647.11;1719;0.92
200;3639.48;1731;0.92
201;3577.84;1744;0.92
202;3523.82;1795;0.92
203;3555.86;1724;0.93
204;3595.23;1731;0.93
205;3622.39;1751;0.93
206;3641.93;1744;0.93
207;3622.39;1746;0.93
208;3568.07;1751;0.93
209;3560.75;1776;0.94
210;3609.88;1766;0.94
211;3664.2;1761;0.94
212;3703.57;1714;0.94
213;3738.36;1793;0.94
214;3720.97;1788;0.95
215;3671.53;1776;0.95
216;3661.76;1791;0.95
217;3701.13;1795;0.95
218;3740.81;1795;0.95
219;3767.97;1781;0.95
220;3772.85;1795;0.96
221;3718.53;1805;0.96
222;3647.11;1855;0.96
223;3666.65;1791;0.96
224;3706.32;1793;0.96
225;3735.62;1815;0.96
226;3762.78;1810;0.97
227;3755.46;1813;0.97
228;3698.69;1813;0.97
229;3676.72;1840;0.97
230;3733.18;1832;0.97
231;3787.5;1832;0.97
232;3824.43;1771;0.98
233;3856.47;1845;0.98
234;3826.87;1855;0.98
235;3775.29;1857;0.98
236;3775.29;1850;0.98
237;3821.99;1862;0.98
238;3854.03;1859;0.99
239;3886.07;1842;0.99
240;3881.19;1862;0.99
241;3812.22;1862;0.99
242;3753.01;1929;0.99
243;3777.73;1865;0.99
244;3819.54;1859;1
245;3849.15;1865;1
246;3876.31;1874;1
247;3856.47;1877;1
248;3794.82;1877;1
249;3787.5;1906;1
250;3851.59;1892;1
251;3905.91;1899;1.01
252;3945.28;1830;1.01
253;3970;1914;1.01
254;3935.51;1916;1.01
255;3873.87;1916;1.01
256;3888.52;1914;1.01
257;3937.96;1921;1.02
258;3972.44;1921;1.02
259;3999.6;1904;1.02
260;3984.95;1924;1.02
261;3942.84;1924;1.02
262;3859.22;1998;1.02
263;3866.54;1921;1.02
264;3913.24;1921;1.03
265;3950.47;1929;1.03
266;3977.32;1934;1.03
267;3967.56;1931;1.03
268;3910.79;1936;1.03
269;3871.43;1963;1.03
270;3933.07;1956;1.03
271;3994.72;1953;1.03
272;4038.97;1887;1.04
273;4071.02;1971;1.04
274;4046.6;1975;1.04
275;3977.32;1973;1.04
276;3967.56;1973;1.04
277;4017;1978;1.04
278;4061.25;1983;1.04
279;4088.41;1961;1.05
280;4088.41;1980;1.05
281;4019.44;1983;1.05
282;3937.96;2059;1.05
283;3955.35;1978;1.05
284;4006.93;1975;1.05
285;4041.72;1986;1.05
286;4068.58;1993;1.06
287;4049.04;1990;1.06
288;3979.77;1993;1.06
289;3957.79;2022;1.06
290;4021.88;2013;1.06
291;4083.53;2010;1.06
292;4130.22;1939;1.06
293;4154.94;2030;1.06
294;4120.46;2032;1.07
295;4049.04;2032;1.07
296;4046.6;2030;1.07
297;4098.18;2035;1.07
298;4140.29;2040;1.07
299;4169.9;2018;1.07
300;4150.06;2037;1.07
301;4071.02;2042;1.07
302;3997.16;2121;1.08
303;4026.76;2035;1.08
304;4078.65;2035;1.08
305;4110.69;2042;1.08
306;4132.66;2047;1.08
307;4103.37;2050;1.08
308;4026.76;2050;1.08
309;4017;2074;1.08
310;4088.41;2067;1.09
311;4150.06;2062;1.09
312;4182.1;1993;1.09
313;4211.71;2084;1.09
314;4172.34;2089;1.09
315;4100.62;2084;1.09
316;4093.3;2087;1.09
317;4145.18;2089;1.09
318;4194.62;2094;1.09
319;4221.47;2072;1.1
320;4206.82;2091;1.1
321;4120.46;2094;1.1
322;4041.72;2173;1.1
323;4068.58;2084;1.1
324;4120.46;2087;1.1
325;4157.38;2096;1.1
326;4177.22;2102;1.1
327;4147.62;2102;1.1
328;4071.02;2102;1.11
329;4053.93;2131;1.11
330;4125.34;2119;1.11
331;4186.99;2116;1.11
332;4233.99;2047;1.11
333;4251.08;2141;1.11
334;4204.38;2141;1.11
335;4130.22;2136;1.11
336;4137.85;2141;1.11
337;4194.62;2146;1.12
338;4221.47;2151;1.12
339;4251.08;2128;1.12
340;4253.52;2146;1.12
341;4177.22;2151;1.12
