<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-06-25-12:32:15</TimeStamp>
<UserName>operator</UserName>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>10000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>2</RunupPressure>
<RunupDist>5</RunupDist>
<RunPress>0.7</RunPress>
<RunBackPress1>4</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>5</RunBackDist>
<TrigValue>1000</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>19.2326</PressNr>
<MaxLoss>300</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.2</RunPressure>
<Amplitude>85</Amplitude>
<WeldMode>6000</WeldMode>
</WeldSet>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.6</RunPressure>
<Amplitude>90</Amplitude>
<WeldMode>12000</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>261521</WeldNr>
<RecipeName>CCS2_CVS.CSV</RecipeName>
<WeldTime>3767</WeldTime>
<DistDiff>2</DistDiff>
<DistAbs>75.16</DistAbs>
<Energy>18000.9</Energy>
<MaxPower>6250</MaxPower>
<CycleTime>8590</CycleTime>
<TrigForce>1003.45</TrigForce>
<TrigDist>73.16</TrigDist>
<RunSpeed>59.3831</RunSpeed>
<MaxForce>3643</MaxForce>
<LossPower>16.1748</LossPower>
<ErrorNr>0</ErrorNr>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;124.82;1048;0.02
3;124.82;1050;0.02
4;122.38;1055;0.03
5;124.82;1060;0.03
6;124.82;1065;0.03
7;92.78;1063;0.03
8;69.58;1016;0.04
9;262.15;959;0.05
10;336.01;932;0.07
11;380.57;915;0.1
12;439.47;900;0.13
13;550.55;893;0.16
14;666.52;888;0.19
15;755.33;883;0.22
16;836.51;890;0.26
17;920.44;885;0.29
18;1009.25;895;0.33
19;1098.06;925;0.36
20;1203.96;939;0.39
21;1310.16;962;0.41
22;1401.41;989;0.43
23;1497.54;1006;0.45
24;1603.75;1023;0.46
25;1692.25;1041;0.47
26;1768.85;1046;0.48
27;1832.94;1080;0.49
28;1862.54;1102;0.49
29;1889.71;1095;0.5
30;1936.4;1110;0.5
31;1983.4;1115;0.5
32;2015.44;1105;0.51
33;2047.49;1112;0.51
34;2052.37;1115;0.52
35;2042.6;1125;0.52
36;2057.25;1127;0.53
37;2084.41;1122;0.53
38;2131.41;1119;0.53
39;2161.02;1144;0.54
40;2178.11;1139;0.54
41;2178.11;1144;0.55
42;2161.02;1164;0.55
43;2178.11;1166;0.55
44;2227.55;1169;0.56
45;2271.8;1159;0.56
46;2296.52;1164;0.56
47;2309.03;1186;0.57
48;2301.4;1196;0.57
49;2286.75;1184;0.58
50;2318.8;1196;0.58
51;2363.05;1201;0.58
52;2395.4;1189;0.59
53;2412.49;1203;0.59
54;2405.16;1213;0.59
55;2373.12;1231;0.6
56;2360.61;1221;0.6
57;2392.65;1213;0.6
58;2429.88;1213;0.61
59;2449.42;1233;0.61
60;2454.3;1233;0.61
61;2437.21;1238;0.62
62;2407.61;1260;0.62
63;2429.88;1258;0.62
64;2483.9;1258;0.62
65;2526.02;1245;0.63
